MonthId,Year,Month,Days,DateStart,WaterYear,WaterMonth,Flow_min,Flow_mean,Flow_median,Flow_max,Flow_range,Volume
1959.1,1959,10,31,1959-10-01,1959,1,38.0,42.54545454545455,43.0,49.0,11.0,0.08087040000000001
1959.11,1959,11,30,1959-11-01,1959,2,43.0,64.3,70.0,83.0,40.0,0.16666559999999997
1959.12,1959,12,31,1959-12-01,1959,3,86.0,128.61290322580646,124.0,193.0,107.0,0.34447679999999997
1960.01,1960,1,31,1960-01-01,1959,4,204.0,368.83870967741933,419.0,453.0,249.0,0.9878975999999998
1960.02,1960,2,29,1960-02-01,1959,5,427.0,1013.3103448275862,930.0,2014.0,1587.0,2.5389504
1960.03,1960,3,31,1960-03-01,1959,6,2152.0,4043.3709677419356,4041.0,5477.0,3325.0,10.8297648
1960.04,1960,4,30,1960-04-01,1959,7,1093.0,2140.133333333333,1375.5,5260.0,4167.0,5.547225600000002
1960.05,1960,5,31,1960-05-01,1959,8,658.6938775510204,877.312047399605,874.5102040816327,1108.0,449.30612244897964,2.3497925877551022
1960.06,1960,6,30,1960-06-01,1959,9,274.0,440.94421768707474,435.68367346938777,644.3061224489795,370.3061224489795,1.1429274122448976
1960.07,1960,7,31,1960-07-01,1959,10,170.0,210.61290322580646,209.0,270.0,100.0,0.5641056000000001
1960.08,1960,8,31,1960-08-01,1959,11,107.0,131.80645161290323,132.0,167.0,60.0,0.3530303999999999
1960.09,1960,9,30,1960-09-01,1959,12,70.0,84.23333333333333,84.0,105.0,35.0,0.21833280000000002
1960.1,1960,10,31,1960-10-01,1960,1,55.0,60.225806451612904,59.0,69.0,14.0,0.16130880000000003
1960.11,1960,11,30,1960-11-01,1960,2,55.0,87.56666666666666,70.5,141.0,86.0,0.2269728
1960.12,1960,12,31,1960-12-01,1960,3,124.0,142.93548387096774,136.0,180.0,56.0,0.3828384000000001
1961.01,1961,1,31,1961-01-01,1960,4,180.0,338.64516129032256,376.0,479.0,299.0,0.9070272000000001
1961.02,1961,2,28,1961-02-01,1960,5,493.0,898.0714285714286,791.5,1749.0,1256.0,2.1726144
1961.03,1961,3,31,1961-03-01,1960,6,1834.0,4196.258064516129,4378.0,5480.0,3646.0,11.2392576
1961.04,1961,4,30,1961-04-01,1960,7,1488.0,3968.4666666666667,4181.5,5472.0,3984.0,10.286265600000004
1961.05,1961,5,31,1961-05-01,1960,8,1048.0,1835.1290322580646,1951.0,2376.0,1328.0,4.915209600000002
1961.06,1961,6,30,1961-06-01,1960,9,340.0,495.46666666666664,474.0,863.0,523.0,1.2842496
1961.07,1961,7,31,1961-07-01,1960,10,222.0,274.6774193548387,277.0,337.0,115.0,0.7356959999999998
1961.08,1961,8,31,1961-08-01,1960,11,141.0,178.09677419354838,177.0,220.0,79.0,0.47701439999999995
1961.09,1961,9,30,1961-09-01,1960,12,91.0,112.36666666666666,109.5,136.0,45.0,0.2912544
1961.1,1961,10,31,1961-10-01,1961,1,77.0,82.0,83.0,91.0,14.0,0.21962880000000004
1961.11,1961,11,30,1961-11-01,1961,2,84.0,118.56666666666666,104.5,186.0,102.0,0.30732480000000006
1961.12,1961,12,31,1961-12-01,1961,3,190.0,387.6774193548387,313.0,678.0,488.0,1.0383552
1962.01,1962,1,31,1962-01-01,1961,4,695.0,1069.1612903225807,1014.0,1510.0,815.0,2.863641599999999
1962.02,1962,2,28,1962-02-01,1961,5,1514.0,2274.285714285714,2251.0,3208.0,1694.0,5.501952
1962.03,1962,3,31,1962-03-01,1961,6,2833.0,4369.225806451613,4581.0,5725.0,2892.0,11.702534399999998
1962.04,1962,4,30,1962-04-01,1961,7,1700.0,3156.5333333333333,3185.5,4763.0,3063.0,8.1817344
1962.05,1962,5,31,1962-05-01,1961,8,673.0,1033.8387096774193,1002.0,1649.0,976.0,2.769033599999999
1962.06,1962,6,30,1962-06-01,1961,9,357.0,477.8333333333333,460.5,644.0,287.0,1.2385439999999996
1962.07,1962,7,31,1962-07-01,1961,10,230.0,289.03225806451616,287.0,355.0,125.0,0.7741439999999998
1962.08,1962,8,31,1962-08-01,1961,11,151.0,186.7741935483871,186.0,224.0,73.0,0.5002559999999999
1962.09,1962,9,30,1962-09-01,1961,12,107.0,127.96666666666667,125.0,151.0,44.0,0.3316895999999999
1962.1,1962,10,31,1962-10-01,1962,1,94.0,96.54838709677419,94.0,106.0,12.0,0.25859520000000014
1962.11,1962,11,30,1962-11-01,1962,2,87.0,115.26666666666667,104.0,176.0,89.0,0.29877119999999996
1962.12,1962,12,31,1962-12-01,1962,3,182.0,391.19354838709677,395.0,713.0,531.0,1.0477728000000002
1963.01,1963,1,31,1963-01-01,1962,4,744.0,1858.741935483871,2085.0,2680.0,1936.0,4.978454400000001
1963.02,1963,2,28,1963-02-01,1962,5,1946.0,3452.964285714286,3292.5,5457.0,3511.0,8.3534112
1963.03,1963,3,31,1963-03-01,1962,6,3250.0,4453.322580645161,4549.0,5469.0,2219.0,11.9277792
1963.04,1963,4,30,1963-04-01,1962,7,1276.0,2315.4,2154.0,4271.0,2995.0,6.001516800000001
1963.05,1963,5,31,1963-05-01,1962,8,554.0,830.6129032258065,793.0,1228.0,674.0,2.2247136000000007
1963.06,1963,6,30,1963-06-01,1962,9,310.0,405.8,394.5,563.0,253.0,1.0518336000000001
1963.07,1963,7,31,1963-07-01,1962,10,192.0,241.5483870967742,234.0,299.0,107.0,0.6469632
1963.08,1963,8,31,1963-08-01,1962,11,131.0,157.4516129032258,151.0,190.0,59.0,0.4217183999999999
1963.09,1963,9,30,1963-09-01,1962,12,93.0,107.96666666666667,107.0,125.0,32.0,0.27984960000000003
1963.1,1963,10,31,1963-10-01,1963,1,84.0,86.35483870967742,86.0,93.0,9.0,0.23129280000000005
1963.11,1963,11,30,1963-11-01,1963,2,94.0,154.4,159.0,220.0,126.0,0.40020479999999986
1963.12,1963,12,31,1963-12-01,1963,3,222.0,378.61290322580646,394.0,484.0,262.0,1.0140768
1964.01,1964,1,31,1964-01-01,1963,4,468.0,695.258064516129,772.0,850.0,382.0,1.8621792
1964.02,1964,2,29,1964-02-01,1963,5,804.0,1347.6896551724137,1539.0,1822.0,1018.0,3.3767712000000003
1964.03,1964,3,31,1964-03-01,1963,6,1106.0,1616.3548387096773,1847.0,1955.0,849.0,4.3292448
1964.04,1964,4,30,1964-04-01,1963,7,665.0,1075.2333333333333,1018.5,1717.0,1052.0,2.7870048000000005
1964.05,1964,5,31,1964-05-01,1963,8,340.0,454.48387096774195,436.0,642.0,302.0,1.2172896000000004
1964.06,1964,6,30,1964-06-01,1963,9,212.0,265.2,259.5,337.0,125.0,0.6873984000000001
1964.07,1964,7,31,1964-07-01,1963,10,145.0,175.90322580645162,177.0,211.0,66.0,0.4711391999999999
1964.08,1964,8,31,1964-08-01,1963,11,99.0,119.48387096774194,118.0,144.0,45.0,0.3200256
1964.09,1964,9,30,1964-09-01,1963,12,79.0,89.0,89.0,99.0,20.0,0.23068799999999998
1964.1,1964,10,31,1964-10-01,1964,1,63.0,67.90322580645162,64.0,81.0,18.0,0.18187199999999998
1964.11,1964,11,30,1964-11-01,1964,2,81.0,100.13333333333334,104.0,115.0,34.0,0.25954560000000004
1964.12,1964,12,31,1964-12-01,1964,3,112.0,178.0,180.0,283.0,171.0,0.4767552
1965.01,1965,1,31,1965-01-01,1964,4,366.0,685.0645161290323,770.0,886.0,520.0,1.8348767999999998
1965.02,1965,2,28,1965-02-01,1964,5,911.0,1794.25,1942.5,2262.0,1351.0,4.340649599999999
1965.03,1965,3,31,1965-03-01,1964,6,1731.0,2236.3225806451615,2235.0,2549.0,818.0,5.989766399999998
1965.04,1965,4,30,1965-04-01,1964,7,790.0,1207.7,1174.0,1704.0,914.0,3.1303583999999995
1965.05,1965,5,31,1965-05-01,1964,8,364.0,530.8387096774194,515.0,771.0,407.0,1.4217984
1965.06,1965,6,30,1965-06-01,1964,9,235.0,292.6666666666667,288.5,357.0,122.0,0.758592
1965.07,1965,7,31,1965-07-01,1964,10,150.0,178.41935483870967,167.0,231.0,81.0,0.47787840000000015
1965.08,1965,8,31,1965-08-01,1964,11,99.0,118.93548387096774,115.0,147.0,48.0,0.31855680000000003
1965.09,1965,9,30,1965-09-01,1964,12,77.0,86.2,86.0,98.0,21.0,0.22343040000000008
1965.1,1965,10,31,1965-10-01,1965,1,63.0,71.96774193548387,71.0,86.0,23.0,0.19275840000000008
1965.11,1965,11,30,1965-11-01,1965,2,55.0,72.8,64.5,106.0,51.0,0.1886976
1965.12,1965,12,31,1965-12-01,1965,3,108.0,206.58064516129033,221.0,266.0,158.0,0.5533056000000003
1966.01,1966,1,31,1966-01-01,1965,4,263.0,343.258064516129,340.0,466.0,203.0,0.9193824000000003
1966.02,1966,2,28,1966-02-01,1965,5,484.0,779.6428571428571,851.5,998.0,514.0,1.886112
1966.03,1966,3,31,1966-03-01,1965,6,966.0,2688.483870967742,2570.0,4407.0,3441.0,7.200835199999999
1966.04,1966,4,30,1966-04-01,1965,7,1006.0,1573.0666666666666,1399.0,3217.0,2211.0,4.0773888
1966.05,1966,5,31,1966-05-01,1965,8,397.0,653.1612903225806,623.0,1001.0,604.0,1.7494271999999993
1966.06,1966,6,30,1966-06-01,1965,9,257.0,321.8666666666667,318.0,406.0,149.0,0.8342783999999999
1966.07,1966,7,31,1966-07-01,1965,10,161.0,201.8709677419355,202.0,246.0,85.0,0.5406911999999999
1966.08,1966,8,31,1966-08-01,1965,11,115.0,133.90322580645162,132.0,160.0,45.0,0.3586463999999999
1966.09,1966,9,30,1966-09-01,1965,12,86.0,97.66666666666667,94.0,115.0,29.0,0.25315199999999993
1966.1,1966,10,31,1966-10-01,1966,1,70.0,76.0,76.0,86.0,16.0,0.20355840000000003
1966.11,1966,11,30,1966-11-01,1966,2,84.0,94.6,99.0,106.0,22.0,0.2452032
1966.12,1966,12,31,1966-12-01,1966,3,91.0,123.61290322580645,107.0,191.0,100.0,0.33108479999999996
1967.01,1967,1,31,1967-01-01,1966,4,196.0,316.61290322580646,291.0,571.0,375.0,0.8480160000000001
1967.02,1967,2,28,1967-02-01,1966,5,588.0,910.6428571428571,961.0,1082.0,494.0,2.2030271999999997
1967.03,1967,3,31,1967-03-01,1966,6,1048.0,2190.064516129032,2205.0,3595.0,2547.0,5.865868800000001
1967.04,1967,4,30,1967-04-01,1966,7,1187.0,2496.4,2099.0,4218.0,3031.0,6.470668799999999
1967.05,1967,5,31,1967-05-01,1966,8,573.0,916.4193548387096,911.0,1270.0,697.0,2.4545375999999997
1967.06,1967,6,30,1967-06-01,1966,9,273.0,382.43333333333334,365.5,558.0,285.0,0.9912672000000001
1967.07,1967,7,31,1967-07-01,1966,10,170.0,211.19354838709677,212.0,267.0,97.0,0.5656608000000003
1967.08,1967,8,31,1967-08-01,1966,11,107.0,134.19354838709677,133.0,167.0,60.0,0.359424
1967.09,1967,9,30,1967-09-01,1966,12,70.0,86.43333333333334,87.5,106.0,36.0,0.22403520000000005
1967.1,1967,10,31,1967-10-01,1967,1,59.0,62.67741935483871,63.0,70.0,11.0,0.1678752
1967.11,1967,11,30,1967-11-01,1967,2,71.0,118.33333333333333,116.0,185.0,114.0,0.30672
1967.12,1967,12,31,1967-12-01,1967,3,191.0,730.0967741935484,533.0,2677.0,2486.0,1.9554912
1968.01,1968,1,31,1968-01-01,1967,4,2561.0,4055.483870967742,3654.0,5827.0,3266.0,10.862207999999997
1968.02,1968,2,29,1968-02-01,1967,5,2579.0,4382.137931034483,4539.0,5692.0,3113.0,10.979884800000002
1968.03,1968,3,31,1968-03-01,1967,6,2347.0,4336.0,4670.0,6035.0,3688.0,11.6135424
1968.04,1968,4,30,1968-04-01,1967,7,1377.0,1994.4333333333334,1662.0,4060.0,2683.0,5.169571199999999
1968.05,1968,5,31,1968-05-01,1967,8,729.0697674418604,983.8289572393093,948.4883720930233,1352.0,622.9302325581396,2.635087479069769
1968.06,1968,6,30,1968-06-01,1967,9,344.0,508.2434108527132,502.3372093023256,714.4418604651163,370.4418604651163,1.3173669209302323
1968.07,1968,7,31,1968-07-01,1967,10,231.0,282.5806451612903,285.0,342.0,111.0,0.7568640000000001
