Flow,A,B,C,D,E,F,G,FG
0,0.420,0.000,0.040,0.040,0.020,0.480,0.000,0.480
205,0.420,0.000,0.040,0.040,0.020,0.480,0.000,0.480
220,0.407,0.000,0.040,0.040,0.020,0.493,0.000,0.493
230,0.398,0.000,0.040,0.040,0.020,0.502,0.000,0.502
240,0.389,0.000,0.040,0.040,0.020,0.511,0.000,0.511
250,0.380,0.000,0.040,0.040,0.020,0.520,0.000,0.520
260,0.375,0.000,0.040,0.040,0.020,0.526,0.000,0.526
270,0.369,0.000,0.040,0.040,0.020,0.531,0.000,0.531
280,0.364,0.000,0.040,0.040,0.020,0.537,0.000,0.537
290,0.358,0.000,0.040,0.040,0.020,0.542,0.000,0.542
300,0.353,0.000,0.040,0.040,0.020,0.548,0.000,0.548
310,0.347,0.000,0.040,0.040,0.020,0.553,0.000,0.553
320,0.342,0.000,0.040,0.040,0.020,0.559,0.000,0.559
330,0.336,0.000,0.040,0.040,0.020,0.564,0.000,0.564
340,0.331,0.000,0.040,0.040,0.020,0.570,0.000,0.570
350,0.325,0.000,0.040,0.040,0.020,0.575,0.000,0.575
360,0.322,0.000,0.040,0.040,0.020,0.578,0.000,0.578
370,0.319,0.000,0.040,0.040,0.020,0.581,0.000,0.581
380,0.316,0.000,0.040,0.040,0.020,0.584,0.000,0.584
390,0.314,0.000,0.040,0.040,0.020,0.586,0.000,0.586
400,0.311,0.000,0.040,0.040,0.020,0.589,0.000,0.589
410,0.308,0.000,0.040,0.040,0.020,0.592,0.000,0.592
420,0.305,0.000,0.040,0.040,0.020,0.595,0.000,0.595
430,0.303,0.000,0.039,0.040,0.020,0.598,0.000,0.598
440,0.301,0.000,0.038,0.040,0.020,0.601,0.000,0.601
450,0.299,0.000,0.036,0.040,0.020,0.604,0.000,0.604
460,0.298,0.000,0.035,0.040,0.020,0.608,0.000,0.608
470,0.296,0.000,0.034,0.040,0.020,0.611,0.000,0.611
480,0.294,0.000,0.033,0.040,0.020,0.614,0.000,0.614
490,0.292,0.000,0.031,0.040,0.020,0.617,0.000,0.617
500,0.290,0.000,0.030,0.040,0.020,0.620,0.000,0.620
510,0.289,0.000,0.030,0.040,0.020,0.622,0.000,0.622
520,0.287,0.000,0.030,0.040,0.020,0.623,0.000,0.623
530,0.286,0.000,0.030,0.040,0.020,0.625,0.000,0.625
540,0.284,0.000,0.030,0.040,0.020,0.626,0.000,0.626
550,0.283,0.000,0.030,0.040,0.020,0.628,0.000,0.628
560,0.281,0.000,0.030,0.040,0.020,0.629,0.000,0.629
570,0.280,0.000,0.030,0.040,0.020,0.631,0.000,0.631
580,0.278,0.000,0.030,0.040,0.020,0.632,0.000,0.632
590,0.277,0.000,0.030,0.040,0.020,0.634,0.000,0.634
600,0.275,0.000,0.030,0.040,0.020,0.635,0.000,0.635
610,0.274,0.000,0.030,0.040,0.020,0.636,0.000,0.636
620,0.273,0.000,0.030,0.039,0.021,0.637,0.000,0.637
630,0.272,0.000,0.030,0.039,0.021,0.638,0.000,0.638
