Year,Precip_Recon,Precip_recon_20yr
1796, 522 ,
1797, 626 ,
1798, 355 ,
1799, 509 ,
1800, 492 ,
1801, 569 ,
1802, 523 ,
1803, 694 ,
1804, 399 ,
1805, 506 , 508 
1806, 509 , 505 
1807, 510 , 496 
1808, 512 , 508 
1809, 508 , 511 
1810, 526 , 507 
1811, 460 , 504 
1812, 433 , 500 
1813, 589 , 490 
1814, 522 , 493 
1815, 395 , 495 
1816, 458 , 498 
1817, 451 , 499 
1818, 605 , 501 
1819, 554 , 508 
1820, 420 , 516 
1821, 506 , 514 
1822, 437 , 523 
1823, 493 , 527 
1824, 464 , 528 
1825, 546 , 538 
1826, 583 , 548 
1827, 511 , 548 
1828, 555 , 548 
1829, 661 , 541 
1830, 686 , 546 
1831, 412 , 543 
1832, 615 , 542 
1833, 665 , 540 
1834, 543 , 543 
1835, 597 , 539 
1836, 656 , 532 
1837, 444 , 529 
1838, 606 , 532 
1839, 411 , 526 
1840, 532 , 515 
1841, 435 , 519 
1842, 418 , 516 
1843, 462 , 511 
1844, 515 , 512 
1845, 463 , 508 
1846, 456 , 493 
1847, 456 , 496 
1848, 602 , 493 
1849, 544 , 497 
1850, 472 , 490 
1851, 493 , 492 
1852, 553 , 493 
1853, 559 , 495 
1854, 562 , 491 
1855, 515 , 489 
1856, 366 , 490 
1857, 508 , 491 
1858, 539 , 483 
1859, 492 , 481 
1860, 394 , 480 
1861, 472 , 484 
1862, 441 , 480 
1863, 506 , 480 
1864, 433 , 480 
1865, 412 , 476 
1866, 481 , 481 
1867, 469 , 480 
1868, 441 , 479 
1869, 511 , 480 
1870, 454 , 487 
1871, 568 , 493 
1872, 478 , 491 
1873, 569 , 490 
1874, 547 , 492 
1875, 450 , 492 
1876, 462 , 491 
1877, 477 , 491 
1878, 523 , 492 
1879, 512 , 492 
1880, 532 , 497 
1881, 589 , 494 
1882, 413 , 492 
1883, 489 , 485 
1884, 475 , 486 
1885, 405 , 484 
1886, 467 , 484 
1887, 458 , 489 
1888, 455 , 495 
1889, 511 , 500 
1890, 555 , 506 
1891, 510 , 508 
1892, 438 , 513 
1893, 440 , 507 
1894, 559 , 509 
1895, 416 , 516 
1896, 457 , 516 
1897, 573 , 515 
1898, 643 , 526 
1899, 611 , 532 
1900, 649 , 525 
1901, 626 , 532 
1902, 522 , 533 
1903, 363 , 530 
1904, 529 , 525 
1905, 535 , 537 
1906, 468 , 543 
1907, 449 , 541 
1908, 668 , 546 
1909, 629 , 543 
1910, 411 , 539 
1911, 662 , 533 
1912, 448 , 529 
1913, 382 , 534 
1914, 456 , 526 
1915, 663 , 529 
1916, 576 , 528 
1917, 530 , 527 
1918, 750 , 517 
1919, 545 , 514 
1920, 567 , 518 
1921, 510 , 511 
1922, 436 , 508 
1923, 456 , 515 
1924, 386 , 516 
1925, 590 , 512 
1926, 446 , 511 
1927, 422 , 511 
1928, 471 , 498 
1929, 567 , 499 
1930, 492 , 492 
1931, 530 , 485 
1932, 390 , 484 
1933, 518 , 485 
1934, 466 , 497 
1935, 596 , 486 
1936, 549 , 492 
1937, 525 , 489 
1938, 504 , 490 
1939, 552 , 482 
1940, 430 , 484 
1941, 382 , 483 
1942, 411 , 491 
1943, 475 , 493 
1944, 628 , 491 
1945, 368 , 491 
1946, 559 , 483 
1947, 366 , 481 
1948, 502 , 484 
1949, 407 , 481 
1950, 530 , 486 
1951, 503 , 502 
1952, 553 , 503 
1953, 562 , 506 
1954, 410 , 500 
1955, 600 , 507 
1956, 385 , 505 
1957, 500 , 519 
1958, 561 , 518 
1959, 499 , 528 
1960, 525 , 528 
1961, 691 , 531 
1962, 432 , 524 
1963, 535 , 520 
1964, 521 , 526 
1965, 498 , 524 
1966, 522 , 532 
1967, 649 , 528 
1968, 472 , 529 
1969, 611 , 527 
1970, 538 , 528 
1971, 554 , 524 
1972, 419 , 526 
1973, 475 , 518 
1974, 532 , 519 
1975, 552 , 521 
1976, 549 , 519 
1977, 421 , 510 
1978, 593 , 511 
1979, 446 , 507 
1980, 543 , 510 
1981, 626 , 511 
1982, 466 , 511 
1983, 368 , 512 
1984, 543 , 515 
1985, 542 , 508 
1986, 486 , 504 
1987, 466 ,
1988, 481 ,
1989, 546 ,
1990, 583 ,
1991, 583 ,
1992, 426 ,
1993, 484 ,
1994, 602 ,
1995, 402 ,
1996, 463 ,
