Distance,Q90,Q25,R2,R5,R10,R15,R20,R50,R100
0,989.9998506,989.9998506,989.9998506,989.9998506,989.9998506,990.0034969,990.1457021,990.4723799,990.6828973
174.3899994,989.999925,990.0014133,990.0098221,990.0223236,990.0335602,990.0426387,990.1872252,990.5197816,990.7346895
276.75,989.999925,990.0025295,990.0165938,990.0377273,990.0564797,990.0689813,990.2149816,990.5508867,990.7681014
380.2300034,989.999925,990.0034225,990.0218771,990.0495592,990.0740414,990.0891475,990.2361896,990.5747736,990.7939975
502.4700012,989.999925,990.0040178,990.0256723,990.057968,990.0863197,990.1032861,990.2507748,990.5906238,990.810815
610.7300034,989.999925,990.0047619,990.0302115,990.0679395,990.1009049,990.1200293,990.2683365,990.6098971,990.8313533
751.5800095,989.999925,990.0062502,990.0393645,990.0881801,990.1304473,990.1538877,990.3039809,990.6497086,990.8742158
881.7200089,989.999925,990.0074408,990.046657,990.1041047,990.15359,990.1803047,990.3316629,990.6803672,990.9070324
1067.100014,989.999925,990.008185,990.0510475,990.1134809,990.1669102,990.1954107,990.3469178,990.6960686,990.9232547
1195.500008,989.9999994,990.00945,990.0590842,990.1309682,990.1922109,990.2242834,990.3769066,990.7286619,990.9577084
1309.680008,990.0000738,990.010343,990.0642188,990.1421303,990.20821,990.2424404,990.3958822,990.7494979,990.9799582
1422.180008,990.0001482,990.0113848,990.0707672,990.1561945,990.2281529,990.2650623,990.4191738,990.7746498,991.006524
1551.580002,990.0002227,990.0130219,990.0806643,990.1770305,990.2573232,990.2978789,990.4523625,990.8096988,991.0436566
1731.540009,990.0002227,990.0152543,990.09391,990.205159,990.2972836,990.3430482,990.4999131,990.8623096,991.0989463
1851.990005,990.0002971,990.0165193,990.1013514,990.2207115,990.3190869,990.3676793,990.5254371,990.890066,991.1287119
2013.210007,990.0003715,990.0199424,990.1222617,990.2652855,990.3822645,990.438968,990.5994791,990.9684984,991.2093023
2163.150009,990.0004459,990.0223236,990.1356563,990.292149,990.4188762,990.4797469,990.6410766,991.0120307,991.2543973
2314.660004,990.0005203,990.0270861,990.1630406,990.3470666,990.493067,990.5617512,990.7239738,991.0976068,991.342057
2443.220001,990.0006691,990.0312533,990.1868531,990.3936498,990.5552771,990.6302121,990.7940719,991.1712768,991.4184803
2554.730003,990.0006691,990.033709,990.1998012,990.4182809,990.5877217,990.665782,990.8303859,991.2096744,991.458515
2672.610001,990.000818,990.0378018,990.2221998,990.4606969,990.6432346,990.7264295,990.8924473,991.2752332,991.5266039
2783.580002,990.0009668,990.0428619,990.2512213,990.5162842,990.7157883,990.8069455,990.976684,991.3668369,991.6214818
2914.119995,990.00119,990.0491127,990.2892469,990.5938236,990.8187773,990.9206502,991.0958209,991.499666,991.7591479
3001.779999,990.0012645,990.0537264,990.317673,990.652834,990.9001119,991.0102447,991.1877223,991.5982646,991.860723
3161.149994,990.0015621,990.0631025,990.3693908,990.7483072,991.0228207,991.1427762,991.3215932,991.7331029,991.9975705
3273.109993,990.0017854,990.0716602,990.411658,990.82034,991.1117455,991.2380262,991.4190012,991.8356455,992.1042059
3315.319992,990.0019342,990.073967,990.4240852,990.8446734,991.1429994,991.2721078,991.4549432,991.8745641,992.1455057
3420.299995,990.0022318,990.0842361,990.4823514,990.9574852,991.2801445,991.4186291,991.6086082,992.0286012,992.3043053
3549.379997,990.0025295,990.093017,990.5255859,991.0279553,991.3625953,991.5051727,991.6990957,992.1213955,992.4006715
3691.900002,990.0030504,990.1061883,990.5898797,991.139874,991.5008566,991.6545217,991.8548443,992.2878598,992.5710797
3819.300003,990.0034225,990.118541,990.6525363,991.2687592,991.6700742,991.8419707,992.0464605,992.4750111,992.7539895
3936.840004,990.0037945,990.1297031,990.701352,991.3515076,991.7674822,991.943918,992.1470684,992.5736098,992.8524393
4090.269997,990.0044643,990.1483066,990.7735336,991.4509248,991.8747129,992.0529346,992.2563826,992.6870168,992.9683764
4197.919998,990.0049107,990.1605105,990.8169914,991.5082236,991.9387834,992.1181213,992.3212717,992.7532453,993.0357955
4369.639999,990.0055805,990.179635,990.8811363,991.5874002,992.0228713,992.2031021,992.4056572,992.8383006,993.1217438
4495.260002,990.0061014,990.1928063,990.9245941,991.6418713,992.0809143,992.2621125,992.4644443,992.8983527,993.1826889
4630.140007,990.0066223,990.2081355,990.9795117,991.7441906,992.1975211,992.3819191,992.5835813,993.0140666,993.3011561
4845.94001,990.007292,990.2253996,991.0394895,991.8408545,992.3011055,992.4866941,992.6865703,993.1150465,993.4031033
5032.970009,990.0078129,990.2397615,991.086668,991.9294072,992.3997041,992.5905018,992.791643,993.2234678,993.5135338
5235.060005,990.0084082,990.2564303,991.1396508,992.005384,992.4726299,992.6615672,992.8591365,993.2856035,993.5727674
5480.910011,990.0087803,990.2674436,991.1732115,992.0440049,992.5130367,992.7022717,992.8995434,993.3264568,993.6142904
5696.730019,990.0090779,990.2741408,991.1937498,992.0728031,992.5446627,992.7349395,992.9333273,993.3636639,993.6531346
5918.440025,990.0093012,990.2818055,991.2196459,992.125265,992.6033754,992.7957357,992.9957607,993.4281809,993.7188422
6157.040031,990.0095988,990.2893957,991.2454676,992.1714018,992.6514469,992.8439561,993.0436834,993.4764012,993.7663184
6396.350029,990.0100453,990.3026414,991.2825258,992.2143387,992.6982533,992.8915066,993.0922014,993.5267051,993.8169199
6722.33004,990.0107895,990.3222123,991.3372945,992.2788557,992.7670863,992.9614559,993.1625971,993.5988123,993.8899945
6958.940041,990.0114592,990.3379881,991.3753201,992.3397264,992.8309336,993.0263449,993.2284535,993.6680174,993.9617297
7180.600044,990.0122777,990.3577078,991.4227963,992.4377297,992.9332529,993.1273248,993.3272754,993.7669137,994.0566076
7457.860054,990.0133939,990.3818924,991.4757791,992.5083486,993.0063275,993.1998041,993.3987873,993.8379047,994.1252174
7647.530052,990.0142869,990.4003471,991.5120188,992.5416861,993.0403348,993.2344066,993.4339107,993.8739955,994.1617547
7757.810051,990.0148078,990.4102441,991.5297293,992.57294,993.086025,993.28605,993.489126,993.9340477,994.2250066
7956.080055,990.0161473,990.438075,991.5839771,992.7562219,993.31589,993.5176266,993.7039594,994.1144273,994.3860387
8229.160042,990.0194215,990.5000619,991.7080998,993.1025449,993.6245596,993.8088088,993.977059,994.3552313,994.6070484
8366.800041,990.0217283,990.5412129,991.7856393,993.2408063,993.7386363,993.9148488,994.0779645,994.4462396,994.6924014
8556.320045,990.0252258,990.5947166,991.8751594,993.4097262,993.8811393,994.0490918,994.2069984,994.5644836,994.8045434
8606.990044,990.0264908,990.6142131,991.9070086,993.4282553,993.8945338,994.0611469,994.2180861,994.5738598,994.8131754
8670.640045,990.0279047,990.6352723,991.9451086,993.4659832,993.9330803,994.1000654,994.2574512,994.6140434,994.8529869
8751.190048,990.0294674,990.658415,991.9884176,993.5131617,993.9720732,994.1370492,994.2933932,994.647232,994.885357
8818.810051,990.0305836,990.6726281,992.0088814,993.5251424,993.9810029,994.1448627,994.3003137,994.6528131,994.8897475
8864.690052,990.0314766,990.6824508,992.0224992,993.5322117,993.9881467,994.1520809,994.3073086,994.6598824,994.895775
8914.61005,990.0325184,990.6953988,992.043484,993.5467225,994.0037736,994.1678566,994.3230844,994.6762535,994.913932
8991.780048,990.0335602,990.7064121,992.05606,993.5521547,994.0086105,994.1728424,994.3286654,994.6819834,994.9196619
9318.690052,990.0377273,990.7571625,992.1321855,993.6072211,994.0644211,994.2292482,994.3858898,994.7415891,994.980235
9576.840046,990.0404063,990.7903512,992.188517,993.6513486,994.110409,994.2755338,994.4331428,994.7893629,995.0289762
9937.610035,990.0443502,990.8361902,992.260773,993.7050012,994.1671125,994.3334279,994.4928973,994.8532846,995.0946838
10077.10004,990.0459129,990.8544217,992.2901666,993.7277719,994.1936039,994.3618541,994.522142,994.8837943,995.1260121
10204.68004,990.0473268,990.8713137,992.3192625,993.7584305,994.2269414,994.3963822,994.5581584,994.922192,995.1653771
10348.89005,990.0482197,990.882327,992.3394287,993.7781502,994.2476285,994.4172926,994.5792176,994.945558,995.1903803
10690.07004,990.0511219,990.9150691,992.3922627,993.81945,994.2921281,994.4631316,994.6270658,994.9960852,995.2425445
11021.91004,990.0543961,990.9496717,992.451273,993.8702748,994.3474922,994.5201328,994.6861506,995.0619416,995.3106334
11274.71004,990.0584889,990.9811488,992.4889266,993.9012311,994.3806809,994.5545121,994.7218693,995.1016043,995.3523797
11407.38004,990.0632514,991.0161979,992.5427279,993.946326,994.4284547,994.6029557,994.7706105,995.1561498,995.4094553
11512.65004,990.0669721,991.0383732,992.5689961,993.9661201,994.4490674,994.6246846,994.7937533,995.179367,995.4334166
11677.18003,990.071809,991.0653855,992.6001012,993.989635,994.4736984,994.6494645,994.8193518,995.2042957,995.4574523
11825.79004,990.0753809,991.0883051,992.6262949,994.0170193,994.504357,994.6812393,994.8536566,995.2423957,995.5003148
12103.36004,990.0789527,991.1181451,992.6704969,994.1053488,994.6024348,994.7818471,994.9561992,995.3508914,995.6100012
12457.27005,990.083492,991.1573613,992.7372463,994.2590883,994.7811029,994.9641615,995.1394066,995.537373,995.7950689
12754.88003,990.0894451,991.1967264,992.7906756,994.3808297,994.927773,995.1142547,995.2900951,995.6914846,995.9480643
12983.82003,990.0966633,991.2371332,992.8425422,994.4310592,994.9774816,995.1628471,995.3372736,995.7376213,995.9924895
13242.84002,990.1066348,991.2887021,992.9113752,994.5106822,995.0646949,995.254302,995.4336398,995.8389732,996.098083
13553.74002,990.1217408,991.3551539,992.9896588,994.6496133,995.2031051,995.3938283,995.5741336,995.9825924,996.2405859
14216.08999,990.1608082,991.5154418,993.2094779,994.9510646,995.4846135,995.6739229,995.8532607,996.2555432,996.5061697
14479.69,990.1785188,991.5680525,993.2736973,995.0471332,995.5838818,995.7755725,995.9551336,996.3550348,996.6047684
14729.5,990.1950387,991.618282,993.3368748,995.0943861,995.6280838,995.8187326,995.9976984,996.3958137,996.6448031
15059.30999,990.2175117,991.6722322,993.3996803,995.1737859,995.7101625,995.9017043,996.0815631,996.4816131,996.732835
15319.04998,990.2377523,991.7213455,993.4589883,995.2226016,995.7547365,995.9451621,996.1242768,996.5238059,996.7751021
15555.30998,990.2504027,991.7555016,993.4979813,995.2767006,995.8130027,996.0046189,996.1851475,996.5859416,996.8382053
15679.62998,990.2588859,991.7759654,993.52544,995.3021502,995.8361455,996.0267943,996.206802,996.606852,996.8588924
15888.39998,990.2767453,991.8121307,993.5710559,995.3506682,995.8877145,996.0793307,996.2598592,996.6607277,996.9134379
15978.52998,990.2855262,991.8240369,993.5838551,995.3860893,995.9291631,996.1212258,996.3012334,996.6998695,996.9507938
16332.96998,990.3146965,991.8833449,993.6453955,995.5673619,996.1196631,996.3069633,996.4828781,996.8654408,997.1074354
16621.52998,990.3248912,991.9247191,993.7067127,995.7696938,996.3016055,996.4791574,996.6466635,997.0106971,997.2445061
16914.65998,990.3338953,991.9682514,993.7829127,995.9586311,996.4726834,996.6408592,996.8012959,997.1524559,997.3800885
17231.05,990.3475875,992.0191506,993.8640984,996.1265836,996.6205441,996.781725,996.9369527,997.2794807,997.5030205
17404.26001,990.3565172,992.0438561,993.9013799,996.1463777,996.6382547,996.7993611,996.9546633,997.2977121,997.5215496
17645.93,990.3710279,992.07511,993.9391078,996.1905797,996.686475,996.8487721,997.0057113,997.3515879,997.5772857
17862.35,990.3894826,992.1112008,993.9853934,996.263059,996.760517,996.921177,997.0781162,997.4232486,997.6476814
18081.46,990.4195459,992.1543609,994.0355484,996.3458074,996.8361961,996.9948469,997.1505211,997.4931234,997.7165145
18296.56001,990.4500557,992.1984885,994.0855547,996.4295977,996.9059965,997.0636799,997.2177914,997.5577893,997.7802129
18510.42001,990.4759518,992.2416486,994.1353377,996.4579494,996.931967,997.089576,997.2437619,997.5842063,997.8070764
