Distance,<R2_East,R2-R5_East,R5-R10_East,R10-R20_East,R20-R50_East,R50-100_East,<R2_West,R2-R5_West,R5-R10_West,R10-R20_West,R20-R50_West,R50-100_West
14,0,5,0,0,2,4,0,0,0,0,0,0
13.5,0,19,7,6,1,0,0,0,0,0,0,0
13,0,7,2,0,0,0,0,0,0,0,0,0
12.5,0,12,0,0,0,2,0,0,0,0,0,0
12,0,10,5,0,0,0,0,0,0,0,0,0
11.5,0,9,7,4,0,0,0,0,0,0,0,0
11,0,9,0,0,8,0,0,0,0,0,0,0
10.5,0,3,11,0,1,0,0,0,0,0,0,0
10,0,1,3,8,4,2,0,0,0,0,0,0
9.5,0,6,4,0,3,0,0,0,0,0,0,0
9,0,12,4,5,4,0,0,0,0,0,0,0
8.5,0,8,14,3,4,1,0,0,0,0,0,0
8,0,15,5,0,0,0,0,0,0,0,0,0
7.5,0,6,14,0,2,0,2,1,0,1,1,0
7,0,2,2,1,9,2,0,1,0,0,0,1
6.5,0,14,4,8,3,8,0,3,4,2,0,0
6,0,0,0,0,12,10,0,1,0,3,1,4
5.5,0,0,6,0,1,2,0,0,0,0,0,0
5,0,2,14,8,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,1,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0
