ExceedanceRnd,EWRTotal,FlowSpill,FlowAvailableForGeneration,FlowCanal,Power,Energy,LevelHeadpond,LevelTailwater,HeadTurbine1,Flow,Exceedance,GenerationVol,MaxGenerationFlow,MaxFlowFromStore,MaxVolFromStore,MaxVolToStore,StoreVol,PeakStoreFlow,OffpeakStoreFlow,OffpeakFlowCanal,PeakFlowCanal,PeakVol,OffpeakVol,PeakEnergy,OffpeakEnergy,EnergyTransfer,EnergyTransferProp,PeakPower,OffpeakPower,HeadpondDrop,PeakTailwaterFlow,OffpeakTailwaterFlow,PeakTailwaterLevel,OffpeakTailwaterLevel,TailwaterDrop
0.0,276.63235294117646,8588.543600025814,8588.543600025814,0.0,0.0,0.0,990.5276422287125,981.7643863364171,6.82635389918011,8865.17595296699,0.001411764705882354,0.0,1100.0,1100.0,7.920000000000003,300.18756960092946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,8865.17595296699,8865.17595296699,981.7643863364171,981.7643863364171,0.0
0.005,324.51724137931035,6154.272847717582,6154.272847717582,0.0,0.0,0.0,990.1282092954167,979.4843504475292,8.706956854773324,6478.790089096893,0.00498850574712644,0.0,1100.0,1100.0,7.920000000000004,212.5538225178332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,6478.790089096893,6478.790089096893,979.4843504475292,979.4843504475292,0.0
0.01,321.1656804733728,4741.890221884257,5223.5470266179855,481.6568047337278,38.47113052576644,923.3071326183943,990.050823956075,978.1489154858583,9.96500647710247,5544.712707091359,0.0100473372781065,41.61514792899407,1100.0,618.3431952662722,4.452071005917154,179.04769295824738,0.0,0.0,0.0,481.6568047337278,481.6568047337278,6.9358579881656794,34.679289940828355,351.4389761542988,1757.1948807714923,0.0,0.0,87.8597440385747,87.8597440385747,0.0,5544.712707091359,5544.712707091359,978.1489154858585,978.1489154858585,0.0
0.015,305.94767441860466,3785.016337998179,4885.016337998177,1100.0,91.54833804300591,2197.160113032143,990.0220617109582,977.618190681106,10.466969036737755,5190.96401241678,0.01495348837209299,95.04000000000042,1100.0,0.0,0.0,166.86058816793414,0.0,0.0,0.0,1100.0,1100.0,15.840000000000009,79.20000000000022,366.19335217202365,1830.9667608601178,0.0,0.0,91.54833804300591,91.54833804300591,0.0,5190.96401241678,5190.96401241678,977.6181906811056,977.6181906811056,0.0
0.02,302.5232558139535,3375.069914800552,4475.069914800553,1100.0,98.867100506941,2372.810412166583,990.0,976.9641953923117,11.098902614574543,4777.593170614507,0.020075581395348815,95.04000000000042,1100.0,0.0,0.0,152.1025169328201,0.0,0.0,0.0,1100.0,1100.0,15.840000000000009,79.20000000000022,395.468402027764,1977.3420101388197,0.0,0.0,98.867100506941,98.867100506941,0.0,4777.593170614507,4777.593170614507,976.9641953923114,976.9641953923114,0.0
0.025,283.1058823529412,3105.5861320696736,4205.586132069675,1100.0,104.44286396582336,2506.6287351797646,990.0,976.4857998306688,11.577298176216143,4488.692014422615,0.025111764705882327,95.04000000000042,1100.0,0.0,0.0,142.40110075450832,0.0,0.0,0.0,1100.0,1100.0,15.840000000000007,79.2000000000002,417.77145586329345,2088.8572793164685,0.0,0.0,104.44286396582336,104.44286396582339,0.0,4488.692014422616,4488.692014422616,976.4857998306688,976.4857998306688,0.0
0.03,285.3878787878788,2923.0960092753985,4023.0960092753976,1100.0,108.074453639896,2593.786887357505,990.0,976.175404232633,11.887693774252517,4308.483888063276,0.02995151515151512,95.0400000000004,1100.0,0.0,0.0,135.83145633391442,0.0,0.0,0.0,1100.0,1100.0,15.840000000000002,79.20000000000019,432.297814559584,2161.489072797921,0.0,0.0,108.074453639896,108.074453639896,0.0,4308.48388806328,4308.48388806328,976.175404232633,976.175404232633,0.0
0.035,290.5780346820809,2682.4449865167667,3782.4449865167685,1100.0,112.97977932775069,2711.514703866019,990.0,975.7568870952141,12.30621091166959,4073.0230211988496,0.03502312138728321,95.0400000000004,1100.0,0.0,0.0,127.1680195146036,0.0,0.0,0.0,1100.0,1100.0,15.840000000000009,79.20000000000022,451.91911731100276,2259.595586555015,0.0,0.0,112.97977932775069,112.97977932775069,0.0,4073.0230211988496,4073.0230211988496,975.7568870952141,975.7568870952141,0.0
0.04,283.9230769230769,2536.3449875211872,3636.3449875211904,1100.0,116.26423382535458,2790.34161180851,990.0,975.4768973273009,12.586200679584273,3920.268064444269,0.04001775147928993,95.0400000000004,1100.0,0.0,0.0,121.90841955076284,0.0,0.0,0.0,1100.0,1100.0,15.840000000000005,79.2000000000002,465.0569353014182,2325.284676507095,0.0,0.0,116.26423382535455,116.26423382535458,0.0,3920.268064444269,3920.268064444269,975.4768973273009,975.4768973273009,0.0
0.045,281.4689265536723,2417.578363179719,3517.5783631797217,1100.0,118.93362588673207,2854.407021281566,990.0,975.2493394132492,12.813758593637395,3799.047289733395,0.04509039548022597,95.04000000000042,1100.0,0.0,0.0,117.63282107446996,0.0,0.0,0.0,1100.0,1100.0,15.840000000000012,79.20000000000023,475.7345035469281,2378.6725177346393,0.0,0.0,118.93362588673203,118.93362588673206,0.0,3799.047289733395,3799.047289733395,975.2493394132492,975.2493394132492,0.0
0.05,281.0989010989011,2252.67258539473,3352.672585394732,1100.0,122.66521388899088,2943.9651333357797,990.0,974.9310198692673,13.132078137617295,3633.771486493632,0.05028571428571424,95.04000000000043,1100.0,0.0,0.0,111.6962130742104,0.0,0.0,0.0,1100.0,1100.0,15.840000000000016,79.20000000000024,490.660855555963,2453.304277779815,0.0,0.0,122.66521388899075,122.66521388899075,0.0,3633.771486493632,3633.771486493632,974.9310198692673,974.9310198692673,0.0
0.055,275.74375,2140.460505555779,3240.460505555776,1100.0,125.37973747497844,3009.1136993994796,990.0,974.6991988953484,13.36389911153719,3516.204255555778,0.05531249999999999,95.04000000000039,1100.0,0.0,0.0,107.65657820000804,0.0,0.0,0.0,1100.0,1100.0,15.839999999999998,79.20000000000017,501.51894989991376,2507.5947494995676,0.0,0.0,125.37973747497844,125.37973747497844,0.0,3516.204255555778,3516.204255555778,974.6991988953484,974.6991988953484,0.0
0.06,278.5029239766082,2078.056710181977,3178.0567101819793,1100.0,126.77900504562771,3042.696121095057,990.0,974.5795659668179,13.483532040065406,3456.5596341585865,0.05988888888888889,95.04000000000042,1100.0,0.0,0.0,105.41004156655112,0.0,0.0,0.0,1100.0,1100.0,15.840000000000007,79.2000000000002,507.11602018251085,2535.580100912554,0.0,0.0,126.77900504562771,126.77900504562771,0.0,3456.5596341585865,3456.5596341585865,974.5795659668179,974.5795659668179,0.0
0.065,268.0,2014.079146927033,3114.079146927033,1100.0,128.54866059570915,3085.1678542970208,990.0,974.4280922125362,13.635005794348617,3382.079146927032,0.06500602409638565,95.0400000000004,1100.0,0.0,0.0,103.10684928937326,0.0,0.0,0.0,1100.0,1100.0,15.840000000000003,79.20000000000019,514.1946423828366,2570.9732119141827,0.0,0.0,128.54866059570915,128.54866059570915,0.0,3382.079146927032,3382.079146927032,974.4280922125362,974.4280922125362,0.0
0.07,259.5891891891892,1902.4494526528024,3002.4494526528047,1100.0,131.44801485245722,3154.7523564589733,990.0,974.1794754612267,13.883622545659742,3262.0386418419935,0.0703621621621621,95.04000000000045,1100.0,0.0,0.0,99.08818029550089,0.0,0.0,0.0,1100.0,1100.0,15.840000000000018,79.20000000000024,525.7920594098289,2628.9602970491437,0.0,0.0,131.44801485245722,131.44801485245722,0.0,3262.0386418419935,3262.0386418419935,974.1794754612267,974.1794754612267,0.0
