,1,2,3,4,5,6,7,8,9,10,11,12
0.0,476.8498537735839,663.943466896229,1146.5695781734614,3878.779701108037,9912.101075056224,9508.124796217227,8507.274690431826,5686.865285567599,3943.549770471004,1861.476158251186,915.8657086038969,560.6291114137188
0.01,424.4905330595024,549.5304979237502,899.518327631059,2191.7460708094145,5317.622295953758,7989.937157021353,6286.498298389479,5300.780787632902,2842.8102032722686,1394.4803303968804,726.8019111671641,485.59681084860705
0.02,395.8074582913184,501.4675547588131,833.4284993507283,1818.3048555621103,4732.736456883167,6956.444305937163,5978.768489709591,4741.501343033119,2555.561611865565,1238.6467398888317,655.0907423557253,465.61545811645533
0.03,377.16955953575746,469.4154588764537,790.3428130358088,1564.6100124119948,4517.09275165339,6485.6814326970325,5646.279239405386,4385.553942338906,2383.534305119585,1192.011550494409,616.7406547328167,441.30929115268907
0.04,358.7189493083931,441.30929115268907,752.0600531931917,1430.3696456337875,3977.6869844908197,6036.851182671044,5503.720706344916,4162.406885681613,2286.821706239168,1142.9182229508478,601.2752009453283,434.62356089063246
0.05,354.12247961798556,424.4905330595024,726.8019111671641,1244.0844065873578,3542.204273194252,5772.120872657489,5448.242548352152,4012.434330897277,2220.304558596772,1103.398038904498,582.1048612250179,421.08307865451246
0.06,341.84482321324555,415.09335988554136,692.5683005817792,1166.7635352946131,3319.87493588865,5560.946991115539,5356.358946275675,3835.388600694321,2158.2705802040355,1057.0940758706304,572.3936998626923,410.18433455046335
0.07,334.5594571731722,401.81006744201835,673.2729478898602,1136.1304204331375,3125.7959114901687,5386.676113248409,5268.776368397099,3759.0625980155623,2104.5378857682617,1010.9967648064827,560.6291114137188,401.81006744201835
0.08,330.2174348734584,397.4011444872051,649.4168976114638,1103.398038904498,2840.7060567059916,5174.606355751969,5170.106905698119,3666.161697038732,2057.7716128822753,994.8457764955499,549.5304979237502,395.097856726651
0.09,324.43708615163195,386.5121702836538,627.2657620273757,1046.5916097478537,2679.855927890061,5028.073153368817,5073.36834113476,3589.3468319627586,2007.3662299275088,963.8787393868834,540.7666511918678,388.4979798476216
0.1,318.18950727505813,381.4827671297545,608.0169370785222,1013.6035654391567,2502.9048043951893,4874.559784204616,4887.930281923548,3465.456007417891,1971.457548993404,949.3311344900044,529.8283395473499,382.62578168127664
0.11,311.45853668421523,378.479935809287,601.2752009453283,997.3077128679766,2334.1207773432943,4744.909909869215,4820.861229457064,3390.523841194304,1943.7991348370042,926.0926098111183,520.0614304757682,381.4827671297545
0.12,302.6732784214865,369.2475351019857,588.9430518538762,980.6335716282007,2260.9215799517387,4621.280566009721,4729.721965271601,3355.8315273073767,1897.6561857477398,910.2325169753236,505.8955051385746,378.47993580928704
0.13,299.2028699782439,358.7189493083931,584.250819377603,960.9110977863057,2198.4464056333622,4498.679857992239,4592.273419481579,3337.7925870959007,1854.9671276169092,899.1255030135243,501.4675547588131,373.2384307151688
0.14,295.26778961264966,354.47090574203247,572.3936998626923,954.7359965610758,2098.5205819449084,4380.5397894438265,4512.506440162886,3286.142052241587,1818.3048555621103,871.8466085716315,497.26626416644274,369.2475351019857
0.15,293.3095719732292,347.45724092899934,563.5949384091037,937.5552046024188,1989.6769654945733,4287.816913909562,4433.227138658534,3240.0711651584834,1793.1452204029245,852.3463221406523,486.69139154698405,363.0584041422262
0.16,293.3095719732292,344.0252991054098,560.6291114137188,926.0926098111183,1919.4353256222635,4142.37914723726,4372.573513388075,3154.834133022836,1755.1870044200243,833.4284993507283,485.59681084860705,358.1370704392211
0.17,289.82351177116294,341.84482321324555,554.7088201906283,915.8657086038969,1845.0852016885735,4012.8655622067854,4312.264338701022,3093.978211314623,1724.899909276999,816.3806334647652,482.41897964712797,357.5936854206976
0.18,286.4924690684764,339.3396877468948,549.5304979237502,905.9666914433141,1743.7625964610656,3882.710343964029,4218.798774229887,3024.1752768495458,1696.006723095134,802.764628297062,476.8498537735839,350.59443013777013
0.19,286.4924690684764,334.5594571731722,540.7666511918678,899.1255030135243,1675.2491871828574,3830.078120497813,4162.406885681613,2972.8355542141107,1675.2491871828574,787.2743695267917,473.40951125934566,348.8896919803591
0.2,286.3731610411107,334.5594571731722,533.6734106622347,883.6270637407242,1605.4679722547605,3772.551001927503,4103.592279943548,2933.5575182053426,1644.2904598495156,774.5199897066693,469.4154588764537,344.51519776660774
0.21,283.32091755914985,330.2174348734584,526.5374190714055,871.8466085716315,1529.7148531210096,3696.380871576045,4019.24031909905,2895.052850511854,1621.183052786127,758.1808343564502,465.61545811645533,344.0252991054098
0.22,281.5855192414594,330.2174348734584,517.2359262473557,852.3463221406523,1483.898173501151,3635.7516959815503,3959.981492557047,2853.2191637925757,1605.4679722547605,752.0600531931917,458.9258798435102,341.84482321324555
0.23,278.94434036067554,324.4370861516319,505.8955051385746,843.7720769363293,1439.6523425990665,3580.9836617775068,3882.710343964029,2826.3557291246416,1581.2977111798239,738.7717302759537,458.88738889818484,337.38565901529654
0.24,274.56399362840483,322.961042504753,501.46755475881315,833.4284993507283,1417.3454921439304,3437.1790753258692,3835.388600694321,2791.258017969141,1559.3900404643032,730.0393120791321,454.8146066392561,334.5594571731722
0.25,274.56399362840483,318.5025475361183,492.3446537823716,823.4036884951529,1385.5367259085865,3355.8315273073767,3784.7271380978787,2777.255319172183,1531.3339759216449,716.5115113267352,449.9382695661725,332.7465878013071
0.26,272.9467281356309,315.16847984989465,486.6913915469841,816.3806334647652,1339.3697298950844,3302.442826712328,3739.1871752062953,2730.909932695606,1515.5995847203915,702.4678612243184,444.956992829898,330.2174348734584
0.27,271.2422118677317,314.98263852268406,485.59681084860705,802.764628297062,1300.769064715258,3272.9198583680604,3710.764319990535,2708.577214073659,1491.8333883094156,694.9996530129279,441.30929115268907,330.1395096648478
0.28,271.2422118677317,311.4525789114916,482.41897964712797,787.2743695267917,1263.7256800546547,3189.4198776845833,3654.2915461340162,2672.600326972779,1477.5244577782466,686.0753050426567,434.62356089063246,324.43708615163195
0.29,271.2422118677317,307.6311794595605,476.8498537735839,782.2844810055741,1248.1885554862179,3129.378635980614,3616.539636773463,2639.636759266347,1461.9394046747304,678.2054965918314,429.0966166544422,324.43708615163195
0.3,267.1267971932527,303.045958562418,473.4095112593456,772.555878502988,1238.3766673938208,3093.978211314623,3580.983661777507,2607.689125195241,1436.348946451972,663.943466896229,427.45145519615977,321.37542013461825
0.31,267.1267971932527,302.6732784214865,469.54010950964835,761.7593634587538,1207.6881799902603,3022.4484732551564,3525.5651133126094,2580.548706826419,1420.8493472133462,655.0907423557253,427.45145519615977,315.16847984989465
0.32,263.11728844226485,299.2028699782439,469.4154588764537,755.1011723283336,1199.1767503445706,2960.164243147265,3470.774526269658,2551.324544137803,1398.6760521753765,649.4168976114638,424.4905330595024,315.16847984989465
0.33,258.13845413202347,295.26778961264966,465.61545811645533,748.546751242795,1183.088802330316,2906.588534135227,3429.2368280554547,2526.896327131232,1385.5367259085865,642.5299388881682,421.08307865451246,311.45853668421523
0.34,255.7839704678297,293.3095719732292,458.9258798435102,743.859461672278,1156.453404412633,2840.7060567059916,3390.523841194304,2501.426101291461,1366.3053805090624,624.4189347589191,415.7296139968528,311.45853668421523
0.35000000000000003,255.7839704678297,289.82351177116294,458.88738889818484,743.859461672278,1146.5695781734614,2805.114298678009,3355.8315273073767,2469.3558940772978,1351.7783629013575,618.5439782521025,411.5528446575176,307.6311794595605
0.36,252.39849529613048,286.4924690684764,454.8146066392561,730.7142707795281,1142.0093628318518,2777.255319172183,3344.3792652813213,2458.1421101457818,1320.9704093247046,608.0169370785222,410.18433455046335,302.86562603875564
0.37,252.33245381571345,286.4924690684764,446.92516794005036,726.8019111671641,1136.1304204331375,2742.194974831855,3326.534014194297,2419.898537488359,1311.8985628037676,603.4385628426149,404.8242870084652,302.6732784214865
0.38,249.41120478322944,283.32091755914985,442.44713162411733,726.8019111671641,1116.0171269391562,2697.8641835074463,3302.442826712328,2408.9859171420626,1285.9144560214854,601.2752009453283,402.9910546836203,299.9469781192793
0.39,248.2827412743233,283.32091755914985,441.30929115268907,708.6804404691168,1103.398038904498,2659.8991127403297,3280.941975860233,2383.534305119585,1279.419574585491,594.6279260983613,401.81006744201835,298.8251105752605
0.4,245.7111889605859,281.5855192414594,434.62356089063246,700.2661474818176,1091.0344455501943,2607.689125195241,3240.0711651584834,2370.0556589516227,1260.564276899205,586.8242942429775,397.4011444872051,295.26778961264966
0.41000000000000003,245.7111889605859,278.94434036067554,429.0966166544422,700.2661474818176,1063.2749338255057,2563.256817673925,3189.4198776845833,2334.6530889382584,1254.4558117926888,585.0411849755841,395.097856726651,293.3095719732292
0.42,244.24535424447356,276.09323346278455,429.05364216996804,692.5683005817792,1041.6912238030525,2503.069104740048,3154.834133022836,2318.8841846237437,1240.627271518914,577.0708225332578,394.2137720954318,293.3095719732292
0.43,244.24535424447356,274.56399362840483,424.4905330595024,686.0753050426567,1029.435717255909,2458.1421101457818,3105.7211176771584,2291.3369485381245,1225.0373569504754,574.6050789370613,388.4979798476216,292.54354293593497
0.44,243.80870383002514,272.9467281356309,424.4905330595024,681.7895583273498,1011.4138529077107,2415.395234223478,3093.978211314623,2272.4845315107204,1219.5328845890633,572.3936998626923,386.5121702836538,289.82351177116294
0.45,242.109874929545,271.2422118677317,421.08307865451246,673.2729478898602,1003.7330308630933,2370.0556589516227,3049.2192735652075,2247.955944849372,1205.370886105216,563.5949384091037,386.5121702836538,286.4924690684764
0.46,240.36589581017554,271.2422118677317,415.7296139968528,666.4640622559676,999.4335864631116,2318.8841846237437,3041.3152168182887,2230.748580800726,1200.0075471075754,560.6291114137188,381.4827671297545,286.3731610411107
0.47000000000000003,239.2853416424908,267.1267971932527,410.18433455046335,663.943466896229,994.8457764955499,2292.8234915505486,3024.1752768495458,2210.5641439813435,1192.0665521748551,555.4035080925796,379.29534248650543,283.32091755914985
0.48,235.65358825672595,267.1267971932527,410.18433455046335,663.943466896229,980.6335716282006,2260.9215799517387,3006.1791068653365,2181.9233591234583,1174.5842669415053,549.5304979237502,378.47993580928704,282.6636429265024
0.49,231.52869092080718,263.11728844226485,404.8242870084652,649.4168976114638,980.6335716282008,2220.304558596772,3002.1706113326813,2168.0919268392454,1156.453404412633,547.064120682243,373.3286810335358,281.57482563191803
0.5,227.9974360734733,258.13845413202347,404.8242870084652,642.5299388881682,963.8787393868834,2181.9233591234583,2963.306816341821,2141.4373750369728,1146.5695781734614,542.9401072877282,369.2475351019857,278.94434036067554
0.51,224.89547857346128,258.13845413202347,401.81006744201835,642.5299388881682,955.5635883033212,2141.4373750369728,2949.9775844496285,2134.078177217945,1146.0938408130569,535.4924250309305,369.2475351019857,278.94434036067554
0.52,224.89547857346128,255.7839704678297,401.81006744201835,627.2657620273757,949.3311344900044,2124.593138027556,2918.657531274862,2106.235692212529,1140.7530803361815,529.8283395473499,363.536088682427,274.56399362840483
0.53,223.26370107801893,255.7839704678297,399.5938212034184,624.4189347589191,934.3984496234046,2090.679837387742,2876.3891628746333,2090.679837387742,1125.9198285745003,522.4844183176111,359.8408024759382,272.984464789153
0.54,222.60840809988187,252.39849529613048,397.4011444872051,618.5439782521025,926.0926098111183,2062.090499726492,2840.060455338675,2067.877946003444,1114.7158627031731,519.6058158078285,358.7189493083931,272.9467281356309
0.55,220.23939209737784,252.39849529613048,394.2137720954318,608.0169370785222,916.9566262985775,2002.2086363002882,2790.352411132981,2062.090499726492,1103.398038904498,514.8470775482588,358.0844060065464,272.18768033939347
0.56,220.23939209737784,251.04804665270456,388.4979798476216,604.7408639649767,915.8657086038969,1960.2263993487195,2742.194974831855,2045.0650866811482,1083.6197850514125,505.8955051385746,357.5936854206976,271.2422118677317
0.5700000000000001,220.23939209737784,249.41120478322944,388.4979798476216,603.3572279848385,905.9666914433141,1911.3152596507484,2697.0711194474666,2010.9503204142193,1070.872043285774,501.46755475881315,353.7777885505091,268.90685350954425
0.58,217.25841397528836,248.2827412743233,386.5121702836538,601.2752009453283,900.6968014836636,1828.3046708455013,2666.6532305649907,1991.1655333356066,1051.074922122234,498.3571266865325,348.8896919803591,267.1267971932527
0.59,216.00988579513643,247.70181809006942,386.5121702836538,601.2752009453283,899.1255030135243,1788.7923347402716,2633.57332639613,1960.2263993487195,1029.435717255909,491.6709992178998,347.20445544934745,263.21544989020924
0.6,215.5732291325278,245.7111889605859,381.4827671297545,588.9430518538762,887.3034117999985,1742.018455015875,2593.978691122928,1943.7991348370042,1018.8350735847098,486.69139154698405,344.51519776660774,263.11728844226485
0.61,214.77673837375613,244.24535424447356,380.2167921396097,586.8242942429775,878.0555695627761,1675.2491871828574,2555.273304502478,1919.4353256222635,1003.7330308630933,485.7742986865307,344.0252991054098,259.05848696109416
0.62,214.2318888547171,244.24535424447356,378.47993580928704,585.0411849755841,871.8466085716315,1621.183052786127,2501.426101291461,1899.1924437120965,997.3472147530872,482.5991479022167,343.5630004763578,258.13845413202347
0.63,213.46743002362155,242.10987492954501,373.2384307151688,580.8463515520779,862.2849254693456,1567.3181189985814,2469.3558940772978,1861.476158251186,981.22093533969,478.02501502357234,341.84482321324555,255.7839704678297
0.64,213.46743002362155,242.109874929545,369.2475351019857,574.6050789370614,852.3463221406523,1521.7184262484936,2419.898537488359,1845.2669052575372,963.8787393868834,476.8498537735839,337.38565901529654,255.7839704678297
0.65,209.66200797432626,239.3424082743461,363.0584041422262,572.3936998626923,852.3463221406523,1485.5939813905293,2408.9859171420626,1818.3048555621103,960.9110977863057,473.40951125934566,337.2264574160955,252.39849529613048
0.66,208.65659646887931,239.2853416424908,358.7189493083931,572.3936998626923,843.7720769363293,1450.1667677548648,2348.2858630295364,1793.1452204029245,949.3311344900044,469.4154588764537,334.5594571731722,252.39849529613048
