WaterWeek,Flow,Flow_difference,Flow_difference_abs,Flow_difference_pct,Flow_difference_abs_pct,Flow_P50,Flow_P25,Flow_P75,Flow_P90,Flow_P10,YearlyMax_count,YearlyPeak_count,YearlyMin_count
1,249.08415862081844,-6.5801850034366955,7.248957010073735,-0.02641751703468919,0.029102440918809466,245.05248911760242,284.9950257501745,211.47559264499154,184.05085535814698,334.09197558223394,,,7.0
2,241.0462174401722,-8.037941180646309,10.050856472979277,-0.03334605813775663,0.04169680229673757,232.129588938912,273.2463013557635,205.32194197928598,172.91709183257294,320.2204684519139,,,10.0
3,235.20526853104627,-5.840948909125818,8.546980724967263,-0.024833410176587238,0.03633838977479831,222.51733832299402,271.5465897727138,200.27989162684293,166.94000069694494,300.13604225272945,,,29.0
4,236.6733928952689,1.468124364222663,8.76395075453849,0.00620316608581484,0.037029725425944494,224.11285842379968,271.2422118677318,197.64739624996287,168.653509656446,312.8885758174113,,,21.0
5,242.65372768212237,5.980334786853405,9.61944930372188,0.024645550859567565,0.03964270153856201,229.8686118213796,275.61963608487116,202.86392427486925,171.93697995632783,324.0146748412397,,,16.0
6,252.80411574533136,10.15038806320896,12.010835580080448,0.04015119782873397,0.047510443193020904,243.78658420931646,283.8879633172079,207.76503868751644,175.84135941200566,339.8348716534233,,,6.0
7,270.08050866035757,17.276392915026108,17.79270377750397,0.06396756656272522,0.06587925898747236,259.9961187603218,305.48319371629134,214.72975059667533,196.53989088324403,371.0297038022434,,,2.0
8,293.17895426915516,23.098445608797793,23.167618643797336,0.07878616548850942,0.07902210682738205,284.32045254289625,327.3864555509668,234.2095951381054,211.4833989248703,395.34832892513634,,,1.0
9,326.69298901185454,33.51403474269933,33.51403474269933,0.10258571769191907,0.10258571769191907,311.1020260383296,369.68824133113924,262.79789023372325,236.20550494366904,434.63347701226735,,,
10,367.74474888953597,41.051759877681576,41.8372750254037,0.11163112458204753,0.11376715820344964,351.92473544924763,419.73492433084573,293.37916952338935,258.1308545239193,491.84084533986515,,,
11,408.55661855060885,40.811869661072784,41.44712973927168,0.09989281242305299,0.10144770114435811,386.9436734822034,476.99776329263847,325.0255260668284,289.1007992968688,543.1789360064939,,,
12,454.9364885288501,46.37986997824101,46.9596324061444,0.10194801065138086,0.1032223916749347,423.1980839472885,536.6103149119401,367.7296238369831,323.8504798414342,601.4176635344775,,1.0,
13,512.0594347842589,57.12294625540925,58.22401732137257,0.11155530466785818,0.11370558448142556,473.5357416249583,589.4853048227257,397.4939466150304,361.51762420554326,730.8036120425018,,,
14,573.061088330613,61.001653546353545,61.22912243910804,0.10644877970001027,0.10684571625247649,514.8246831797491,653.2631821439711,449.76278193994176,407.79483914311356,827.8156038416112,,,
15,636.8992006856482,63.83811235503543,66.4884344066463,0.10023267777116233,0.10439396742069823,580.5737997661124,739.3361843947943,497.63769203810125,447.3156974122154,915.4251441597871,,,1.0
16,715.5208122062841,78.62161152063634,81.38123229015717,0.10988025809928473,0.11373705824044575,620.0448691245545,817.719931631971,557.0017754646831,483.66732581202575,990.0571025740919,,,
17,829.9787490598077,114.45793685352312,114.81909164914482,0.13790465958698342,0.1383397969878275,719.8617139703142,902.9306796378111,600.9472442454305,516.6108808290908,1099.68863619585,,,
18,970.8538902876584,140.87514122785046,140.98415686882024,0.14510436908906033,0.14521665750038604,790.1714975567031,997.6308609234987,681.9595529302004,548.126380951626,1429.6918235328133,,,
19,1142.7127889794658,171.85889869180787,173.04369368513824,0.15039553276137888,0.15143235934173813,856.9261182281994,1134.2122881494547,742.3696043886756,605.1710190695557,2032.3231796297096,,1.0,
20,1300.7209437247368,158.00815474527084,158.52998669378755,0.12147736646170978,0.12187855316592505,948.8986977420795,1271.5645652379656,799.7328382682747,685.1779170385289,2278.1879148051544,,3.0,
21,1528.456325243392,227.7353815186552,239.2402661403114,0.148996983268325,0.15652411010318837,1098.4966395849249,1622.8576273530036,876.6518297620771,741.7491775285775,3109.7768433049678,1.0,2.0,
22,1832.1443843216884,303.68805907829676,309.52348206258927,0.16575552760855725,0.16894055114394468,1306.855782663848,2086.8509639028794,946.0755665870199,785.3383732964788,3560.7958328610184,3.0,6.0,
23,2208.935007226332,376.79062290464225,406.6638838514396,0.17057569447358373,0.18409952421464432,1777.76894197147,2729.8668195699784,1035.5448517607085,823.7858388809894,4343.542130251397,4.0,6.0,
24,2485.6734048286175,276.7383976022866,340.7051923914746,0.11133337029100458,0.13706756154273034,2112.3409295128704,3070.6211613757287,1147.4643231108676,899.512619256807,4648.8656497719385,3.0,5.0,
25,2727.763593143118,242.09018831450135,366.836513373348,0.08875042871129028,0.1344825168484097,2499.687357288448,3631.6454289146905,1234.1168768141524,959.051122174187,4807.585849351732,7.0,11.0,
26,2958.4201161107,230.6565229675808,379.99874184428154,0.07796611499208382,0.12844651095188217,2842.4875344766806,3889.246601406022,1582.9290253129855,1047.5072150868432,5192.25067399192,11.0,13.0,
27,3071.755281920805,113.33516581010461,270.9952302987751,0.03689589677835104,0.08822162100403994,2991.624588179481,3967.4004819022175,1795.3649224633489,1159.563152603097,5410.235955446435,15.0,17.0,
28,3063.533617791239,-8.22166412956492,213.83815731106714,-0.0026837192455856297,0.06980114599337779,3028.404856384097,3917.5589131125134,1854.7452079908817,1254.6870454534153,5012.574371750463,11.0,13.0,
29,2999.0191635810565,-64.51445421018218,244.68064827863915,-0.021511851272449697,0.08158689055740206,2989.852612909733,3770.9464539243745,2045.3547229483893,1263.9055542079382,4713.654170870548,5.0,11.0,
30,2885.851422972259,-113.16774060879762,241.56547626045293,-0.03921468018344528,0.08370683062111858,2933.330681441048,3606.290248479953,1957.6046459049278,1271.014819233417,4591.739170345283,14.0,17.0,
31,2710.5507696508153,-175.30065332144287,221.49006405145153,-0.06467344396726642,0.0817140437033706,2671.85577997997,3382.1498578700903,1919.2468964420696,1234.8573513694637,4160.987226125453,14.0,16.0,
32,2496.5555673027634,-213.99520234805382,235.85172724458366,-0.08571617838222229,0.09447085029210621,2483.110715054193,3074.146270686096,1798.9006021781252,1199.5012023978843,3752.693646019844,5.0,7.0,
33,2265.086822360499,-231.4687449422645,244.2687706330183,-0.10218978922010839,0.10784079807521912,2233.8633513832365,2741.3508605708566,1667.0957423410694,1153.9214757638956,3345.674141109983,1.0,2.0,
34,2019.5498558898216,-245.53696647067636,247.25619174679355,-0.1215800470360222,0.12243133836270237,2002.3336756763294,2380.461734312286,1483.3934859784517,1041.3503935350748,3020.560213953304,2.0,2.0,
35,1753.9261995918616,-251.56949077896317,251.56949077896317,-0.14343219847990374,0.14343219847990374,1748.7509603466292,2107.3019562746604,1302.766958114147,947.1640492937131,2563.0515905937773,,,
36,1510.8755909240606,-243.05060866780056,243.05060866780056,-0.16086738718119692,0.16086738718119692,1482.111684111441,1838.6434011022384,1116.8031503274597,804.8894086009965,2231.1280508432155,,,
37,1280.9373281054927,-229.9382628185674,229.9382628185674,-0.17950781648204933,0.17950781648204933,1234.0239590367548,1557.0680011110967,917.296635923869,654.9992626316607,1946.6446393277295,,,
38,1077.1758638752474,-203.76146423024562,203.76146423024562,-0.18916267163394607,0.18916267163394607,1057.296939754408,1309.3983668278183,750.953766133446,533.3224834221929,1639.254331309396,,,
39,899.7404125048595,-177.43545137038743,177.43545137038743,-0.19720738215638292,0.19720738215638292,864.4965856746863,1132.4834311027303,619.9287428698152,465.40416918525483,1366.2147494784492,,,
40,756.7103791338473,-143.03003337101245,143.03003337101245,-0.18901555643353113,0.18901555643353113,714.9668889383411,956.4411865105967,539.77040172996,417.20918901630927,1152.09138000249,,,
41,645.6526045862457,-111.05777454760164,111.05777454760164,-0.17200855964760015,0.17200855964760015,586.2027733835424,787.4537850356235,471.2940795409839,387.78110697837275,978.6265098179201,,,
42,563.6407227035941,-82.01188188265147,82.01188188265147,-0.14550382642557866,0.14550382642557866,503.8256693618859,663.0116723434512,426.9987071252873,360.7479575942968,834.5728390979899,,,
43,504.6886743330447,-58.952048370549555,58.952048370549555,-0.1168087404546095,0.1168087404546095,472.6790169865029,583.0130568504309,396.3820680667492,340.7734286864818,714.5956559889255,,,
44,458.0646879169949,-46.62398641604966,46.62398641604966,-0.1017847209049616,0.1017847209049616,432.993389615824,529.4302926698357,360.55405139179345,322.68750712237124,624.0518833918555,,,
45,421.43495097278924,-36.629736944205675,36.629736944205675,-0.08691670413109791,0.08691670413109791,403.5440193400008,483.0668904285777,341.4168737800085,303.02272233527003,565.2600283532468,,,
46,390.59022671651655,-30.844724256272514,30.844724256272514,-0.07896952393194176,0.07896952393194176,376.52860652262956,448.71577490278355,320.61096405973154,284.83048789194254,523.7697320278013,,,
47,362.99061576342194,-27.59961095309477,27.59961095309477,-0.07603395171814231,0.07603395171814231,354.40909328823545,419.95456442471976,304.7948574416139,263.11848771628456,482.4381011029964,,,
48,338.58013364693426,-24.410482116487692,24.410482116487692,-0.07209661669618968,0.07209661669618968,333.2926654204959,391.88052841292114,283.89336921195326,248.68554867859444,443.11146309485247,,,
49,317.1744672778088,-21.405666369125502,21.405666369125502,-0.06748861770886674,0.06748861770886674,311.890938884773,366.8610210340263,266.96756514170306,238.78950053011246,407.4300751086243,,,
50,297.2253036874813,-19.949163590327483,19.949163590327483,-0.06711798538963933,0.06711798538963933,287.1447892458951,339.87155018487454,247.2897978596568,222.06419875342596,384.2027469790646,,,
51,280.29888681435216,-16.9264168731291,17.220315143648804,-0.06038702852337698,0.06143554596081639,272.21622116367416,320.82559733584884,233.22890423044885,211.76721294739926,363.0188108937292,,,
52,264.8793697299986,-15.419517084353787,15.9648440773168,-0.05821335614046302,0.060272131021718904,258.51336136717316,300.167901312415,222.405846877349,201.1177658812196,345.21911514021457,,,1.0
53,256.8049088603329,-8.074460869665613,8.544139190440225,-0.0314420036030426,0.03327093406569997,250.00219318648135,291.56654187219607,214.3287396252752,194.05151119667894,337.38565901529654,,,3.0
