Date,LaggedDate,VicFalls,Conversion,Flow,Exceedance,Year,Month,Day,MonthId,WaterYear,WaterMonth,WaterDay,WaterWeek,Volume,Flow_difference
1928-10-01,1928-10-12,268.1972,0.9608962683082812,257.70968865072973,0.862,1928,10,1,1928.1,1928,1,1,1,0.022266117099423048,0.0
1928-10-02,1928-10-13,268.1972,0.9608962683082812,257.70968865072973,0.862,1928,10,2,1928.1,1928,1,2,1,0.022266117099423048,0.0
1928-10-03,1928-10-14,275.3297,0.9493451834369376,261.382924552137,0.852,1928,10,3,1928.1,1928,1,3,1,0.02258348468130464,3.6732359014072813
1928-10-04,1928-10-15,278.9403,0.9468161724841248,264.1051871975735,0.845,1928,10,4,1928.1,1928,1,4,1,0.022818688173870356,2.7222626454365013
1928-10-05,1928-10-16,275.3297,0.9493451834369376,261.382924552137,0.852,1928,10,5,1928.1,1928,1,5,1,0.02258348468130464,2.7222626454365013
1928-10-06,1928-10-17,271.7487,0.9551369481192772,259.557223973381,0.856,1928,10,6,1928.1,1928,1,6,1,0.022425744151300116,1.8257005787560274
1928-10-07,1928-10-18,271.7487,0.9551369481192772,259.557223973381,0.856,1928,10,7,1928.1,1928,1,7,1,0.022425744151300116,0.0
1928-10-08,1928-10-19,271.7487,0.9551369481192772,259.557223973381,0.856,1928,10,8,1928.1,1928,1,8,2,0.022425744151300116,0.0
1928-10-09,1928-10-20,271.7487,0.9551369481192772,259.557223973381,0.856,1928,10,9,1928.1,1928,1,9,2,0.022425744151300116,0.0
1928-10-10,1928-10-21,275.3297,0.9493451834369376,261.382924552137,0.852,1928,10,10,1928.1,1928,1,10,2,0.02258348468130464,1.8257005787560274
1928-10-11,1928-10-22,278.9403,0.9468161724841248,264.1051871975735,0.845,1928,10,11,1928.1,1928,1,11,2,0.022818688173870356,2.7222626454365013
1928-10-12,1928-10-23,278.9403,0.9468161724841248,264.1051871975735,0.845,1928,10,12,1928.1,1928,1,12,2,0.022818688173870356,0.0
1928-10-13,1928-10-24,275.3297,0.9493451834369376,261.382924552137,0.852,1928,10,13,1928.1,1928,1,13,2,0.02258348468130464,2.7222626454365013
