WaterMonth,MonthName,Month,EWRProportion_max,EWRProportion_mean,EWRProportion_median,EWRProportion_min,EWRTotal_max,EWRTotal_mean,EWRTotal_median,EWRTotal_min,FlowCanal_max,FlowCanal_mean,FlowCanal_median,FlowCanal_min,HeadTurbine1_max,HeadTurbine1_mean,HeadTurbine1_median,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_mean,LevelTailwater_median,LevelTailwater_min,LevelHeadpond_max,LevelHeadpond_mean,LevelHeadpond_median,LevelHeadpond_min,Turbines_mean,Power_max,Power_mean,Power_median,Power_min,Energy_max,Energy_mean,Energy_median,Energy_min,Energy_P95,Energy_P90,Energy_P75,Energy_P25,Energy_P10,Energy_P5,Power_P95,Power_P90,FlowAvailableForGeneration_P95,FlowAvailableForGeneration_P50,PotentialPower1u_P95,PotentialPower1u_P50,PotentialPower2u_P95,PotentialPower2u_P50,PotentialPower3u_P95,PotentialPower3u_P50,PotentialPower4u_P95,PotentialPower4u_P50,Energy_stdev,Energy_coefvar,PropYearsMinAvailFlowGt1UnitRatedFlow,PropYearsMinAvailFlowGt2UnitRatedFlow,PropYearsMinAvailFlowGt3UnitRatedFlow,PropYearsMinAvailFlowGtCanalRatedFlow,PropYears1uPotentialGtRatedPower,PropYears2uPotentialGtRatedPower,PropYears3uPotentialGtRatedPower,PropYears4uPotentialGtRatedPower
1,Oct,10,0.4853507247156662,0.39341048037162824,0.397797727900294,0.2729489026772669,120.0,93.49210006583279,97.0,52.0,320.4386244532242,145.95775892085226,134.55051057234675,56.89749809770347,25.389016693576284,25.081082602484408,25.200874053475818,24.034314469452138,965.5819738100397,964.6549516090998,964.57329746359,964.405359874911,990.0,990.0,990.0,990.0,1.0164581961816985,67.50608733537801,31.7484779959793,29.33742360951571,11.78543345086458,50224.52897752122,23620.867629008604,21827.043165479678,8768.36248744325,16265.27197344196,18110.44106149746,19275.569827230473,26623.113845686206,31338.24212231035,36338.57379238301,20.273701721830946,22.54615373620812,102.89244607463927,134.55051057234675,56.81921323899315,57.492006148863425,113.11768904750919,114.52103860757813,168.27476488627633,170.5243624876287,220.58653262922738,223.9303685387692,6718.133574278376,0.28441519083015765,0.030612244897959183,,,,1.0,1.0,1.0,1.0
2,Nov,11,0.40061233496516274,0.33213905844490144,0.3362520715885062,0.21446251957928641,114.0,89.4251700680272,93.0,50.0,422.3624533981352,186.08800931482912,170.11612912521065,103.65596942628204,25.355015031256276,24.845434210048637,24.90638243949941,23.419887309751395,966.0103222323663,964.8111629424128,964.7537513646098,964.446135022434,990.0,990.0,990.0,990.0,1.0976190476190475,88.20392431736995,40.51678983024697,37.30937010986948,22.091035372303917,63506.82550850638,29172.08867777781,26862.746479106023,15905.545468058825,19494.48603631318,22040.357244963867,23270.674709042392,31531.98029234791,40881.59515689607,45423.59956862679,23.744343417963897,26.45355413871863,124.5299836861087,170.11612912521065,56.354829895408315,57.27306686675351,112.15420109004543,114.06360313745083,166.74271182512965,169.78924980654946,218.33735711691972,222.83354350502714,8817.972476777744,0.3022742928755369,0.05102040816326531,,,,1.0,1.0,1.0,1.0
3,Dec,12,0.28792060039186745,0.24166531908971603,0.24300783843446522,0.1539001730706987,126.0,100.15437788018433,104.0,59.0,697.1178948692742,333.0105654744751,299.4858522056485,171.93058509198565,25.082247515992425,23.97193633672177,24.15269438617318,21.921617993214532,967.192471579477,965.5280191247969,965.4031155927134,964.584159832684,990.0,990.0,990.0,990.0,1.7162606978275168,137.5074386232056,70.2584202907739,63.835302296512396,38.01636820192563,102305.53433566494,52272.264696335784,47493.46490860522,28284.177942232673,36490.839574756996,38175.7895409909,42673.89076847176,60527.541718480425,69195.28190851252,85479.77099441832,39.923222541476484,44.118094634390296,223.08294033963406,299.4858522056485,54.36466787905782,56.406706174353374,108.05534780882785,112.26259129997251,160.298619309148,166.91690757339347,209.04449050274482,218.5972884839215,14800.739425079619,0.2831470859558364,0.2653061224489796,0.02040816326530612,,,1.0,1.0,1.0,1.0
4,Jan,1,0.22230623667693164,0.17457235548752115,0.17845867338959426,0.09743010872306809,150.0,117.68301514154047,120.0,73.0,1075.4719034155278,580.157475257404,518.9862269382559,257.1494632198639,24.405972512894895,22.46577199455242,22.869363264099206,18.204675155255654,970.0086311319069,966.7429195676624,966.4483458316708,965.0513112636118,990.0,990.0,990.0,990.0,2.583278472679394,174.89237529967244,114.22362576231164,106.33076731242397,56.55463851871469,130119.92722295632,84982.37756715987,79110.09088044341,42076.65105792372,57203.95645735246,62228.74105967895,70270.40409163262,99199.14510715638,116335.93654692391,121683.1419138254,69.67203948163402,76.30491729184502,362.58812153678764,518.9862269382559,50.05279481274797,54.789505442773056,99.27072436120582,108.92612613011451,146.7226970582253,161.6573509357018,190.00965831874902,210.98017757451584,20580.920144925312,0.2421786814408743,0.9693877551020408,0.22448979591836735,0.05102040816326531,,0.9591836734693877,0.9489795918367347,0.9387755102040817,0.9081632653061225
5,Feb,2,0.18683719875817062,0.12728759362400774,0.13611277222908713,0.02390485343868728,197.0,138.8575198552327,137.0,85.0,1100.0,836.3586041568852,840.4433264539073,78.57142857142857,23.873345631988624,20.050312043183403,20.96682743766599,7.195674997098215,981.3924428635056,968.7015897966096,967.8532978073873,965.6565463090194,990.525019853718,990.0054817923615,990.0,990.0,3.3834321906102347,185.01721823210696,146.52317177014768,148.55227974375697,7.148633064142054,128771.98388954642,99320.62292861914,100532.55521418572,4803.88141910346,73985.29281013632,79025.99563908437,90929.00089174027,111780.96328900482,120262.14629506326,122476.93430786245,96.3775839468944,108.44006002922748,550.8903048582507,863.0383147303489,37.258862305984344,52.177346850326664,73.43395433414895,103.5813768921956,107.36126235753811,153.34054374984214,136.16005786425126,199.18522347137952,18474.18775161118,0.18600555661927753,1.0,0.8571428571428571,0.37755102040816324,0.12244897959183673,0.7448979591836735,0.7244897959183674,0.6938775510204082,0.6326530612244898
6,Mar,3,0.1793846089933718,0.09413985297901548,0.09058800579643614,0.040403622514576756,315.0,193.71428571428575,192.03225806451613,107.0,1100.0,947.9992785224767,1076.8822611420792,0.0,23.030039281708937,16.454329883877413,16.192596029894204,7.422340485900296,981.0044828992874,971.8566735646693,971.9078523358668,966.2912831382374,990.3637253783022,990.0118954935592,990.0,990.0,3.579657669519421,186.15767188485003,139.40461367376432,149.61893916362328,0.0,138501.3078823284,103717.03257328068,111316.49073773573,0.0,18457.346374153734,77299.45929626524,94838.86182693936,122391.90467873233,131148.4357889237,133817.91149959853,0.0,94.78407391769035,754.1650378352169,2149.699705735487,23.63255914486443,42.516187000371744,38.487166493253724,84.00873950870059,42.43793390227818,123.36580693981976,28.553444595167402,157.80125658282358,30856.73747012019,0.29750887298398687,1.0,0.9795918367346939,0.8061224489795918,0.5510204081632653,0.30612244897959184,0.29591836734693877,0.2857142857142857,0.20408163265306123
7,Apr,4,0.16067533259497965,0.08458626282122658,0.08008182373499635,0.050051060394899115,364.0,231.1734693877551,217.0,125.0,1100.0,1013.7709639748656,1100.0,0.0,22.18188496651778,15.029183907970285,14.661849214892847,7.785555426205935,980.5387903350962,973.1176750367819,973.4012487919924,967.0215899008581,990.2612477544168,990.0065441610486,990.0,990.0,3.7227891156462585,191.97824574209199,134.8712970153549,140.1157285857915,0.0,138224.33693430628,97107.33385105556,100883.32458176985,0.0,38194.98926346071,67100.72987064307,83634.46599809805,115515.90415004668,130083.98785938053,134890.67424738346,0.0,94.78407391769035,951.0120435179647,2725.4584504284658,26.246958452306565,38.54168839143206,51.37497015020237,76.00671067155596,74.20588806037064,111.23589260473975,64.14611381859542,141.35267365267973,28769.128003397847,0.29626112531855003,1.0,1.0,0.9591836734693877,0.8163265306122449,0.15306122448979592,0.1326530612244898,0.11224489795918367,0.07142857142857142
8,May,5,0.2180680346705731,0.12911063539273565,0.12648735192365507,0.06545483026907684,340.0,264.83179723502303,276.0,147.0,1100.0,1045.5047756025428,1100.0,496.7741935483871,22.593975100332077,16.744153501339042,16.337128104987336,10.244614957717928,977.8544257547769,971.4540115504011,971.7266475926411,966.7003306085085,990.0359427056095,990.0005796697642,990.0,990.0,3.87393021724819,188.54812276085795,153.28092890390408,157.21516909814684,43.81352783494925,140279.8033340783,114041.01110450465,116968.08580902129,32597.264709202234,87263.51547362028,91931.22845561727,104243.49621894032,126898.68091446956,131997.6886273723,134991.6342627696,107.30487447845803,120.51145632203102,782.0835060462834,1997.0170409336338,33.56908955188406,43.07713179722194,66.03549838288495,85.14101425281498,96.22299048338776,125.08947655921705,119.35315128312719,160.15627904233747,17505.56863651626,0.15350239766354354,1.0,0.9489795918367347,0.8979591836734694,0.7346938775510204,0.19387755102040816,0.16326530612244897,0.14285714285714285,0.12244897959183673
9,Jun,6,0.36959895574208573,0.19580502338609673,0.19148653836397675,0.10859683967699672,293.0,212.91836734693877,210.0,119.0,1100.0,847.5711885133192,922.4642551382058,207.6743169850293,24.53174791685676,20.196257670798758,20.09863451442962,15.006399216551669,973.0566987903337,968.4835444324005,968.497096982625,965.0386626312066,990.0,990.0,990.0,990.0,3.3802721088435366,177.60487464738395,148.17686311702198,161.0813132137352,45.35086391999594,127875.50974611647,106687.34144425577,115978.5455138894,32652.622022397067,51164.62222315028,72963.88297846682,97011.22198355621,122818.74407528054,124721.27522905197,125957.54373149198,64.7463532931369,82.39577216894776,337.0344960499875,981.1101749662753,44.44216365268829,50.800507795337296,87.89751529027144,100.78037455753854,129.2886491275657,149.0218356538519,165.90062032054698,193.15344811239189,23189.37480028101,0.21735825906204137,0.9489795918367347,0.6020408163265306,0.2755102040816326,0.061224489795918366,0.673469387755102,0.6326530612244898,0.5612244897959183,0.4489795918367347
10,Jul,7,0.4417106244843762,0.32686099987806405,0.3288927427898678,0.2022678651333592,256.0,186.68466096115864,186.0,108.0,959.2986021469784,416.9991512651311,375.45386844175994,137.2315714898596,25.09413286410532,23.129119876393652,23.35234234309991,19.60245510583518,968.9162089243722,966.2610240755815,966.1114910185613,964.6636455665441,990.0,990.0,990.0,990.0,2.018433179723503,167.3398996760887,84.00474280820019,77.47564328166945,29.880348411681727,124500.88535901002,62499.52864930095,57641.8786015621,22230.97921829121,36269.146214184555,41281.26706864847,48468.01812386737,75399.73132214721,91503.25835382596,105361.08203800938,44.24252824169133,50.02332646794721,221.34586530897795,375.45386844175994,52.04068292055254,55.32792204524115,103.3046322970695,110.03524591087572,152.9170233429888,163.40161430884373,198.6011906830263,213.49678391394036,21187.303235011444,0.3389994083619129,0.5408163265306123,0.030612244897959183,,,1.0,1.0,0.9897959183673469,0.9795918367346939
