,Energy
0.0,1028049.2614990202
0.05,965750.6692663606
0.1,930860.6374354613
0.15000000000000002,915777.4863591265
0.2,897922.2186657214
0.25,889851.6789188526
0.30000000000000004,876658.4868839555
0.35000000000000003,865605.7362028499
0.4,857443.489108145
0.45,852433.1598959498
0.5,846278.8773499948
0.55,842538.3216952514
0.6000000000000001,836210.4474242106
0.65,824172.7102015739
0.7000000000000001,817794.3784876951
0.75,807182.1320346303
0.8,795049.4368170139
0.8500000000000001,777710.9920765352
0.9,756333.8355507983
0.9500000000000001,721588.0440061874
1.0,504539.4064579913
