WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,PropDays1uPotentialGtRatedPower,PropDays2uPotentialGtRatedPower,PropDays3uPotentialGtRatedPower,PropDays4uPotentialGtRatedPower,FstDay1uPotentialLessRatedPower,LstDay1uPotentialLessRatedPower,FstDay2uPotentialLessRatedPower,LstDay2uPotentialLessRatedPower,FstDay3uPotentialLessRatedPower,LstDay3uPotentialLessRatedPower,FstDay4uPotentialLessRatedPower,LstDay4uPotentialLessRatedPower,Exceedance
1924,3445.6562723883435,130.2268076635365,0.7008190145889592,0.037438441272780856,25.386476679309183,13.557778763014724,59.22827605919168,974.5053192438704,964.4039059066137,192.83327310968917,0.0,838026.1813267383,0.531472717736389,0.4054794520547945,0.043835616438356165,0.10684931506849316,0.41643835616438357,0.0273972602739726,10,277,263,259,231,58.0,156.0,57.0,158.0,56.0,161.0,26.0,166.0,0.6000000000000001
1925,4607.486825487114,159.36433036475563,0.4836015644892589,0.03971796489741517,25.366303074557987,11.271397116243818,58.25925821215647,976.7917008906412,964.4021858203424,192.21225789819215,22.812292723387745,774288.3763253882,0.49105046697449783,0.32054794520547947,0.07945205479452055,0.1917808219178082,0.40821917808219177,0.0,0,274,272,267,260,67.0,157.0,66.0,158.0,65.0,162.0,63.0,167.0,0.9
1926,3303.4547294228223,193.1228452527196,0.4876648694797686,0.06568880695329345,25.434557826976338,13.859110604060746,59.6811581320606,974.2039874028244,964.4021858203424,193.4060315424735,21.724952650543546,866523.5107852456,0.5495456055208305,0.38082191780821917,0.06301369863013699,0.16164383561643836,0.39452054794520547,0.0,0,258,254,249,239,54.0,160.0,52.0,162.0,49.0,164.0,43.0,168.0,0.35000000000000003
1927,2252.94942663694,178.54218611427189,0.4704195974467827,0.06569166544538241,25.389334553574358,16.35253042534778,60.23173396567295,971.7105675815376,964.4021858203424,190.97575869570298,22.459805002856527,833374.8122982846,0.5285228388497493,0.3041095890410959,0.1178082191780822,0.16712328767123288,0.4136986301369863,0.0,0,280,278,274,266,68.0,153.0,67.0,154.0,66.0,157.0,63.0,162.0,0.65
1928,1569.566645086851,200.71039254879486,0.5020111181438414,0.09429354303831458,25.378378578573702,18.35372884583542,60.23173396567295,969.7093691610498,964.4042623552929,191.74728057548938,23.14472953738256,755235.2506326853,0.4789670539273752,0.1780821917808219,0.1643835616438356,0.18904109589041096,0.4684931506849315,0.0,0,347,339,333,322,107.0,124.0,103.0,128.0,100.0,131.0,94.0,136.0,0.9500000000000001
1929,2175.8537845274404,186.61180022177246,0.4557239882218343,0.0882412234522915,25.389223796257085,16.538623354577638,59.46285308245533,971.5244746523076,964.4021858203424,193.66414178067825,24.703365058668272,881399.2578193626,0.5589797424019296,0.2465753424657534,0.18356164383561643,0.2493150684931507,0.32054794520547947,0.0,0,328,326,321,308,128.0,164.0,127.0,165.0,125.0,168.0,115.0,171.0,0.30000000000000004
1930,3345.707466801638,207.086012326485,0.5646775195011442,0.05364385161700656,25.37046102796582,13.7695750415199,59.46285308245533,974.2935229653656,964.4425160739587,192.39883441042682,24.27309984859873,818182.127910956,0.5188877016178057,0.2876712328767123,0.1095890410958904,0.2493150684931507,0.35342465753424657,0.0,0,287,284,280,273,86.0,163.0,86.0,166.0,85.0,169.0,82.0,173.0,0.7000000000000001
1931,3797.3405085707386,239.19066032867656,0.4804354782184821,0.048615269303035,25.1139130155498,12.812543119675825,59.67715944615996,975.2505548872093,964.6351439619721,192.4622014901836,30.05384344325329,908340.3180169176,0.5760656506956605,0.3643835616438356,0.10684931506849316,0.1780821917808219,0.35342465753424657,0.0,0,282,277,272,260,63.0,146.0,61.0,149.0,59.0,152.0,53.0,159.0,0.2
1932,1593.0324376111264,186.61180022177246,0.4832833953848117,0.08971234267895205,25.42904310817645,18.277916285372342,60.1269465751989,969.7851817215128,964.4021858203424,192.6846873641629,22.10459403346691,770991.8705464725,0.4889598367240439,0.21643835616438356,0.14520547945205478,0.1726027397260274,0.4657534246575342,0.0,0,344,334,329,315,90.0,110.0,86.0,116.0,83.0,118.0,76.0,125.0,0.9
1933,5617.4139796282225,159.36433036475563,0.5073381291370959,0.04254626788531931,25.38870196830133,9.659015556699456,59.6811581320606,978.4608175286273,964.4039059066137,194.42061457174168,18.27908848493896,794737.5823087018,0.5040192683337784,0.32602739726027397,0.12602739726027398,0.15616438356164383,0.3917808219178082,0.0,0,266,263,260,255,60.0,158.0,59.0,160.0,58.0,162.0,56.0,165.0,0.8500000000000001
1934,3283.7747978364127,175.85611591818005,0.526785763605807,0.07174233669469368,25.434557826976338,13.900813316231918,58.25925821215647,974.1622846906532,964.4021858203424,190.5995181132777,18.155336998185643,869733.0234747257,0.5515810651158839,0.33424657534246577,0.1095890410958904,0.19452054794520549,0.36164383561643837,0.0,0,270,267,264,259,56.0,150.0,54.0,151.0,53.0,153.0,50.0,155.0,0.35000000000000003
1935,2506.709610818529,188.71809469755024,0.4927985318474458,0.05904154169324495,25.427210637538835,15.740005842840517,59.6811581320606,972.3230921640449,964.4021858203424,192.6846873641629,20.169133166597,823122.9184516522,0.5220211304234222,0.28493150684931506,0.11232876712328767,0.18082191780821918,0.4246575342465753,0.0,0,293,289,286,276,80.0,152.0,77.0,153.0,75.0,154.0,69.0,158.0,0.7000000000000001
1936,3636.513615673937,207.086012326485,0.5415999598712469,0.04986821409955871,25.378267545690907,13.153342964147624,59.40380360712236,974.9097550427376,964.4425160739587,191.5275631359327,23.67973630647153,844191.6441759373,0.5353828286250236,0.3917808219178082,0.06575342465753424,0.16712328767123288,0.37534246575342467,0.0,0,244,241,237,231,44.0,164.0,43.0,166.0,42.0,169.0,40.0,173.0,0.55
1937,3248.5622941414613,228.0119559096817,0.5518389945518429,0.045558615350214125,25.20760231250693,13.975430288347368,58.364252567206144,974.087667718538,964.568071735458,194.6887810867681,26.838679404381708,853046.504278703,0.5409985440631044,0.29863013698630136,0.1178082191780822,0.2136986301369863,0.3698630136986301,0.0,0,306,304,299,284,85.0,143.0,85.0,145.0,81.0,146.0,74.0,154.0,0.45
1938,2891.117890135454,219.11865300258486,0.4933302990921714,0.07023525701333608,25.280884426576467,14.812123789316914,59.95547658806154,973.2509742175683,964.5147119180156,191.70107002135646,26.114168652970672,830537.9311522063,0.5267237006292531,0.3041095890410959,0.1095890410958904,0.17534246575342466,0.410958904109589,0.0,0,288,285,281,273,55.0,131.0,53.0,132.0,52.0,135.0,51.0,142.0,0.65
1939,5331.4830933361045,216.96545287729182,0.5376639346851675,0.04611648782352185,25.298460136873327,10.07610093901765,60.0211648166683,978.0204839637377,964.5017927172637,192.0635208412916,25.479516060566002,894360.855557443,0.5671999337629648,0.4191780821917808,0.1178082191780822,0.17534246575342466,0.29041095890410956,0.0,0,262,258,252,243,63.0,166.0,61.0,168.0,59.0,172.0,54.0,176.0,0.25
1940,3345.707466801638,228.0119559096817,0.5175167220035656,0.054696951785489084,25.251156063041805,13.7695750415199,59.33970793833311,974.2935229653656,964.568071735458,192.0635208412916,23.545282307274483,874211.6538509057,0.5544213938679007,0.3643835616438356,0.057534246575342465,0.19726027397260273,0.38082191780821917,0.0,0,277,273,265,255,55.0,142.0,53.0,144.0,49.0,148.0,44.0,153.0,0.35000000000000003
1941,2175.8537845274404,188.71809469755024,0.4822007139582534,0.06801927641114136,25.423282348274732,16.538623354577638,59.40380360712236,971.5244746523076,964.4021858203424,191.74728057548938,20.587773360940613,763735.5000591577,0.48435787674984637,0.22465753424657534,0.10410958904109589,0.21643835616438356,0.4547945205479452,0.0,0,321,319,317,307,98.0,141.0,97.0,142.0,96.0,143.0,91.0,148.0,0.9
1942,1683.4305970646826,169.35749394086503,0.4349226338728021,0.0879157122711566,25.387639394873236,17.985860693291627,60.735382208149936,970.0772373135936,964.4039059066137,194.6887810867681,25.47802598682166,822675.4853748906,0.5217373702276069,0.25205479452054796,0.0958904109589041,0.2493150684931507,0.40273972602739727,0.0,0,309,305,300,288,93.0,148.0,92.0,151.0,91.0,155.0,85.0,161.0,0.7000000000000001
1943,2549.2628477944536,175.85611591818005,0.44967320161789376,0.08122685659800663,25.40432024071184,15.637291132898625,59.6811581320606,972.4258068739866,964.4021858203424,191.6822155282325,21.888027307447523,854205.8310171845,0.5417337842574736,0.3561643835616438,0.08493150684931507,0.14794520547945206,0.4136986301369863,0.0,0,265,260,256,247,51.0,151.0,49.0,154.0,47.0,156.0,41.0,159.0,0.45
1944,3908.489300711898,193.1228452527196,0.5486383330760718,0.05949237856370725,25.388546736761192,12.577013536329176,59.33970793833311,975.4860844705561,964.4021858203424,191.5275631359327,25.398233642289032,808956.1702002279,0.5130366376206418,0.3041095890410959,0.1095890410958904,0.2191780821917808,0.36712328767123287,0.0,0,280,278,275,267,67.0,151.0,66.0,152.0,66.0,155.0,56.0,158.0,0.75
1945,1569.566645086851,198.9070898288772,0.4793219841421505,0.09633965920654734,25.415887366436817,18.355154167544878,59.33970793833311,969.7093691610498,964.4021858203424,193.4241671511806,22.44652680710513,879950.6629730868,0.5580610495770464,0.3041095890410959,0.12876712328767123,0.14246575342465753,0.4246575342465753,0.0,0,338,323,313,286,109.0,135.0,105.0,146.0,98.0,149.0,76.0,154.0,0.30000000000000004
1946,4795.818222324392,198.04704669313716,0.4809859877343982,0.04627894159646224,25.387639394873236,10.9267506600316,59.6811581320606,977.1363473468537,964.4021858203424,190.0972147070484,27.49019966277638,839776.6252678802,0.532582842001446,0.36164383561643837,0.1178082191780822,0.18356164383561643,0.336986301369863,0.0,0,260,256,252,246,66.0,170.0,64.0,172.0,63.0,175.0,61.0,179.0,0.6000000000000001
