WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,PropDays1uPotentialGtRatedPower,PropDays2uPotentialGtRatedPower,PropDays3uPotentialGtRatedPower,PropDays4uPotentialGtRatedPower,FstDay1uPotentialLessRatedPower,LstDay1uPotentialLessRatedPower,FstDay2uPotentialLessRatedPower,LstDay2uPotentialLessRatedPower,FstDay3uPotentialLessRatedPower,LstDay3uPotentialLessRatedPower,FstDay4uPotentialLessRatedPower,LstDay4uPotentialLessRatedPower,Exceedance
1924,3445.6562723883435,130.2268076635365,0.7008190145889592,0.037438441272780856,25.886476679309183,14.057778763014724,60.44685988833725,974.5053192438704,964.4039059066137,197.71219632894227,0.0,861496.6288168296,0.5463575778899225,0.4054794520547945,0.043835616438356165,0.10684931506849316,0.41643835616438357,0.0273972602739726,10,293,289,277,226,78.0,149.0,77.0,152.0,58.0,156.0,26.0,168.0,0.6000000000000001
1925,4607.486825487114,159.36433036475563,0.4836015644892589,0.039717964897415164,25.866303074557987,11.771397116243818,59.490594129960854,976.7917008906413,964.4021858203423,196.8407978860484,23.262238594738932,797074.0369437875,0.5055010381429398,0.32054794520547947,0.07945205479452055,0.1917808219178082,0.40821917808219177,0.0,0,281,278,274,258,69.0,152.0,69.0,155.0,67.0,157.0,62.0,168.0,0.9
1926,3303.4547294228223,193.1228452527196,0.4876648694797686,0.06568880695329345,25.934557826976338,14.359110604060746,60.92325440671743,974.2039874028244,964.4021858203423,198.36948692344745,22.152028143625284,890446.250712024,0.5647173076560275,0.38082191780821917,0.06301369863013699,0.16164383561643836,0.39452054794520547,0.0,0,280,273,258,236,73.0,157.0,67.0,158.0,54.0,160.0,41.0,169.0,0.4
1927,2252.9494266369397,178.54218611427189,0.4704195974467827,0.06569166544538241,25.88933455357436,16.85253042534778,61.4786590395639,971.7105675815376,964.4021858203423,195.86703669000156,22.90211457377417,855313.6689897156,0.5424363704906873,0.3041095890410959,0.1178082191780822,0.16712328767123288,0.4136986301369863,0.0,0,288,285,280,264,70.0,147.0,69.0,149.0,68.0,153.0,62.0,163.0,0.6000000000000001
1928,1569.566645086851,200.71039254879486,0.5020111181438414,0.09429354303831458,25.878378578573702,18.85372884583542,61.4786590395639,969.7093691610498,964.4042623552929,196.3926582421218,23.60202748018268,772604.8543948615,0.4899827843701557,0.1780821917808219,0.1643835616438356,0.18904109589041096,0.4684931506849315,0.0,0,365,357,347,320,,,112.0,119.0,107.0,124.0,93.0,137.0,0.9500000000000001
1929,2175.8537845274404,186.61180022177246,0.4557239882218343,0.0882412234522915,25.889223796257085,17.038623354577638,60.714160352394806,971.5244746523076,964.4021858203423,198.61589254508664,25.189858171984916,902642.6584219493,0.5724522186846457,0.2465753424657534,0.18356164383561643,0.2493150684931507,0.32054794520547947,0.0,0,336,332,328,305,131.0,159.0,130.0,162.0,128.0,164.0,112.0,171.0,0.30000000000000004
1930,3345.707466801638,207.086012326485,0.5646775195011442,0.05364385161700656,25.87046102796582,14.2695750415199,60.714160352394806,974.2935229653655,964.4425160739587,197.02056920221602,24.75649735321015,840560.5471883062,0.5330800020220106,0.2876712328767123,0.1095890410958904,0.2493150684931507,0.35342465753424657,0.0,0,294,291,287,272,88.0,158.0,87.0,160.0,86.0,163.0,81.0,173.0,0.7000000000000001
1931,3797.3405085707386,239.19066032867656,0.4804354782184821,0.048615269303035,25.6139130155498,13.312543119675825,60.92336161650425,975.2505548872093,964.6351439619721,197.11621203680318,30.654217374433408,933376.6819016298,0.5919436085119417,0.3643835616438356,0.10684931506849316,0.1780821917808219,0.35342465753424657,0.0,0,292,289,282,256,65.0,138.0,65.0,141.0,63.0,146.0,52.0,161.0,0.2
1932,1593.0324376111264,186.61180022177246,0.4832833953848117,0.08971234267895205,25.92904310817645,18.777916285372342,61.380682956129405,969.7851817215128,964.4021858203423,197.57163417802602,22.539226865292967,788844.3129389377,0.5002817814173882,0.21643835616438356,0.14520547945205478,0.1726027397260274,0.4657534246575342,0.0,0,364,358,344,312,98.0,98.0,96.0,102.0,90.0,110.0,75.0,127.0,0.9
1933,5617.4139796282225,159.36433036475563,0.5073381291370959,0.04254626788531931,25.888701968301326,10.159015556699456,60.92325440671743,978.4608175286273,964.4039059066137,199.34286336952286,18.639127585910558,818515.4796342686,0.5190991118938791,0.32602739726027397,0.12602739726027398,0.15616438356164383,0.3917808219178082,0.0,0,271,271,266,253,61.0,154.0,61.0,154.0,60.0,158.0,55.0,166.0,0.8
1934,3283.7747978364127,175.85611591818005,0.526785763605807,0.07174233669469368,25.934557826976338,14.400813316231918,59.490594129960854,974.1622846906532,964.4021858203423,195.28572546735376,18.512301478340515,893178.5291920045,0.5664501073008653,0.33424657534246577,0.1095890410958904,0.19452054794520549,0.36164383561643837,0.0,0,283,277,270,256,59.0,140.0,58.0,145.0,56.0,150.0,48.0,156.0,0.35000000000000003
1935,2506.709610818529,188.71809469755024,0.4927985318474458,0.05904154169324495,25.927210637538835,16.240005842840517,60.92325440671743,972.3230921640449,964.4021858203423,197.57163417802602,20.5657644471914,844516.4560980718,0.5355888229947182,0.28493150684931506,0.11232876712328767,0.18082191780821918,0.4246575342465753,0.0,0,304,301,293,274,86.0,147.0,85.0,149.0,80.0,152.0,68.0,159.0,0.65
1936,3636.513615673937,207.086012326485,0.5415999598712469,0.04986821409955871,25.878267545690907,13.653342964147624,60.63159540981065,974.9097550427376,964.4425160739587,196.37704850286315,24.146272019830192,869563.7240010031,0.5514736960939898,0.3917808219178082,0.06575342465753424,0.16712328767123288,0.37534246575342467,0.0,0,250,249,244,227,46.0,160.0,45.0,160.0,44.0,164.0,37.0,174.0,0.55
1937,3248.5622941414613,228.0119559096817,0.5518389945518429,0.045558615350214125,25.70760231250693,14.475430288347368,59.5847122048551,974.087667718538,964.568071735458,199.65798224310765,27.372383641279768,874852.2470466832,0.554827655407587,0.29863013698630136,0.1178082191780822,0.2136986301369863,0.3698630136986301,0.0,0,316,312,306,282,88.0,136.0,87.0,139.0,85.0,143.0,73.0,155.0,0.5
1938,2891.117890135454,219.11865300258486,0.4933302990921714,0.07023525701333608,25.780884426576463,15.312123789316914,61.208191812142836,973.2509742175683,964.5147119180156,196.63402866934382,26.633114937890983,852597.1599311297,0.5407135717472917,0.3041095890410959,0.1095890410958904,0.17534246575342466,0.410958904109589,0.0,0,295,293,288,273,56.0,125.0,56.0,127.0,55.0,131.0,51.0,142.0,0.65
1939,5331.4830933361045,216.96545287729182,0.5376639346851675,0.04611648782352185,25.798460136873327,10.57610093901765,61.271826335720434,978.0204839637377,964.5017927172637,196.9712365740695,25.987651176018854,921127.1575007864,0.5841750110989259,0.4191780821917808,0.1178082191780822,0.17534246575342466,0.29041095890410956,0.0,0,269,267,262,238,65.0,161.0,64.0,162.0,63.0,166.0,49.0,176.0,0.25
1940,3345.707466801638,228.0119559096817,0.5175167220035656,0.054696951785489084,25.751156063041805,14.2695750415199,60.58284852102592,974.2935229653655,964.568071735458,196.9712365740695,24.011504175463248,897751.6584161946,0.5693503668291442,0.3643835616438356,0.057534246575342465,0.19726027397260273,0.38082191780821917,0.0,0,287,283,277,253,60.0,137.0,58.0,139.0,55.0,142.0,43.0,154.0,0.35000000000000003
1941,2175.8537845274404,188.71809469755024,0.4822007139582534,0.06801927641114136,25.923282348274732,17.038623354577638,60.63159540981065,971.5244746523076,964.4021858203423,196.3926582421218,20.992692129535023,782334.6710170241,0.4961533935927347,0.22465753424657534,0.10410958904109589,0.21643835616438356,0.4547945205479452,0.0,0,331,327,321,304,100.0,133.0,99.0,136.0,98.0,141.0,89.0,149.0,0.9
1942,1683.4305970646826,169.35749394086503,0.4349226338728021,0.0879157122711566,25.887639394873236,18.485860693291627,61.988636224449465,970.0772373135936,964.4039059066137,199.65798224310765,25.980558404113545,842545.8977313193,0.5343391030766865,0.25205479452054796,0.0958904109589041,0.2493150684931507,0.40273972602739727,0.0,0,325,318,309,286,98.0,137.0,96.0,142.0,93.0,148.0,84.0,162.0,0.7000000000000001
1943,2549.2628477944536,175.85611591818005,0.44967320161789376,0.08122685659800663,25.904320240711836,16.137291132898625,60.92325440671743,972.4258068739866,964.4021858203423,196.36953505100098,22.31908000943314,877483.0012416346,0.5564960687732335,0.3561643835616438,0.08493150684931507,0.14794520547945206,0.4136986301369863,0.0,0,272,269,265,245,54.0,147.0,53.0,149.0,51.0,151.0,40.0,160.0,0.45
1944,3908.489300711898,193.1228452527196,0.5486383330760718,0.05949237856370725,25.888546736761192,13.077013536329176,60.58284852102592,975.4860844705561,964.4021858203423,196.37704850286315,25.90238930887388,831587.5393446055,0.5273893577781618,0.3041095890410959,0.1095890410958904,0.2191780821917808,0.36712328767123287,0.0,0,286,283,280,264,67.0,145.0,67.0,148.0,67.0,151.0,55.0,159.0,0.75
1945,1569.566645086851,198.9070898288772,0.4793219841421505,0.09633965920654734,25.915887366436817,18.855154167544878,60.58284852102592,969.7093691610498,964.4021858203423,198.371399429589,22.88811136568221,900867.1098523784,0.5713261731686824,0.3041095890410959,0.12876712328767123,0.14246575342465753,0.4246575342465753,0.0,0,365,356,338,283,,,119.0,127.0,109.0,135.0,74.0,155.0,0.30000000000000004
1946,4795.818222324392,198.04704669313716,0.4809859877343982,0.04627894159646224,25.887639394873236,11.4267506600316,60.92325440671743,977.1363473468537,964.4021858203423,195.06083131909716,28.03160879568552,864811.858315653,0.548460082645645,0.36164383561643837,0.1178082191780822,0.18356164383561643,0.336986301369863,0.0,0,273,267,260,242,71.0,162.0,71.0,168.0,66.0,170.0,59.0,181.0,0.55
1947,6156.058548586993,261.0754653463963,0.4884650965451478,0.03882354238733774,25.470194610459995,9.420116059047317,60.92325440671743,979.243512600248,964.7443018613857,198.48382296185025,0.0,810563.454907742,0.5140559708953208,0.3561643835616438,0.10410958904109589,0.1726027397260274,0.3150684931506849,0.0547945205479452,20,247,245,241,226,53.0,171.0,53.0,173.0,52.0,176.0,46.0,185.0,0.8500000000000001
1948,916.553878264532,198.04704669313716,0.4594867811434695,0.13366346443186106,25.923282348274732,21.82359159495773,60.99521982899346,967.5662155130581,964.4021858203423,156.1096116913825,23.259186762963704,660532.235237565,0.4189067955590849,0.0,0.19726027397260273,0.3452054794520548,0.4575342465753425,0.0,0,365,365,365,365,,,,,,,,,1.0
1949,5256.888969216421,169.35749394086503,0.5385210176452115,0.030816705650176083,25.88933455357436,10.684910865712098,60.714160352394806,977.9056090125932,964.4021858203423,194.7259428229933,20.672982509203432,779083.8169250813,0.4940917154522332,0.36164383561643837,0.07123287671232877,0.1643835616438356,0.40273972602739727,0.0,0,253,251,247,237,43.0,154.0,43.0,156.0,42.0,159.0,41.0,168.0,0.9
1950,4476.342208292831,198.04704669313716,0.5074346050645181,0.05311034692185192,25.887639394873236,12.011391765709462,59.90859719397318,976.5517062411757,964.4021858203423,196.48657423881093,28.03160879568552,877654.5462195601,0.556604861884551,0.3698630136986301,0.09315068493150686,0.2054794520547945,0.3315068493150685,0.0,0,258,255,251,238,60.0,166.0,60.0,169.0,59.0,172.0,55.0,181.0,0.45
1951,6156.058548586993,256.6659042898363,0.4804354782184821,0.03912965898499423,25.51473055689148,9.420116059047317,59.639256344123666,979.243512600248,964.7266636171594,196.1551430330145,0.0,843551.3645164636,0.5349767659287568,0.40821917808219177,0.0410958904109589,0.16712328767123288,0.3452054794520548,0.0410958904109589,15,246,241,232,215,19.0,138.0,16.0,140.0,10.0,143.0,361.0,154.0,0.7000000000000001
1952,5888.375322344647,219.11865300258486,0.482598859075883,0.04457299367439108,25.780884426576463,9.763766142808509,60.494328909847574,978.8780979964107,964.5147119180156,198.09653336458425,0.0,853219.0556984884,0.5411079754556624,0.3643835616438356,0.10136986301369863,0.24383561643835616,0.27671232876712326,0.0136986301369863,5,257,256,252,235,63.0,170.0,63.0,171.0,62.0,174.0,52.0,183.0,0.6000000000000001
1953,3825.6459193409837,258.928656488806,0.5329653421577384,0.057647614419445874,25.55769052363345,13.252562606377024,60.92336161650425,975.3105354005082,964.7357146259552,198.51268906546792,26.468789857651128,931044.3240485812,0.5904644368649044,0.3726027397260274,0.1232876712328767,0.18356164383561643,0.32054794520547947,0.0,0,279,275,270,251,68.0,153.0,66.0,155.0,64.0,158.0,55.0,168.0,0.2
1954,3797.3405085707386,213.83113399243985,0.4763460019098563,0.060514892992011036,25.823927985829783,13.312543119675825,60.92325440671743,975.2505548872093,964.4829868039546,195.28572546735376,25.83831241879968,948737.2002039694,0.6016851853145417,0.4465753424657534,0.09041095890410959,0.1506849315068493,0.31232876712328766,0.0,0,242,239,234,215,40.0,162.0,39.0,164.0,37.0,167.0,29.0,178.0,0.15000000000000002
1955,5693.519049852624,250.88887595387268,0.4384411209216949,0.04983508317464204,25.54664589523684,10.048001623498706,60.92336161650425,978.5780193367731,964.7035555038157,197.08161861424298,31.166836767935372,909549.9712308893,0.5768328077314113,0.44931506849315067,0.11506849315068493,0.20821917808219179,0.23013698630136986,0.0,0,234,233,229,214,58.0,189.0,58.0,190.0,57.0,193.0,52.0,203.0,0.30000000000000004
1956,9125.046264119264,289.709002353605,0.5017537083122143,0.026191648029202395,25.36140162768889,7.2099219960933425,61.271826335720434,981.9431871141804,964.8588360094144,194.7259428229933,0.0,813558.3269407001,0.5159553062789828,0.2493150684931507,0.12602739726027398,0.27945205479452057,0.27945205479452057,0.06575342465753424,24,276,274,271,256,58.0,146.0,58.0,148.0,58.0,151.0,56.0,164.0,0.8500000000000001
1957,9912.101075056224,282.51762710592146,0.4323026852157319,0.019874696445110914,25.33589458352212,6.8982575768627195,61.271826335720434,982.4437446880361,964.8300705084237,195.6340901047596,0.0,766293.9846431982,0.4859804570289182,0.2958904109589041,0.09041095890410959,0.2136986301369863,0.24383561643835616,0.15616438356164383,57,239,235,225,205,24.0,149.0,22.0,151.0,12.0,154.0,6.0,165.0,0.9500000000000001
1958,4501.327502375012,244.4626045006759,0.4826914130323509,0.0527967492517042,25.617523817087143,11.965668677539,60.84755797993757,976.5974293293464,964.666775627004,197.11621203680318,28.053135182049555,970240.4305183474,0.6153224445194999,0.34794520547945207,0.1863013698630137,0.1917808219178082,0.273972602739726,0.0,0,291,288,283,261,71.0,144.0,70.0,146.0,69.0,150.0,59.0,162.0,0.1
1959,4795.818222324392,198.9070898288772,0.5319977978892259,0.043696969833910616,25.934557826976338,11.4267506600316,59.90859719397318,977.1363473468537,964.4021858203423,197.02056920221602,22.152028143625284,848048.4600401722,0.5378288052005151,0.3232876712328767,0.1232876712328767,0.19452054794520549,0.36164383561643837,0.0,0,282,279,275,257,72.0,155.0,71.0,157.0,71.0,161.0,66.0,174.0,0.65
1960,6109.560283746436,207.086012326485,0.4684044031282663,0.034368436298426376,25.878267545690907,9.473993273030333,59.947341111788646,979.1858547518456,964.4425160739587,195.86703669000156,0.0,844372.0675577316,0.5354972523831377,0.33424657534246577,0.1232876712328767,0.2191780821917808,0.27945205479452057,0.043835616438356165,16,262,260,254,235,70.0,172.0,70.0,174.0,67.0,177.0,59.0,188.0,0.65
1961,5632.210260458824,266.40022953190976,0.41882087381158106,0.045464152162914086,25.44504437924991,10.137432325425793,59.8810016893554,978.4836038011066,964.7656009181276,197.03861343575366,34.839279727250144,928624.1760567148,0.5889295890770642,0.4684931506849315,0.07671232876712329,0.27123287671232876,0.18356164383561643,0.0,0,232,228,223,203,39.0,171.0,38.0,174.0,36.0,177.0,27.0,188.0,0.2
1962,7034.53654195357,282.51762710592146,0.4247522578653459,0.037877433075602734,25.3620002947314,8.41259072006558,58.61920313614941,980.3224643494364,964.8300705084237,198.11080719084407,0.0,857808.7711305082,0.5440187538879427,0.4191780821917808,0.07397260273972603,0.2219178082191781,0.1780821917808219,0.10684931506849316,39,220,218,212,184,18.0,162.0,17.0,163.0,16.0,168.0,365.0,180.0,0.6000000000000001
1963,2454.2146867348292,289.709002353605,0.515823828316939,0.0645001157306977,25.36140162768889,16.366717728559774,60.84755797993757,972.1963802783257,964.8588360094144,198.36948692344745,33.68318674348746,1055123.798228736,0.6691551231790563,0.41643835616438357,0.14520547945205478,0.18904109589041096,0.25205479452054796,0.0,0,286,281,273,245,59.0,138.0,57.0,141.0,52.0,144.0,35.0,155.0,0.0
1964,2758.936868602477,262.6513991364098,0.482598859075883,0.0683594161576421,25.469909289816275,15.631181427499952,60.714160352394806,972.9319165793852,964.7506055965456,197.11621203680318,32.880945525382316,919516.0596771733,0.5831532595618806,0.336986301369863,0.11232876712328767,0.22465753424657534,0.32602739726027397,0.0,0,285,281,277,258,62.0,141.0,61.0,144.0,60.0,147.0,52.0,158.0,0.25
1965,5461.037923581307,247.00311013724087,0.4707114397978658,0.03382880477972711,25.568244681637072,10.387120215022676,61.208191812142836,978.2199984023152,964.6820186608237,197.44792346716002,31.166836767935372,887939.0383824022,0.5631272440273987,0.35342465753424657,0.10136986301369863,0.2219178082191781,0.3232876712328767,0.0,0,276,272,267,247,66.0,154.0,64.0,156.0,62.0,159.0,53.0,170.0,0.4
