,Energy
0.0,994149.8194876893
0.05,933041.3423813405
0.1,895400.6050786118
0.15000000000000002,880430.9549261064
0.2,868647.8982329154
0.25,862626.9791531478
0.30000000000000004,844277.1264560327
0.35000000000000003,836339.3464962628
0.4,830302.3035297197
0.45,822582.8775259177
0.5,818005.5323467051
0.55,809353.3793748363
0.6000000000000001,801689.3143751017
0.65,797790.3892028002
0.7000000000000001,786978.2832139531
0.75,781346.8853242443
0.8,767873.3057707015
0.8500000000000001,757820.0612840152
0.9,747288.8537098833
0.9500000000000001,715290.9725108676
1.0,507755.0518544744
