WaterYear,WaterWeek,StartDate,Flow,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelHeadpond,LevelTailwater,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy
1924,1,1924-10-01,138,37,5,3,2,50,97,0.7,0,41,15,2,1,0,21,52,7,4,2,71,64,0,0,0,0,990.0,965.0,0.06,0.0,989.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1924,2,1924-10-08,138,29,4,2,2,32,71,0.52,49,17,6,0,0,0,9,36,5,2,2,42,94,86,0,0,0,990.0,965.0,0.07,0.0,989.9,24.9,0.0,0.0,0.0,0.87,0.0,0.0,0.0,17.6,0.0,0.0,0.0,10.1,1690
1924,3,1924-10-15,138,24,4,2,2,20,52,0.38,86,0,0,0,0,0,0,24,4,2,2,20,116,86,0,0,0,990.0,965.0,0.08,0.0,989.9,24.9,0.0,0.0,0.0,0.87,0.0,0.0,0.0,17.6,0.0,0.0,0.0,17.6,2953
1924,4,1924-10-22,134,24,4,2,2,20,52,0.39,82,0,0,0,0,0,0,24,4,2,2,20,112,82,0,0,0,990.0,965.0,0.08,0.0,989.9,24.9,0.0,0.0,0.0,0.86,0.0,0.0,0.0,16.8,0.0,0.0,0.0,16.8,2817
1924,5,1924-10-29,133,23,4,2,2,19,50,0.38,82,0,0,0,0,0,0,23,4,2,2,19,111,82,0,0,0,990.0,965.0,0.08,0.0,989.9,24.9,0.0,0.0,0.0,0.87,0.0,0.0,0.0,16.7,0.0,0.0,0.0,16.7,2799
1924,6,1924-11-05,139,23,4,2,2,19,50,0.36,89,0,0,0,0,0,0,23,4,2,2,19,118,89,0,0,0,990.0,965.0,0.08,0.0,989.9,24.9,0.0,0.0,0.0,0.87,0.0,0.0,0.0,18.3,0.0,0.0,0.0,18.3,3072
1924,7,1924-11-12,143,23,4,2,2,19,50,0.35,93,0,0,0,0,0,0,23,4,2,2,19,122,93,0,0,0,990.0,965.0,0.08,0.0,989.9,24.9,0.0,0.0,0.0,0.88,0.0,0.0,0.0,19.3,0.0,0.0,0.0,19.3,3235
1924,8,1924-11-19,164,23,4,2,2,19,50,0.3,114,0,0,0,0,0,0,23,4,2,2,19,143,114,0,0,0,990.0,965.0,0.09,0.0,989.9,24.8,0.0,0.0,0.0,0.9,0.0,0.0,0.0,24.2,0.0,0.0,0.0,24.2,4063
1924,9,1924-11-26,189,23,4,2,2,20,52,0.28,137,0,0,0,0,0,0,23,4,2,2,20,167,137,0,0,0,990.0,964.9,0.1,0.0,989.9,24.8,0.0,0.0,0.0,0.91,0.0,0.0,0.0,29.6,0.0,0.0,0.0,29.6,4966
1924,10,1924-12-03,233,26,4,3,2,24,59,0.25,174,0,0,0,0,0,0,26,4,3,2,24,207,174,0,0,0,990.0,965.1,0.11,0.01,989.9,24.6,0.0,0.0,0.0,0.92,0.0,0.0,0.0,37.6,0.0,0.0,0.0,37.6,6323
1924,11,1924-12-10,264,26,4,3,2,24,59,0.22,205,0,0,0,0,0,0,26,4,3,2,24,238,205,0,0,0,990.0,965.3,0.12,0.01,989.9,24.3,0.0,0.0,0.0,0.94,0.0,0.0,0.0,44.5,0.0,0.0,0.0,44.5,7482
1924,12,1924-12-17,280,26,4,3,2,24,59,0.21,221,0,0,0,0,0,0,26,4,3,2,24,254,221,0,0,0,990.0,965.3,0.13,0.01,989.9,24.2,0.0,0.0,0.0,0.94,0.0,0.0,0.0,48.3,0.0,0.0,0.0,48.3,8119
1924,13,1924-12-24,326,26,4,3,2,24,59,0.18,267,0,0,0,0,0,0,26,4,3,2,24,300,203,150,0,0,990.0,965.5,0.14,0.02,989.8,24.0,24.0,0.0,0.0,0.93,0.92,0.0,0.0,43.7,31.4,0.0,0.0,57.1,9593
1924,14,1924-12-31,507,28,4,3,2,31,71,0.14,436,0,0,0,0,0,0,28,4,3,2,31,474,218,218,0,0,990.0,966.4,0.2,0.06,989.7,23.0,23.0,0.0,0.0,0.93,0.93,0.0,0.0,44.9,44.9,0.0,0.0,89.9,15095
1924,15,1925-01-07,551,34,5,4,2,47,93,0.17,458,0,0,0,0,0,0,34,5,4,2,47,502,229,229,0,0,990.0,966.6,0.21,0.06,989.7,22.8,22.8,0.0,0.0,0.94,0.94,0.0,0.0,47.2,47.2,0.0,0.0,94.4,15850
1924,16,1925-01-14,617,41,6,4,3,66,120,0.19,497,0,0,0,0,0,0,41,6,4,3,66,548,248,248,0,0,990.0,966.9,0.23,0.07,989.7,22.4,22.4,0.0,0.0,0.94,0.94,0.0,0.0,50.3,50.3,0.0,0.0,100.6,16907
1924,17,1925-01-21,850,41,6,4,3,66,120,0.15,730,0,0,0,0,0,0,41,6,4,3,66,781,222,222,217,231,990.0,967.8,0.4,0.19,989.4,21.3,21.3,21.1,20.2,0.94,0.94,0.94,0.94,42.5,42.5,41.0,42.3,138.2,23218
1924,18,1925-01-28,1154,44,6,5,3,77,138,0.12,1016,0,0,0,0,0,0,44,6,5,3,77,1073,254,254,254,254,990.0,968.9,0.66,0.38,989.0,19.6,19.6,19.6,19.6,0.94,0.94,0.94,0.94,45.0,45.0,45.0,45.0,180.2,30267
1924,19,1925-02-04,1168,49,8,7,5,93,162,0.14,1006,0,0,0,0,0,0,49,8,7,5,93,1070,251,251,251,251,990.0,968.9,0.65,0.36,989.0,19.6,19.6,19.6,19.6,0.94,0.94,0.94,0.94,44.6,44.6,44.6,44.6,178.4,29964
