WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,PropDays1uPotentialGtRatedPower,PropDays2uPotentialGtRatedPower,PropDays3uPotentialGtRatedPower,PropDays4uPotentialGtRatedPower,FstDay1uPotentialLessRatedPower,LstDay1uPotentialLessRatedPower,FstDay2uPotentialLessRatedPower,LstDay2uPotentialLessRatedPower,FstDay3uPotentialLessRatedPower,LstDay3uPotentialLessRatedPower,FstDay4uPotentialLessRatedPower,LstDay4uPotentialLessRatedPower,Exceedance
1924,3456.3367626105432,127.73176038820995,0.7106477569096049,0.0529462296555216,25.386395433513414,13.535146295639107,59.78363961739755,974.527951711246,964.4002561590069,193.33626526780608,0.0,841799.158973912,0.5338655244634145,0.40821917808219177,0.043835616438356165,0.10410958904109589,0.41643835616438357,0.0273972602739726,10,277,268,259,226,58.0,156.0,57.0,157.0,56.0,161.0,26.0,168.0,0.6000000000000001
1925,4581.589709886878,158.1948154580153,0.4826277067929454,0.039942467917870005,25.39277157003445,11.318788837792294,58.54853187453948,976.7443091690931,964.4043680793853,192.15603965401402,22.563760238569326,779831.899281589,0.49456614617046485,0.3232876712328767,0.0821917808219178,0.18904109589041096,0.4054794520547945,0.0,0,274,272,267,258,67.0,157.0,66.0,158.0,65.0,162.0,62.0,168.0,0.8500000000000001
1926,3284.325998554973,195.24612294614425,0.4903547714214907,0.0660713948906031,25.43465361754227,13.899645295661642,58.41120049145877,974.1634527112236,964.4002561590069,193.22876984323585,21.49223653790979,870701.256732926,0.5521951146200698,0.38082191780821917,0.06575342465753424,0.16986301369863013,0.3835616438356164,0.0,0,258,256,249,236,54.0,160.0,53.0,161.0,49.0,164.0,41.0,169.0,0.35000000000000003
1927,2291.3047528902075,178.25700827696534,0.4725118815108839,0.0645920189417473,25.38934427738824,16.25994860335716,60.546198833835604,971.803149403528,964.4002561590069,192.0912246733233,22.399103657231827,838782.2931795685,0.5319522407277831,0.30684931506849317,0.12054794520547946,0.16164383561643836,0.4136986301369863,0.0,0,280,278,273,264,68.0,153.0,67.0,154.0,65.0,157.0,62.0,163.0,0.6000000000000001
1928,1571.1424094652655,199.87192049662227,0.5065012104673267,0.094198972103599,25.38428339162972,18.34863791476671,60.546198833835604,969.7144600921184,964.4002561590069,191.8059891309483,22.746647432513623,757801.8408288449,0.4805947747519311,0.17534246575342466,0.1643835616438356,0.1917808219178082,0.4684931506849315,0.0,0,347,341,332,320,107.0,124.0,104.0,127.0,99.0,131.0,93.0,137.0,0.9
1929,2219.934107073156,187.63384336585258,0.457603541966144,0.0864890536112082,25.389156899946943,16.432222576019015,59.611126040174646,971.6308754308662,964.4002561590069,193.9603889474625,24.92552898372557,888800.76547702,0.5636737477657408,0.2465753424657534,0.20273972602739726,0.2356164383561644,0.3150684931506849,0.0,0,328,326,321,305,128.0,164.0,127.0,165.0,125.0,168.0,112.0,171.0,0.25
1930,3334.213303152479,203.80614596002928,0.5598823629650631,0.0538776126822138,25.396837424794718,13.79393172163357,59.68360878103131,974.2691662852516,964.4228368757599,192.30206403106703,23.85207895792828,825109.8229249512,0.5232812169742207,0.28493150684931506,0.11506849315068493,0.25753424657534246,0.3424657534246575,0.0,0,287,285,280,272,86.0,163.0,86.0,165.0,85.0,169.0,81.0,173.0,0.65
1931,3817.5684457551392,237.16543250273918,0.4766752446721378,0.0486905844812825,25.13101669005692,12.769679157547062,59.611126040174646,975.2934188493382,964.6229925950163,192.8591956728547,29.82576304191976,915308.6975058718,0.5804849679768339,0.38082191780821917,0.09315068493150686,0.18082191780821918,0.34794520547945207,0.0,0,282,279,272,256,63.0,146.0,62.0,148.0,59.0,152.0,52.0,161.0,0.2
1932,1596.3478126589187,187.63384336585258,0.4853107918260047,0.0892544579815403,25.43465361754227,18.26720507367948,60.1322712334431,969.7958929332057,964.4002561590069,193.97387118744973,21.930721626458816,775930.7523996509,0.4920920550479775,0.2191780821917808,0.1506849315068493,0.1726027397260274,0.4575342465753425,0.0,0,344,338,329,312,90.0,110.0,88.0,114.0,83.0,118.0,75.0,127.0,0.9
1933,5660.610649049446,158.1948154580153,0.5060681001341867,0.0422215931844974,25.38880781767586,9.596004877391422,59.68360878103131,978.527340399536,964.4002561590069,195.02549915508217,0.0,786109.9076514794,0.49854763296009597,0.30684931506849317,0.136986301369863,0.14794520547945206,0.38904109589041097,0.019178082191780823,7,266,263,260,253,60.0,158.0,59.0,160.0,58.0,162.0,55.0,166.0,0.8500000000000001
