WaterMonth,MonthName,Month,Flow_min,Flow_mean,Flow_median,Flow_max,Flow_std,Flow_coefvar,Flow_difference_median,Flow_difference_mean,Flow_difference_pct_mean,Flow_P95,Flow_P90,Flow_P75,Flow_P50,Flow_P25,Flow_P10,Flow_P05
1,Oct,10,127.73176038820996,239.05232902991023,229.6310966222925,485.2887467506549,59.316978953646995,24.8,0.5004762783335366,2.0753788860257982,0.008884080486366871,161.2467848260757,171.9236123836496,201.4001753210366,228.37373357149764,273.3500066186855,307.05740689904684,342.7878044966734
2,Nov,11,127.73176038820996,276.05058532667863,260.60433744349683,684.5114350667202,82.1359511696121,29.8,2.55594895798086,4.354045281477875,0.015329338943042555,179.49910307566475,201.23144740879323,219.909696732042,266.0616413261422,305.9216081037961,379.3179067129489,414.8443388163464
3,Dec,12,188.83711717828973,438.63772042402684,412.27089094730286,1155.3038423448295,145.72593781713618,33.2,5.842027567329467,9.065608849421894,0.02022655091090307,289.06244567542933,307.981238138581,348.85374830771343,408.37129967242,516.7092118204823,579.9011699007917,709.4405880316664
4,Jan,1,269.886545106752,737.5246240628969,667.6418714988399,3908.5721850878326,334.2789176365845,45.3,9.060193279925016,16.29999958574511,0.019540108701189225,454.65497501833164,489.83265263236075,565.9263351113483,656.3404806652068,836.5321678901323,995.1872820286595,1284.8977940766558
5,Feb,2,394.0121131982369,1368.533829256189,982.0503122885896,9912.21560932307,1143.9962744087163,83.6,13.497257926283623,34.149638271094005,0.020672145229309852,659.9271561339023,718.628502111045,837.4223931562615,1006.5226466265738,1465.9018595413563,2475.486309300908,3148.4869422543034
6,Mar,3,525.1372711214523,2527.2706996161282,2229.223019661525,9499.656578444594,1635.7514813851594,64.7,25.34347260008144,54.38435629005787,0.020652353196864943,839.0630442065908,915.0848288784385,1193.0758400716131,2356.074068132595,3180.161859161723,4409.3731608204835,5621.473162235479
7,Apr,4,646.2845271818425,2953.6062877771396,2949.2589260052378,8557.992907431297,1374.956015028283,46.6,22.38834647627573,35.157539186079305,0.011476885504957832,989.1429577799676,1251.8855340900739,1897.1678454896085,2947.47285396635,3794.0543581741676,4721.505047577638,5110.173250823236
8,May,5,424.9942618336793,2244.1760633856234,2197.5249595045184,5744.292056302351,957.016844227085,42.6,30.872649917840363,35.523461133742,0.01601733270518297,825.5891995686094,1116.0536370724226,1667.8059612924671,2277.5983361378558,2690.2896716316877,3325.239439948468,3780.4925042253503
9,Jun,6,269.886545106752,1225.9758075532757,1170.398795144854,3973.851494020684,551.3900733119995,45.0,26.44609185826573,29.530189124952802,0.0241746562753767,463.52094607627646,659.9535695070065,875.671630893982,1200.7968962284071,1498.9819140076959,1818.0248522672214,2076.555367320402
10,Jul,7,221.68429704508029,613.1853150638959,555.7694416319646,1846.5841631575015,241.95072337526912,39.5,9.4903268611518,11.909223614591134,0.01773756922712979,332.0165569573399,377.428966304734,459.57558531269075,573.5642195239219,745.1111193600161,878.6655154748514,1029.3067749498223
11,Aug,8,172.56574886200318,393.47782771876615,379.42182251911163,919.1435986563256,110.93104547780361,28.2,3.892075403410729,4.498312155536973,0.011044190468012778,252.49809976643513,280.9102598955896,318.19119230207866,381.7683892830736,459.3761721219595,527.6953568345377,564.6879180264029
12,Sep,9,134.4382628947188,289.66915397597427,276.155510064253,570.1634542744122,72.8876732560237,25.2,2.3733097797339155,2.7010359081678605,0.009328239418541589,198.0154700303823,215.5665737343806,239.3419610120653,281.4926656873932,330.8173335986969,378.19923300838326,415.06788754916107
