WaterYear,Flow_min,Flow_median,Flow_mean,Flow_max,Flow_range,Volume,Flow_mean_pct_var,Flow_max_pct_var,Flow_min_pct_var,Volume_pct_var,Flow_mean_5yr_mvCoefVar,DaysToStart,SeasonStart,MeanQ3070,ExceedanceMean,ExceedanceMedian,ExceedanceMeanQ3070,Max_week,Peak_count,Peak_weeks,Min_weeks
1924,127.73176038820996,588.2818006047386,998.2075795346346,3456.3367626105432,3328.6050022223335,31.47947422820424,-9.761746761200772,-3.8516374799299395,-40.60753902408141,-9.811237350430947,,24 days,1924-10-25,680.1198021452341,0.586,0.588,0.516,27,2,"[27, 30]",[5]
1925,158.1948154580153,512.1852963232108,1124.989809804404,4581.589709886878,4423.394894428863,35.477678641991695,1.6994034402401306,27.450644598563585,-26.44288800900251,1.6436270569440816,,29 days,1925-10-30,576.1182146597379,0.445,0.728,0.738,26,1,[26],[5]
1926,195.24612294614423,588.2818006047386,998.2445542078796,3284.325998554973,3089.079875608829,31.48064026149969,-9.758404240069794,-8.63663224047456,-9.21484443231212,-9.80789666248417,19.083703457416494,23 days,1926-10-24,699.0260492819644,0.5760000000000001,0.588,0.47500000000000003,27,2,"[27, 32]",[4]
1927,178.25700827696534,525.1372711214523,858.8656214945017,2291.3047528902075,2113.0477446132422,27.159392229147734,-22.358299977394193,-36.260493361632825,-17.11440932469224,-22.18828174498115,19.636906164168906,8 days,1927-10-09,571.8207171925017,0.6970000000000001,0.708,0.758,31,2,"[27, 31]",[2]
1928,199.87192049662227,394.0121131982369,572.5755420771644,1571.1424094652657,1371.2704889686433,18.056742294945458,-48.23900577033318,-56.29396660936875,-7.063950248561202,-48.26739375449314,15.642643917900461,28 days,1928-10-29,437.30365566152034,0.92,0.96,0.9500000000000001,30,1,[30],[4]
1929,187.6338433658526,606.9722498398709,730.225438939928,2219.934107073156,2032.3002637073037,23.02838944240957,-33.98740960152344,-38.24588170733512,-12.754387115636657,-34.02361378188125,17.56424198203607,7 days,1929-10-08,633.4203446928036,0.798,0.545,0.617,34,1,[34],[2]
1930,203.8061459600293,548.2082476789037,951.2745164745894,3334.213303152479,3130.4071571924496,29.999393151542648,-14.004509205119831,-7.248867396643964,-5.234621884216228,-14.051672878593374,20.047099469673658,35 days,1930-11-05,588.5476035327143,0.647,0.647,0.687,31,1,[31],[6]
1931,237.1654325027392,661.9805892557591,1073.946445305768,3817.568445755139,3580.4030132523994,33.960764072037115,-2.914931439821194,6.197104066449059,10.276713105223587,-2.7023365102216013,23.309659303661608,4 days,1931-10-05,732.6914297449006,0.526,0.40700000000000003,0.41500000000000004,26,1,[26],[2]
1932,187.6338433658526,412.27089094730286,591.4721136400307,1596.3478126589189,1408.7139692930664,18.65266457575201,-46.530750248140116,-55.592802802084684,-12.754387115636657,-46.560075114047166,21.34036695253687,26 days,1932-10-27,463.49805799493913,0.899,0.9380000000000001,0.92,28,1,[28],[5]
1933,158.1948154580153,619.7545190461182,1232.1068094327923,5660.610649049446,5502.415833591431,38.85572034227254,11.382811116981252,57.46684485648939,-26.44288800900251,11.321723931065714,22.135200804549108,22 days,1933-10-23,648.4645720073729,0.34400000000000003,0.508,0.586,26,1,[26],[4]
1934,176.34230302947643,593.0545567334303,958.3711092265363,3257.9557247554044,3081.6134217259278,30.22319130056805,-13.362975172507738,-9.370200413709918,-18.00470517864626,-13.410490691192647,24.35323950194155,21 days,1934-10-22,658.2699996115113,0.637,0.5760000000000001,0.5760000000000001,25,1,[25],[4]
1935,188.83711717828973,483.2765690627245,818.0167005802266,2496.4489908854894,2307.6118737071997,25.867651312428162,-26.051054215658464,-30.55379175285316,-12.194891241381779,-25.889122302171234,17.915739216557277,39 days,1935-11-09,536.7799502686709,0.718,0.788,0.788,31,2,"[28, 31]",[6]
