Exceedance,VicFalls_full,VicFalls_overlap,VicFalls_factor_smooth,Ngonye_gauged,Ngonye_scaled,Ngonye_synthetic,Conversion
0.0,9435.6,5650.5,1.6698699230156624,5935.9208,9912.21560932307,9912.21560932307,1.0505124856207415
0.001,8378.3,5532.44,1.5143950951117409,5751.4615,8709.985085324017,8709.985085324017,1.03958859020613
0.002,7352.5016,5315.479,1.3832246538834974,5545.106,7670.127327597304,7668.954086741232,1.0431996815338749
0.003,6630.5172,5162.1953,1.2844374950323945,5340.5073,6859.547818614216,6835.562713979396,1.0345418934459918
0.004,6171.6,4936.6384,1.2501624587290008,5073.0458,6342.131410572831,6342.131410572831,1.0276316369454972
0.005,5941.9,4894.9,1.213896095936587,5023.5025,6098.010072677684,6098.010072677684,1.0262727532738154
0.006,5750.5928,4857.9,1.1837610490129482,4989.8288,5906.764974683021,5906.749081773474,1.0271575783774884
0.007,5604.2,4784.4,1.171348549452387,4900.5302,5740.228941317616,5771.570660987749,1.0242726778697435
0.008,5475.1,4702.3328,1.1643369861018769,4884.2871,5686.956121270276,5698.858018299779,1.0386944752187677
0.009000000000000001,5365.5,4639.4,1.1565073069793508,4861.5026,5622.363279799111,5622.363279799111,1.0478731301461395
0.01,5256.8,4596.658,1.1443286364039988,4822.3995,5518.409844030326,5518.409844030327,1.049765987678878
0.011,5184.9,4568.0,1.1349199663554204,4802.9947,5451.014583329263,5451.014583329263,1.0513249210841604
0.012,5113.4,4540.2592,1.1248877080748754,4781.0019,5378.090269592624,5378.090269592624,1.0517640453695436
0.013000000000000001,5045.6276,4532.5,1.1152048111118906,4745.441,5292.138634047621,5295.594757530931,1.048856367054838
0.014,4971.6,4497.2,1.1060091740701803,4715.7614,5215.675371126037,5215.675371126037,1.0490939277347406
0.015,4918.8,4495.704,1.0969686045364113,4673.8993,5127.12079286471,5127.12079286471,1.0423519543109518
0.016,4857.9,4462.0,1.0887640167384478,4645.1427,5057.464224375279,5057.464224375279,1.0410803483758988
0.017,4796.7,4444.5,1.0810720661261333,4616.4213,4990.68411289969,4990.68411289969,1.0404411601517065
0.018000000000000002,4744.7,4427.0,1.0736713612734312,4571.5925,4908.387942662408,4908.387942662408,1.0344991132552972
0.019,4675.8,4374.8,1.0679739328603648,4528.5778,4836.403043330139,4836.403043330139,1.0343477144724194
0.02,4616.192,4357.5,1.0628750354191403,4485.8692,4767.918384835631,4765.288378402228,1.0328683002863899
0.021,4573.3,4340.3,1.0588442230623243,4437.6134,4698.741312773959,4698.741312773959,1.0274290583985217
0.022,4539.3,4305.8,1.0547168057086422,4399.7132,4640.451452338149,4640.451452338148,1.0222834913616963
0.023,4505.4,4278.4913,1.0511125044348504,4358.8005,4581.589709886878,4586.496836487447,1.016910753737044
0.024,4471.6,4254.5,1.0489201161324726,4347.6986,4560.388520420988,4560.388520420988,1.019856096346048
0.025,4436.9,4254.5,1.0470033725660441,4330.7225,4534.28106314765,4535.405205943174,1.0219479959313147
0.026000000000000002,4404.4,4220.5,1.0451734975955562,4302.4031,4496.757696092964,4496.757696092964,1.020969416059614
0.027,4371.0,4186.7,1.0435045148970776,4277.4313,4463.518873712076,4463.518873712076,1.02116652338414
0.028,4337.7,4169.8,1.0413749667812169,4252.5173,4428.465062024051,4428.465062024051,1.0209246978869104
0.029,4321.0,4149.1423,1.03936723913542,4224.5582,4390.8673929009,4390.8673929009,1.0161692647305949
0.03,4255.172,4086.2,1.0366524699027337,4201.2846,4355.272057354318,4353.257397337132,1.023524326949491
0.031,4216.6,4069.6,1.033606448694739,4168.5236,4308.612874496209,4308.612874496209,1.0218215800636077
0.032,4169.8,4053.0,1.030888797330849,4137.7482,4265.558265555885,4265.558265555885,1.0229647142682825
0.033,4118.77,4020.0,1.0273465888692093,4110.4662,4222.873429232181,4223.621880251135,1.0252753684309102
0.034,4077.6,3987.1,1.0233490832144299,4071.0201,4166.074687082517,4166.074687082517,1.0216977356980863
0.035,4038.4,3954.4,1.0187826644749278,4058.3465,4134.573060632498,4134.573060632498,1.02381464457025
0.036000000000000004,3987.1,3921.9,1.014665784562341,4031.4412,4090.565448114946,4103.287228746639,1.0259500509430277
0.037,3941.5,3889.5,1.0117587197331033,4019.511,4066.7753033131257,4066.775303313126,1.0317836618833252
0.038,3889.5,3873.4,1.0083692478559851,3998.4261,4031.8899190647403,4031.8899190647403,1.0366087978055638
0.039,3857.3,3857.3,1.0049738647579756,3958.0813,3977.768261087272,3977.768261087272,1.0312312397498955
0.04,3825.376,3809.3,1.0009586631193887,3948.6537,3952.4391286734276,3949.733863815159,1.0332158534673264
0.041,3789.5,3793.4,0.9977581005466399,3917.3545,3908.572185087832,3908.5721850878326,1.0314216084147863
0.042,3752.1,3761.6,0.9959553880164583,3897.8003,3882.0352101971675,3891.7726910160586,1.0346299965878223
0.043000000000000003,3718.41,3761.6,0.9937383928559965,3887.6583,3863.3153110152757,3866.690751659567,1.0389696969982536
0.044,3696.4,3730.1,0.9908082121414934,3870.7939,3835.214383627199,3835.2143836271985,1.0375539399489229
0.045,3667.4,3698.7,0.9878115566369571,3853.5348,3806.566209342685,3806.566209342685,1.0379468313635505
0.046,3641.3,3698.7,0.9846533474206306,3817.0051,3758.426848836619,3758.4268488366192,1.032166217789421
0.047,3623.0,3683.0,0.982637612829803,3808.0694,3741.95222470622,3741.95222470622,1.032832521310025
