YearWeek,WaterYear,WaterWeek,Flow
1924.01,1924,1,136.49518915225184
1924.02,1924,2,136.49518915225184
1924.03,1924,3,136.10653413680149
1924.04,1924,4,131.77543191124076
1924.05,1924,5,130.6839099606197
1924.06,1924,6,138.96946802861072
1924.07,1924,7,144.02311830304865
1924.08,1924,8,164.05387690278698
1924.09,1924,9,189.6464083137405
1924.1,1924,10,231.30196875777784
1924.11,1924,11,262.826964528026
1924.12,1924,12,281.09768206670554
1924.13,1924,13,328.5558496139873
1924.14,1924,14,516.9363200508204
1924.15,1924,15,564.0457420254343
1924.16,1924,16,642.8110450619682
1924.17,1924,17,863.2314464522335
1924.18,1924,18,1157.1641923213717
1924.19,1924,19,1178.3545941877005
1924.2,1924,20,1178.9101438273633
1924.21,1924,21,1215.0407542801538
1924.22,1924,22,1388.3089192667778
1924.23,1924,23,1378.5908927013577
1924.24,1924,24,1461.4104719883712
1924.25,1924,25,1876.7382525903336
1924.26,1924,26,3183.7352601338603
1924.27,1924,27,3317.5129336999635
1924.28,1924,28,3073.7753802524053
1924.29,1924,29,3110.2038112572586
1924.3,1924,30,3262.5804277471407
1924.31,1924,31,2952.52076666138
1924.32,1924,32,2536.002995262202
1924.33,1924,33,2190.315811613966
1924.34,1924,34,1861.253456937362
1924.35,1924,35,1601.2586901520317
1924.36,1924,36,1401.5125205196343
1924.37,1924,37,1215.3174290097581
1924.38,1924,38,1080.6655842512484
1924.39,1924,39,939.6256825049471
1924.4,1924,40,765.3793091344941
1924.41,1924,41,592.5172552953469
1924.42,1924,42,473.2796066114423
1924.43,1924,43,401.8712190036737
1924.44,1924,44,349.58119117700096
1924.45,1924,45,308.0207370226504
1924.46,1924,46,278.69320890793085
1924.47,1924,47,246.52677430912243
1924.48,1924,48,233.37235238540057
1924.49,1924,49,215.84824571345547
1924.5,1924,50,203.7208210760503
1924.51,1924,51,201.91531207663803
1924.52,1924,52,191.83733926809768
1924.53,1924,53,188.83711717828973
1925.01,1925,1,181.9909680169996
1925.02,1925,2,170.60977613339227
1925.03,1925,3,166.01932416377485
1925.04,1925,4,165.20574906817293
1925.05,1925,5,160.9550028421775
1925.06,1925,6,171.11118898956687
1925.07,1925,7,187.95052941710514
1925.08,1925,8,212.70446854286735
1925.09,1925,9,265.04053365285654
1925.1,1925,10,278.61749144721074
1925.11,1925,11,318.22644367603704
1925.12,1925,12,348.5892510995473
1925.13,1925,13,401.9179912515532
1925.14,1925,14,438.01177203671597
1925.15,1925,15,473.79629125768986
1925.16,1925,16,506.9197146163324
1925.17,1925,17,563.1682278579835
1925.18,1925,18,610.7913012707214
1925.19,1925,19,672.5435380172815
1925.2,1925,20,740.1941578430195
1925.21,1925,21,838.2532079891253
1925.22,1925,22,1008.0894929497053
1925.23,1925,23,1398.9511616376592
1925.24,1925,24,1926.5356140640693
