SimNo,StartDate,Mean_2023_2040,Mean_2023_2052,Energy_mean,Energy_median,Energy_mean_2023_2040,Energy_mean_2023_2052,Energy_mean_2025_2042,Energy_mean_2025_2049
1,1933-10-01,995.2620019235452,1084.154116362215,817.1808243141998,820.7106766001328,801.998550147257,819.4561867809406,796.6010500787627,814.6641737354227
2,1934-10-01,1040.5489140612217,1089.2454815443593,823.7533497634546,826.0952319785764,796.5602980649895,823.6468925317326,802.3487901103483,820.2928425282366
3,1935-10-01,1048.3532367611388,1093.8025969395053,827.0733572336694,828.819208247028,799.8098802466434,827.2412406881164,806.7756596240168,825.8376588998117
4,1936-10-01,1072.2574873298925,1099.7292319346016,829.6712981990823,831.4424466687306,805.6230207031356,831.9565329464065,811.7750481688403,826.7128614721191
5,1937-10-01,1111.1837124941123,1099.807323054419,823.9882339670951,826.4722032683256,807.7941643662064,827.3089441340403,816.8071299245751,831.9722197998034
6,1938-10-01,1149.0057566898454,1106.2145488851836,828.313831055839,830.0701721428521,812.4315452747805,831.4932889520729,826.0374282128477,837.0741656900653
7,1939-10-01,1201.1526897649078,1123.2311135452092,831.8331189501537,836.8232954956659,819.9216336288404,836.0505855275716,829.7730833805253,839.4897801597681
8,1940-10-01,1219.226196851126,1148.1527313592478,830.87667621899,836.8423214052776,828.3371368234536,836.2955054896754,831.1821454005095,833.9912715132202
9,1941-10-01,1207.718293701191,1146.3202299177522,835.148070690358,837.6432047299485,833.0332313151349,842.021821430109,848.7988348715866,850.5115152053863
10,1942-10-01,1184.384215095941,1150.436620096696,844.8217668474063,843.3030026886264,837.758022044504,850.0124034052606,858.7018460595837,858.3317623817477
11,1943-10-01,1211.8856740252209,1180.6204653927036,853.4087840290438,848.7727533677754,855.9503566023101,866.7627582315605,859.5245276675174,861.4499403160684
12,1944-10-01,1234.9366318953873,1179.5278788305368,859.5144647557283,856.4085729198302,864.0733199992504,876.2705371531487,868.0758101269756,867.0724263137671
13,1945-10-01,1277.1719070090096,1178.6858949178807,864.2635090412305,867.8637766125441,864.8888329152653,879.8796045822413,876.323926523907,873.9556291109099
14,1946-10-01,1274.5547576372335,1152.0988089006305,860.0438320366696,869.0440162602534,870.691146020328,874.5570573180127,874.8213500907609,877.7450871536981
15,1947-10-01,1256.354702783837,1129.229439351974,855.607591736685,865.5169671468313,875.0223707219723,869.17904013708,860.744225523941,879.2645401410355
16,1948-10-01,1243.1670023631889,1118.0257492411142,850.9070731498075,859.9331093924187,871.1032465775082,861.7079565448646,861.7195951241875,878.168373965672
17,1949-10-01,1211.4929174715955,1103.7203602330253,857.5141910585863,860.9762440841998,860.090326376522,858.6435581508283,867.7738968052843,875.4766596965641
18,1950-10-01,1180.7318034091757,1075.7693331661956,855.9575650305026,857.8536005970897,862.6197508326051,852.9921080864217,873.5598089164689,874.1080850209435
19,1951-10-01,1184.983061783155,1056.8912894297769,855.6591196916381,859.557187008381,867.1656193400803,855.0745795548003,874.1145456730393,866.7094525759783
20,1952-10-01,1145.7896455153611,1012.2334555854761,852.8004764253118,859.1830431411604,872.2447784205875,855.753327829621,879.5432169941598,864.4870000338506
21,1953-10-01,1148.3703884379054,1018.3682895575363,853.9306924529153,860.2301761671381,873.1755212341969,854.2567209333286,887.5339690754428,859.8058799280318
22,1954-10-01,1183.7480225265006,1003.103204099182,845.0718993906197,856.5111033602681,879.3688244780467,846.2953875513336,891.8127575611534,856.3433368000756
23,1955-10-01,1184.1002204468919,983.6019878605767,839.567803386881,849.600571584762,885.9056310957803,842.6432514653699,891.6254931631526,850.7705155988065
24,1956-10-01,1164.1867319786031,949.070228295432,828.0108653518893,842.2012536594929,887.2812992512811,828.2732050064203,871.7205187680214,842.408613748698
25,1957-10-01,1118.3993438195428,913.919651473145,825.1573619622962,841.1710258142443,888.566501152271,822.3265635105997,862.6190958109253,831.5358898020738
26,1958-10-01,1099.6077881842427,902.3497703147452,819.9727066506628,839.4755475862844,869.8254751104373,807.6080812461419,854.735868255928,826.0722834935626
27,1959-10-01,1084.3680476517736,888.1807967551268,804.9428473218017,835.5998774235663,860.8660421787761,791.6151722725733,849.5073785891562,812.4820549330019
28,1960-10-01,1058.9882972426813,865.4312282194943,791.2207664009952,835.3094040569639,852.2642320948929,774.1710870962904,837.1199042253725,803.4385247260162
29,1961-10-01,1048.4334692486227,854.5020878704431,783.0574185141772,835.4735920093052,846.5597138900584,764.4499050960962,837.0660701635652,793.7694502104599
30,1962-10-01,995.5020961342284,831.9971695624886,778.8705068273429,823.5564718472245,835.381940399345,760.4624074601464,824.6389971231075,772.5489105510329
31,1963-10-01,930.9947358613492,800.6335163529352,776.4635371479319,802.901408177637,836.5087984379581,759.7834854850615,819.4887162692407,751.1265587565362
32,1964-10-01,894.3429133816942,781.3690596071498,767.6573657852201,773.844276634553,823.825223485954,750.3518895821162,805.236685837466,740.923123849331
33,1965-10-01,905.5730753426255,785.4731305988687,767.0430070330622,773.5963336166756,819.5134769056297,747.2468375363493,808.8695056472704,744.615205456036
34,1966-10-01,895.0034240095482,787.0848226910159,766.0763175393372,774.7088958177338,806.2185913767717,745.2285061569339,789.4317281527236,740.0453299817607
35,1967-10-01,904.9463202671236,802.4809109847628,765.6498064599544,773.7722810054433,810.1658448024378,749.3852903881112,782.3958507677155,734.9464385375023
36,1968-10-01,875.4164030005037,808.3313878454379,763.8360401521657,773.9166330914891,791.096615657715,746.2087454751548,770.8646656081095,734.0344798793305
37,1969-10-01,840.7865437704967,781.8341513954269,760.5574445885654,757.4353272956927,781.2709158814392,739.969226199932,743.2225982902339,727.0255855213978
38,1970-10-01,793.6274502481956,765.3839493202486,756.3443535849815,759.3582966685472,770.007232880562,739.3705028845158,714.4123679219413,722.0204889684853
39,1971-10-01,759.6284834358336,775.0771163233773,754.8074418677952,762.3966929030493,745.8598543675984,737.3317622725357,696.6323489668493,716.0477055003665
40,1972-10-01,686.2676408927031,758.5661885170247,756.2195476577397,762.4793544581786,718.3761928081431,736.7679058804497,685.613712686644,706.1414714064732
41,1973-10-01,641.471345960618,758.9999728886908,762.527136346679,775.7377325376063,701.8705519841595,734.7086915865917,682.1986797084407,705.4269483617245
42,1974-10-01,630.2126885722987,769.9932971184758,763.0669019296528,776.3791123738757,691.052176284161,732.2289336401668,684.2336606814384,712.273792140121
43,1975-10-01,625.4725755702494,786.2329578578094,765.2010151054445,776.7740714741345,685.7792762718475,732.9915075464918,690.2523980628928,720.4814684318175
44,1976-10-01,639.3827531718779,805.9824156502171,767.2400449263678,776.8784614564153,687.620732223662,739.9739255246493,696.0080627230949,725.9724549425431
45,1977-10-01,669.4768113641043,828.9291010070959,764.7592993094664,778.5335201284392,693.1736372325888,744.3773730792807,698.4806856014002,730.378218402886
46,1978-10-01,677.9757899180236,851.0493476243619,765.8110268658675,780.1577144685567,698.7507656648047,751.6729667935365,704.6910681822831,738.2622711616424
47,1979-10-01,696.1857385153287,852.745968901944,760.1606465973017,776.0544850260271,700.5077256086927,752.0536270062203,698.4699011612663,740.040863370947
48,1980-10-01,724.8350298711142,862.5313759061805,753.2791320649816,770.4633992369276,704.3851102715086,753.2255425406561,699.5931333908857,741.605997536095
49,1981-10-01,718.9567899736438,873.1463071748612,751.0658807470355,768.976656884348,697.8071118356171,752.0605758606766,699.9069393405952,745.2259950612189
50,1982-10-01,729.9658995957885,879.6715991277575,753.5322674198429,770.9731201097558,700.8132994342283,752.4441786559931,713.3300482814283,751.4824684659502
51,1983-10-01,738.1100001539385,872.8475634643837,753.7789413805255,770.5509699610466,702.111468991553,749.6843599531271,718.5481040604091,752.6570289133815
52,1984-10-01,777.9781574629088,886.3988761554015,757.1365550278485,780.7696962582227,715.9850809672967,756.1887426422477,735.601228222374,763.1222726927149
53,1985-10-01,815.7842841486087,889.4651397031723,757.2035020814254,778.421125409225,720.6976308523654,757.07039232277,743.8480461863155,765.2652686925306
54,1986-10-01,877.3480905685693,893.6891458830968,754.3382423706091,779.3576648958448,736.2602886506583,757.9393049288237,757.7213670280171,768.3680570908342
55,1987-10-01,920.0839482549347,890.4750003396216,751.6492435153914,770.3562687637308,744.8301635409882,759.0169687590625,776.9875505963487,782.0316665856701
56,1988-10-01,954.9480039359897,901.7291937770973,751.0456036847456,769.8902242554766,759.171231300333,762.8411707766609,804.0794486805131,796.1533226649888
57,1989-10-01,1004.3354702845952,920.8308880502124,751.620951196404,768.9807955026217,777.6729178337775,773.9202648055273,811.7911519004106,793.6001669422549
58,1990-10-01,1056.914581135885,929.0803729373517,751.1368973792963,769.3068947214396,804.2816231960719,780.3552350745616,812.188914037354,792.7061478252623
59,1991-10-01,1068.2537316471364,947.6491894506737,752.784250818124,770.6306228624745,813.5711612404906,784.5358166141752,816.0852244834318,792.4980596170999
60,1992-10-01,1067.7365563049557,943.03254665065,761.216384212879,777.4367358822668,815.111314033702,788.4706932276358,820.7550564886784,799.0388500812359
