WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units
2017,3417.0984840470514,197.7379763917583,0.5061445717953658,0.0635041691110393,25.378059885009762,13.563406973397448,974.4996910334877,964.4016535858328,191.88683261407533,26.48507808105535,913481.7478888258,0.5793263241304071,0.4191780821917808,0.0821917808219178,0.1506849315068493,0.34794520547945207,0.0,0
2018,5179.339075037684,235.81042594438458,0.41655765844996906,0.0597779578432217,25.024760325602678,10.48274157536146,977.601472953698,964.7325302157336,193.59554454035603,30.07974481557607,878482.2484535904,0.557129787197863,0.4328767123287671,0.09863013698630137,0.21643835616438356,0.25205479452054796,0.0,0
2019,7746.397864607579,275.2695426537225,0.4539676680815404,0.02362388340987576,24.89087011603007,7.355105977481871,980.9671275169092,964.8177992571831,191.58788597320248,0.0,777466.3042474495,0.4930658956414571,0.24383561643835616,0.09863013698630137,0.29863013698630136,0.30684931506849317,0.0547945205479452,20
2020,9297.550808402735,266.59149049902896,0.4317626881517338,0.021188375741056416,24.881088274485197,6.645180941091965,982.0493292598101,964.7953049952864,193.26599906726403,0.0,735798.304589606,0.4666402236108612,0.2958904109589041,0.06301369863013699,0.2054794520547945,0.29315068493150687,0.14246575342465753,52
2021,3705.334331717688,229.6560237862865,0.4535359053358816,0.06313673292394573,25.03414710518256,12.992827458365882,975.0702705485195,964.7238566063107,189.49227928968068,30.057556748098804,909754.3513641725,0.5769624247616518,0.3041095890410959,0.18904109589041096,0.16712328767123288,0.33972602739726027,0.0,0
2022,4075.3273279232567,182.32875103671668,0.5013313376684867,0.05469295486735705,25.39038716719145,12.301577081881607,975.7615209250037,964.4059313992482,190.24264076077492,25.069829964969806,818743.7949786526,0.5192439085354215,0.2876712328767123,0.13424657534246576,0.21095890410958903,0.36712328767123287,0.0,0
2023,5331.794744231615,187.8928853725904,0.4694519759526719,0.04198868677602189,25.39009420707746,10.262873898485466,977.8337363436693,964.4125540043852,189.79136128144864,24.982310312531915,842706.833280099,0.5344411677321784,0.3452054794520548,0.12876712328767123,0.1863013698630137,0.3424657534246575,0.0,0
2024,4863.171326687703,244.109229082853,0.4618715192426522,0.05615316194409018,24.980429888048892,10.958772252619,977.1043257542664,964.7464741702721,192.647266998208,33.04604324068192,900609.6908179482,0.5711629190879935,0.4465753424657534,0.07671232876712329,0.2191780821917808,0.25753424657534246,0.0,0
2025,5802.6182236401255,263.75541081286906,0.4216827276762013,0.0413558476756177,24.92927139868701,9.611817283301393,978.5230742034934,964.788357441185,190.0715433266216,0.0,874863.6781598694,0.5548349049720126,0.46301369863013697,0.07945205479452055,0.18082191780821918,0.2465753424657534,0.030136986301369864,11
2026,2015.2032312173346,275.6399352254924,0.4668444421073786,0.07426592019128624,24.888880230677945,16.88796917203156,971.1751288348537,964.818798774422,191.07712224511704,34.34789879138334,992848.7491234074,0.6296605461208824,0.3561643835616438,0.1726027397260274,0.2,0.27123287671232876,0.0,0
2027,2364.719891973489,244.56140334495305,0.4892808940962688,0.08507083034133743,24.98834170184074,15.953559833724926,972.1095381731604,964.7473033027363,191.41000424066115,32.28039065371727,875894.3481634941,0.5554885516003895,0.3095890410958904,0.10136986301369863,0.2547945205479452,0.336986301369863,0.0,0
2028,4633.422816040717,222.8068586686762,0.48398254750980296,0.042791528423626365,25.062738142914597,11.3341091870346,976.7289888198508,964.7160414484123,190.114640647456,28.171390953182712,845921.5830004881,0.5364799486304466,0.3287671232876712,0.10136986301369863,0.2191780821917808,0.3506849315068493,0.0,0
2029,2951.6723665508207,244.82344112376026,0.4704527662787786,0.052247899733264665,25.012080960710787,14.554041749961655,973.5090562569237,964.7477869420528,192.65163285956717,29.450763425564805,849742.6602465258,0.5389032599229615,0.2602739726027397,0.16164383561643836,0.18904109589041096,0.38904109589041097,0.0,0
2030,4845.2132540985385,236.14816586920867,0.4448757133761903,0.040658685112230884,25.02342632076618,10.98766817521978,977.0754298316657,964.7330487683247,191.42928916373458,30.15132452849597,875134.6105194887,0.5550067291473165,0.42191780821917807,0.0958904109589041,0.2219178082191781,0.2602739726027397,0.0,0
2031,7239.643431065507,252.48674091430584,0.42593750703625977,0.03916923494796652,24.9563513680684,7.754156143974981,980.49757555136,964.7629173157603,189.74370879390116,0.0,803682.2029181556,0.5096919095117679,0.3178082191780822,0.1095890410958904,0.29315068493150687,0.18904109589041096,0.09315068493150686,34
2032,4135.998738324744,310.2284882493668,0.4793331359912964,0.046604666495051635,24.73999471417959,12.192248728646929,975.8708492782383,964.9240767752934,193.17775946438576,37.707547105122536,958146.2066712608,0.6076523380715758,0.40273972602739727,0.13424657534246576,0.27123287671232876,0.1917808219178082,0.0,0
2033,2548.791707363862,290.65226064044026,0.4619907037852978,0.0845037195004729,24.80970806483086,15.493938220542946,972.5691597863423,964.8617704735346,192.7632205493824,34.90485614721068,931620.6774796166,0.5908299578130496,0.336986301369863,0.12602739726027398,0.20821917808219179,0.3287671232876712,0.0,0
