WaterMonth,MonthName,Month,EWRProportion_max,EWRProportion_mean,EWRProportion_median,EWRProportion_min,EWRTotal_max,EWRTotal_mean,EWRTotal_median,EWRTotal_min,FlowCanal_max,FlowCanal_mean,FlowCanal_median,FlowCanal_min,HeadTurbine1_max,HeadTurbine1_mean,HeadTurbine1_median,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_mean,LevelTailwater_median,LevelTailwater_min,LevelHeadpond_max,LevelHeadpond_mean,LevelHeadpond_median,LevelHeadpond_min,Turbines_mean,Power_max,Power_mean,Power_median,Power_min,Energy_max,Energy_mean,Energy_median,Energy_min,Energy_P95,Energy_P90,Energy_P75,Energy_P25,Energy_P10,Energy_P5,Energy_stdev,Energy_coefvar
1,Oct,10,0.6207233937971764,0.5206270162722392,0.5231179267161365,0.42735505345181146,120.0,93.86111111111111,101.19354838709677,52.0,147.37010993384865,86.90402428377494,81.94666863924652,36.67210120316063,25.42959943426709,25.315772292206322,25.385149774335332,24.93900215794404,964.7908992593262,964.5408878922784,964.4874421035581,964.435504478381,990.0,990.0,990.0,990.0,0.9677419354838711,32.03170838035368,17.80625634466365,16.85810968447745,3.0413025700559695,23831.591034983136,13247.854720429752,12542.433605251224,2262.7291121216417,7231.005859193299,11012.807210066174,11983.358976761418,14862.756644804556,17678.685861279053,19920.426847302064,3906.2970058241385,0.294862608947558
2,Nov,11,0.5216498670344636,0.45034782420096925,0.451671357793814,0.31419981497296373,114.0,89.47222222222223,97.33333333333333,50.0,255.20843065736105,112.31379763389197,104.57762155708751,70.36503992281199,25.40064776477307,25.19934895227764,25.271846764933372,24.40850987453276,965.1505449163574,964.6099082605074,964.5422121597041,964.4546713772082,990.0,990.0,990.0,990.0,1.0046296296296298,55.159516548805485,23.838667385756604,22.128343822230065,14.006391394250198,39714.85191513994,17163.840517744753,15932.407552005652,10084.601803860143,12245.434873365808,12947.969811672883,13901.62288696706,19271.569997923994,22588.178000885368,22869.235815460604,5223.70373773803,0.3043435257008785
3,Dec,12,0.41555105411779736,0.34325401572152936,0.3397946557345787,0.25700851699265614,126.0,100.47222222222223,104.0,59.0,366.3226409449211,203.70190941279026,184.6308026341432,132.8671325308904,25.262298275521758,24.685271634757843,24.75964653599417,23.86865759657894,965.6658980288111,964.9389174451594,964.8541117543718,964.5037187714579,990.0,990.0,990.0,990.0,1.149641577060932,77.25935015933261,44.21281299159214,40.572711895348505,28.874688853796428,57480.956518543455,32894.33286574455,30186.097650139287,21482.768507224544,22068.4660149411,23273.00664216803,26270.066326733082,39113.9289069532,46537.30370588317,48916.464959610166,9254.681493453332,0.281345772575037
4,Jan,1,0.28239958354043887,0.23426503909386806,0.24054025508037855,0.15287261281823325,150.0,118.27777777777777,123.06451612903226,73.0,829.0331197998298,416.47869900008374,364.50003333309473,212.7564780049205,24.687155149010163,23.528752810322832,23.8686718810579,20.712084650485828,968.0407879971312,965.8771568181957,965.6370614682303,964.8513626055776,990.0,990.0,990.0,990.0,2.0376344086021505,152.0050937649817,85.43729432859271,76.99889085758419,47.08721082814331,113091.78976114633,63565.346980472976,57287.17479804263,35032.884856138626,42760.33524450448,45026.73995783288,52482.20367935077,77040.79148986147,89275.17138917057,109122.55079961426,20027.13446210247,0.3150637165286729
5,Feb,2,0.2179553011473586,0.16452009115030872,0.17326360824396167,0.07523481168448129,197.0,139.37328954570336,140.57142857142856,85.0,1100.0,699.488975982506,650.1015503296549,306.4027098203693,24.398128013909673,21.386104424507838,22.153329420686653,15.053443697013353,973.0137184645654,967.5936778428713,966.9962960385456,965.2330050482323,990.0,990.0,990.0,990.0,2.929495073891626,176.02996137496962,128.6036082175693,128.7490945035052,65.30896154630918,122516.85311697879,87180.20664060063,86638.61006451523,44982.929353636326,59086.05794213836,66175.36959777348,71416.23635946568,99897.22939009685,112927.79684122244,115708.95936414693,19366.467635088426,0.2221429425480311
6,Mar,3,0.21886073173857343,0.13398242761075446,0.1347532882357101,0.07323175759758538,315.0,195.83333333333334,183.0,107.0,1100.0,934.1865168379542,994.6114885843217,384.7510291657724,23.838600335623003,18.656244397009992,19.54235582711756,12.887061618790888,975.1760363880944,969.8404014310155,968.9744842179181,965.6636019460913,990.0,990.0,990.0,990.0,3.60663082437276,175.01611638531628,149.69467621117303,154.5600406715265,81.5191954048138,130211.99059067533,111372.83910111274,114992.67025961577,60650.281381181456,86095.02307364087,90746.15289543263,99716.15149374862,125278.12641643717,127321.76805615755,129069.61698482456,16513.157488660207,0.14826916169092452
7,Apr,4,0.19674740221179626,0.11627080546915708,0.10736456066670227,0.08801245321539784,364.0,233.52777777777777,231.5,125.0,1100.0,1030.0760276213468,1100.0,512.4996099230076,22.971384044019597,17.01200692654119,15.917805506976517,12.806601532344896,975.2564964745405,971.2520718340984,972.1452924999089,966.3087036854342,990.0,990.0,990.0,990.0,3.8787037037037035,182.28144341418044,151.82298189769344,151.95744205696778,106.0464958270337,131242.6392582099,109312.54696633929,109409.35828101682,76353.47699546428,85252.62790046023,89516.78934642002,103187.28802431686,120157.55433097703,127932.52051251885,130196.81539218577,14127.096693816293,0.12923582046044965
8,May,5,0.2741093502933618,0.16371955770229263,0.15535413459923375,0.10942511009714596,340.0,266.19444444444446,283.258064516129,147.0,1100.0,995.7193450688911,1099.458478666531,436.16795267921015,23.25428722742787,18.018660694722666,17.54097326050243,14.094759031952155,973.9683389749332,970.3097649504014,970.5400077539482,966.0692887236287,990.0,990.0,990.0,990.0,3.7482078853046596,179.72966795498272,155.59577570025962,163.51175055322432,90.98573954077682,133718.87295850716,115763.25712099316,121652.74241159888,67693.39021833795,72454.19404970341,87945.70833383221,109460.36617822995,128310.39661681134,132062.85284761604,132290.67584503256,18382.44035671028,0.15879339277312635
9,Jun,6,0.43138966613815755,0.2495788784101926,0.24385621306259891,0.16908434926353508,293.0,213.94444444444446,210.0,119.0,1088.9248390683663,706.8720834084256,709.7627123204635,160.72129371432672,24.84776697763219,21.28459331357861,21.546728824232215,17.644552873579535,970.4778982371718,967.6487773828792,967.4706867365585,964.8417450929187,990.0,990.0,990.0,990.0,2.9416666666666673,172.27517125010175,128.9171126300889,135.00450238018175,35.050866734251116,124038.12330007329,92820.32109366398,97203.24171373085,25236.624048660793,29366.14544494809,52347.29778632472,79027.45014215953,113428.90098418308,122038.18592757221,122510.72309638884,27683.19344722387,0.29824496533780637
10,Jul,7,0.531745097807581,0.4375144918777256,0.450955791678197,0.31319646479700447,256.0,187.72222222222223,186.0,108.0,601.2462973543601,265.9756001918914,230.1945773615766,102.36163018991297,25.18780758232973,24.02532207749044,24.216152536414036,21.951828535143463,967.2236875783593,965.5265193439494,965.3555017825857,964.6443466584509,990.0,990.0,990.0,990.0,1.4059139784946237,116.97313812802064,55.60942863915438,49.61669694027606,21.641531068086625,87028.0147672474,41373.41490753085,36914.822523565395,16101.299114656453,20328.268455035526,27171.467663808162,33433.34161933582,45498.180121126126,62981.267522694136,74205.34855198118,16150.025380631369,0.39034789409398535
