WaterMonth,MonthName,Month,EWRProportion_max,EWRProportion_mean,EWRProportion_median,EWRProportion_min,EWRTotal_max,EWRTotal_mean,EWRTotal_median,EWRTotal_min,FlowCanal_max,FlowCanal_mean,FlowCanal_median,FlowCanal_min,HeadTurbine1_max,HeadTurbine1_mean,HeadTurbine1_median,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_mean,LevelTailwater_median,LevelTailwater_min,LevelHeadpond_max,LevelHeadpond_mean,LevelHeadpond_median,LevelHeadpond_min,Turbines_mean,Power_max,Power_mean,Power_median,Power_min,Energy_max,Energy_mean,Energy_median,Energy_min,Energy_P95,Energy_P90,Energy_P75,Energy_P25,Energy_P10,Energy_P5,Power_P95,Power_P90,FlowAvailableForGeneration_P95,FlowAvailableForGeneration_P50,PotentialPower1u_P95,PotentialPower1u_P50,PotentialPower2u_P95,PotentialPower2u_P50,PotentialPower3u_P95,PotentialPower3u_P50,PotentialPower4u_P95,PotentialPower4u_P50,Energy_stdev,Energy_coefvar,PropYearsMinAvailFlowGt1UnitRatedFlow,PropYearsMinAvailFlowGt2UnitRatedFlow,PropYearsMinAvailFlowGt3UnitRatedFlow,PropYearsMinAvailFlowGtCanalRatedFlow,PropYears1uPotentialGtRatedPower,PropYears2uPotentialGtRatedPower,PropYears3uPotentialGtRatedPower,PropYears4uPotentialGtRatedPower
1,Oct,10,0.5785530571318874,0.39693295546547513,0.4006549758414756,0.27492306710063413,120.0,93.62330905306973,97.0,52.0,317.0948595110256,144.9876027621867,131.82851249859814,45.218711906894306,25.39845698898405,25.023241192454456,25.056175611460908,24.172131611396445,965.4244851658414,964.7148053311194,964.725074215312,964.4074174174258,990.0,990.0,990.0,990.0,1.017343045438779,67.18378467873536,31.470976764409365,28.654158345166604,8.962658732981449,49984.735800979106,23414.40671272058,21318.693808803942,6668.218097338202,16473.492046344934,18237.248367827502,19304.884191295,26708.536284290567,31466.86933026991,36586.724307906545,20.67446320073359,22.075059516856566,104.06714388570062,131.82851249859814,56.910351264810316,57.31076953982365,113.3072248113579,114.14193441903313,168.577229653554,169.91406511268622,221.03303851021846,223.01737445157357,7042.54859292066,0.30077843437709584,0.03225806451612903,,,,1.0,1.0,1.0,1.0
2,Nov,11,0.4034291765582278,0.33151802389369356,0.33420208450834654,0.21870509146998868,114.0,89.3584229390681,93.0,50.0,411.82899671077723,186.50762252770804,170.50961605370944,103.74026067187589,25.363512507875203,24.811389739524852,24.86245698732656,23.62889072335862,965.8140285840509,964.8430507021703,964.8002875825345,964.4556997146514,990.0,990.0,990.0,990.0,1.096774193548387,86.78051041438562,40.61888001090996,37.390460838335144,22.07292243043293,62481.96749835763,29245.593607855175,26921.13180360131,15892.50414991171,19560.73192935887,21472.44592036638,23136.698850125176,32402.25491319918,41094.98913254783,45588.84359465657,23.420879757543645,27.66613315528208,125.33518236680631,170.50961605370944,56.54169691002078,57.216375952228745,112.5416887196478,113.94505205559359,167.35833039201148,169.59848072509115,219.23992723254875,222.5483345450495,8967.171546926731,0.30661615787884733,0.053763440860215055,,,,1.0,1.0,1.0,1.0
3,Dec,12,0.28858412954650264,0.24170003571209245,0.2427565392278558,0.1578365557758893,126.0,100.28962885882761,104.0,59.0,677.0604363370671,331.98454659470417,298.63659852195065,170.54565916889592,25.02078102296153,24.07251780844555,24.262170302927824,22.125868898207944,967.0211954206751,965.4294635413785,965.2832821471997,964.6489906084203,990.0,990.0,990.0,990.0,1.716961498439125,134.77624945628446,70.41007707512107,64.63018315986334,37.59649375243694,100273.52959547567,52385.09734389007,48084.856270938304,27971.791351813084,36645.01209729325,38258.28267790088,42951.71209904813,60742.12504801168,68583.79171298625,84571.2887432167,39.90893550516855,44.88867847477149,224.88809927016067,298.63659852195065,54.656780487509295,56.573914004855794,108.65461093644545,112.60937485831002,161.23498623185165,167.4680065060809,210.38148132228778,219.40560368621854,14425.402351201059,0.27537225437424073,0.27956989247311825,0.021505376344086023,,,1.0,1.0,1.0,1.0
4,Jan,1,0.22243172948146747,0.1773466361199494,0.1813081792451524,0.09766532087596923,150.0,117.76344086021503,120.0,73.0,1067.2788354383574,569.8282980640186,500.5813035849072,256.8588196371347,24.44934865867261,22.620192288081412,23.11311648477465,18.168933764841096,970.0725349469648,966.5987340749846,966.2321902166171,964.9954912320444,990.0,990.0,990.0,990.0,2.541796739507457,172.97949372760328,112.77289930440122,103.40231181627345,56.67969282871295,128696.74333333685,83903.03708247453,76931.31999130743,42169.69146456242,56368.060034456714,62172.1220096439,69587.37076592684,97408.14452595367,117326.10101924471,120833.32052958815,70.26260917682984,75.62155733388136,356.1098700873663,500.5813035849072,49.86335584079121,55.14408532965531,98.88869094691456,109.65567194871122,146.14199967057343,162.80252993390909,189.21832651586945,212.6274862870459,20486.521889219304,0.24416901463389912,0.967741935483871,0.21505376344086022,0.043010752688172046,,0.956989247311828,0.946236559139785,0.9354838709677419,0.9032258064516129
5,Feb,2,0.18883222320745235,0.12946557688045351,0.1393399996276731,0.023961043626792116,197.0,138.95974363048887,137.0,85.0,1100.0,824.039150608735,825.5287352790687,78.57142857142857,24.051453285735562,20.16203196125542,21.111574932366374,7.245642968916142,981.344035200488,968.6122453995497,967.7394482363898,965.4884405536783,990.5265801625183,990.0057574993957,990.0,990.0,3.356348323534085,182.90067562783435,144.8288767036479,146.66095587223847,7.400166718802753,127298.8702369727,98181.9560505272,98603.43872252312,4972.91203503545,72086.59780909476,79205.32006328531,89244.27563328178,111754.51986184067,119378.59655350308,121412.88279341997,96.16342096937063,106.68146518506947,538.090704053319,850.3299017737432,36.974507351519115,52.36464335171955,72.86773409872278,103.96684344353314,106.51883647160633,153.9458802809937,135.05635428237733,200.05662079515992,18662.406259719453,0.19007979684286647,1.0,0.8387096774193549,0.34408602150537637,0.12903225806451613,0.7419354838709677,0.7311827956989247,0.6989247311827957,0.6451612903225806
6,Mar,3,0.18299249746765944,0.09546158186643602,0.09152482950340032,0.04024554964164302,315.0,194.51092611862646,185.4516129032258,107.0,1100.0,949.2697739180809,1082.8736405027444,0.0,23.231175247025977,16.494621445074028,16.118910933240638,7.42938060296018,981.0009556950522,971.8250677657443,971.9449035386541,966.0903387650142,990.3672382911273,990.0124623115448,990.0,990.0,3.5882761012833853,184.792240738035,139.4524215357208,149.65839784315614,0.0,137485.427109098,103752.60162257623,111345.84799530817,0.0,20050.327213526976,76462.03397702368,95087.75247033488,121680.07803519261,129854.88149349277,132843.57772165223,0.0,97.2916381215053,743.5523769289443,2138.7038473396924,24.629955875723194,42.30073976503789,48.14721105095705,83.57319192092304,60.544330461905346,122.70109460037908,28.14730565277759,156.88900881838018,30306.066543180135,0.2920993408283425,1.0,0.978494623655914,0.7956989247311828,0.5591397849462365,0.3118279569892473,0.3010752688172043,0.2903225806451613,0.23655913978494625
7,Apr,4,0.1652951863468935,0.08510947063790494,0.08204159868474176,0.04999255055865053,364.0,231.26523297491036,217.0,125.0,1100.0,1035.04699411713,1100.0,0.0,22.41043546305785,15.043396279468347,14.573659361196032,7.82796322552932,980.4951745681606,973.1043286394329,973.4894386456891,966.8348637523261,990.2600397868046,990.0064818566448,990.0,990.0,3.803584229390681,191.16959972227724,136.56076638397982,138.95016070859035,0.0,137642.1118000395,98323.75179646547,100044.11571018507,0.0,58607.459907906414,73218.22541291403,87273.47239477647,114982.54939476681,129301.21258122366,133642.9597766781,88.14640218742235,97.6981113344678,955.9631613513831,2724.2740541760713,26.86009924641918,38.28261208470796,52.59916042853662,75.48746463426322,76.03554437242626,110.45476084894086,85.43213875080826,140.3079465040908,26305.577811324612,0.26754041959035824,1.0,1.0,0.967741935483871,0.8064516129032258,0.15053763440860216,0.12903225806451613,0.0967741935483871,0.07526881720430108
8,May,5,0.22315041945220424,0.1308009424199837,0.12830223424100137,0.0663930017485795,340.0,265.2712452306625,276.0,147.0,1100.0,1047.5128199365106,1100.0,538.948733011472,22.813961738346737,16.75453477334386,16.33275534033944,10.521202121341899,977.5746956150565,971.4445573645838,971.7303426665459,966.5146178975339,990.0327997295133,990.0005408581318,990.0,990.0,3.8827610128338534,186.94550912636893,153.35166710794746,156.82698746175816,59.54175920147019,139087.45879001843,114093.64032831292,116679.27867154805,44299.06884589383,87919.85942364296,91629.4519649758,106016.36524789897,126510.93871829164,131080.42404970934,133778.02225898017,109.4175392949896,122.5313417350444,721.5704129304476,1945.779043386988,34.43305772266097,43.05956167242774,67.76153153564616,85.1064760179059,98.80539843784285,125.03923236199762,124.6620215878387,160.09326866259286,16447.349602607992,0.14415658537390447,1.0,0.946236559139785,0.8924731182795699,0.7204301075268817,0.16129032258064516,0.16129032258064516,0.12903225806451613,0.11827956989247312
9,Jun,6,0.3694252297337769,0.20003973185351145,0.19528752408331407,0.10873122812078319,293.0,212.9426523297491,210.0,119.0,1100.0,833.3469132127445,901.0226387523619,207.63950860669672,24.58130697325997,20.29464842632046,20.159599358307666,14.938758405051646,973.1243396018333,968.413525101496,968.4730095210732,964.9898023729163,990.0,990.0,990.0,990.0,3.3501792114695332,176.01622755228448,145.89787453943788,158.24515659725637,45.45379751100099,126731.68383764481,105046.46966839532,113936.51275002457,32726.7342079207,50690.97934801981,71790.78017720219,95352.72683054004,121524.84230233628,123474.80907600938,124749.699110121,64.08521668759307,79.64620365178467,331.378825979531,968.038151808228,44.93577720906997,50.882517491189205,88.89665336864864,100.94472814123,130.81660224676818,149.26907500806036,168.00496523170452,193.4842054201072,23185.985098388886,0.22072122148969953,0.946236559139785,0.5591397849462365,0.25806451612903225,0.053763440860215055,0.6774193548387096,0.6451612903225806,0.5591397849462365,0.4838709677419355
10,Jul,7,0.4445710694055651,0.3359397876117023,0.33683061751987686,0.20293356521174735,256.0,187.10579257717657,186.0,108.0,953.6561740362671,400.22194329426725,357.2999809647387,135.87695190397005,25.010640019717496,23.322381785731032,23.560178129542724,19.55479050746064,968.9621061779128,966.0844250886852,965.8915652786588,964.7499802186011,990.0,990.0,990.0,990.0,1.9556018036767266,165.77833787382204,81.25889801267462,74.58345616137314,29.48367902898826,123339.0833781236,60456.620121429914,55490.0913840616,21935.85719756727,36014.024253735784,41127.324298689586,47579.844949362516,69854.58752328764,86873.01219593437,100813.32388930551,44.230454591981896,49.50807148905275,219.23814014897056,357.2999809647387,52.40580060734104,55.67049903262343,104.0517036575007,110.741793271658,154.07952558146897,164.51485076321572,200.24987643953864,215.10774436627182,20497.13618887119,0.33903873798604267,0.4731182795698925,0.03225806451612903,,,1.0,1.0,0.989247311827957,0.978494623655914
