WaterMonth,MonthName,Month,Flow_min,Flow_mean,Flow_median,Flow_max,Flow_std,Flow_coefvar,Flow_difference_median,Flow_difference_mean,Flow_P95,Flow_P90,Flow_P75,Flow_P50,Flow_P25,Flow_P10,Flow_P05
1,Oct,10,104.97764783541786,238.59557906876526,230.61154596100727,471.3063851319038,60.22464036937316,25.2,0.11607612335856743,1.9874839544029415,163.96067979579425,172.3376278324339,199.3720905914105,228.63771050845813,274.46134971171233,308.10259129785754,343.2738947589016
2,Nov,11,102.7440808601962,275.88139918461894,263.12709498041704,641.2623343820222,80.70931366505907,29.3,2.4934834799414034,4.288236274447204,176.03159690111724,199.7557141220309,221.01131668259157,266.3234784256782,309.86671590937397,375.8154274295952,409.5931740109976
3,Dec,12,186.87643787790543,431.9927453752365,408.38425184340554,1127.6208598704386,137.99417235041307,31.9,5.430401655708977,8.627086605655265,289.6264316062809,308.0515211356708,346.41299777943135,402.3012513615051,503.69918914143733,562.6850645167152,685.3551615866745
4,Jan,1,273.83249243640364,718.1166096941909,629.7678561238698,3888.545558628648,346.14336361681063,48.2,8.326851134129697,16.0839258560469,436.28003523051296,478.6288113440823,542.1019886792265,620.1292296788661,811.3442082079943,996.1959069842608,1314.1132570848033
5,Feb,2,390.02301261839125,1346.1474415197963,963.0506170046988,9911.75881916953,1164.52775879886,86.5,14.368170595045399,34.29293594707392,626.4096632206321,690.8392377684867,807.2333905834256,986.6336243158293,1417.4449384953532,2478.096385517886,3201.226913523901
6,Mar,3,504.25065773815606,2529.6526933393848,2172.233612725085,9529.570903572503,1656.181135964199,65.5,26.924840110562627,55.875394588717555,848.5412231563921,909.8256435501278,1184.3908480268267,2339.808236550551,3120.855022168383,4345.984889999285,5638.829814833096
7,Apr,4,685.7928889524201,2964.457896427474,2962.5146538760077,8542.719390546248,1354.973279295548,45.7,22.991785062265535,36.02579679473346,1085.442625852796,1256.0287635202696,1922.361845615411,2960.216858282654,3699.347853198779,4654.5224351814595,5104.693212994236
8,May,5,421.7112750650892,2218.08045908669,2157.6945434428562,5673.759846821428,924.7857186853912,41.7,30.253265865046842,35.27733245281792,876.3354853891916,1128.5443596940115,1682.373622405009,2234.5612886809063,2673.535306508803,3215.9147883782016,3623.1129507760297
9,Jun,6,273.83249243640364,1201.478405147077,1127.6208598704386,3926.960162086093,550.8037303366781,45.8,26.62423129039371,29.785722436110756,450.28028615964683,631.4152711095924,853.6295548843447,1176.988449669941,1466.0710861797538,1810.876135890042,1972.0498734372995
10,Jul,7,223.48735880659515,588.65828681805,531.2649118961976,1866.862573677355,236.285807635223,40.1,7.811159730410736,11.429799619839557,327.04252864693524,370.2179178168747,448.95575729878885,542.6213783199806,688.6256223068444,847.2517665410168,981.0149686488658
11,Aug,8,174.4969748421323,384.8355311143457,370.4847564748623,898.723486443178,103.37120132114303,26.9,3.487825516143971,4.11915532297136,251.46620447531282,281.5335357979059,316.85853940249547,369.84772229968786,441.56035249986905,514.4573807901078,542.0165295189089
12,Sep,9,133.18102678305402,287.68374013763435,274.5743244130325,549.0199627413676,70.81122747791727,24.6,2.0958873440740433,2.6082777580945926,198.48872553522003,216.03332512926372,241.1091407844139,277.79269839486,327.38179476640494,374.33819090207766,409.48017154721987
