Exceedance,Flow
0.0,9911.75881916953
0.001,8828.775144412872
0.002,7887.651906369953
0.003,7005.564013959559
0.004,6481.964191366161
0.005,6171.937792156593
0.006,5968.328200031169
0.007,5828.4325854358995
0.008,5673.759846821429
0.009000000000000001,5581.2815719394575
0.01,5511.046404238208
0.011,5401.956588933216
0.012,5364.708851487977
0.013000000000000001,5310.427288301287
0.014,5242.746977646283
0.015,5164.029808218225
0.016,5112.322676330848
0.017,5006.737870177004
0.018000000000000002,4938.321314000288
0.019,4839.787711820271
0.02,4750.174626476508
0.021,4674.579847478524
0.022,4586.987092756395
0.023,4533.746256046626
0.024,4514.091684730104
0.025,4493.611674752996
0.026000000000000002,4460.626068260622
0.027,4412.160597704737
0.028,4386.421575623264
0.029,4339.711813558114
0.03,4298.981241819251
0.031,4244.976503176579
0.032,4189.7688870400125
0.033,4130.8866316433205
0.034,4080.6565421811342
0.035,4060.4502102802653
0.036000000000000004,4035.508685425676
0.037,3989.2404650785084
0.038,3960.9043582155864
0.039,3946.3601212851668
0.04,3921.854909665285
0.041,3888.545558628648
0.042,3855.250919554733
0.043000000000000003,3835.053780099579
0.044,3816.10238252615
0.045,3801.48145691918
0.046,3770.6843102542384
0.047,3732.10171625135
0.048,3695.976631364356
0.049,3668.90470181209
0.05,3625.152181216904
0.051000000000000004,3602.7094443816422
0.052000000000000005,3577.176033748166
0.053,3561.367610630083
0.054,3538.55296721585
0.055,3520.0587879446875
0.056,3503.5081689227036
0.057,3491.233751309881
0.058,3481.9182743570827
0.059000000000000004,3472.7953709950593
0.06,3456.9284003276725
0.061,3439.860001970729
0.062,3439.860001970729
0.063,3416.783752370609
0.064,3403.386823739769
0.065,3374.8153319929293
0.066,3353.0489640521246
0.067,3328.15913324022
0.068,3305.305418849375
0.069,3276.0038657300065
0.07,3260.285265518626
0.07100000000000001,3240.7201826343926
0.07200000000000001,3206.7302919382305
0.073,3201.643378342583
0.074,3168.557321006261
0.075,3154.6910522658873
0.076,3143.0678926119704
0.077,3120.016834322519
0.078,3112.7464236374376
0.079,3096.341962906806
0.08,3096.341962906806
0.081,3072.233167738533
0.082,3058.613578345922
0.083,3054.6884029483485
0.084,3030.021329710535
0.085,3016.788941929613
0.08600000000000001,3004.174159482488
0.08700000000000001,2991.5847756120647
0.088,2973.367833152517
0.089,2966.809248505735
0.09,2962.5146538760077
0.091,2942.021384710313
0.092,2930.0167875820343
0.093,2915.304711471581
0.094,2907.6970995065385
0.095,2890.626069287221
0.096,2867.6342842249555
0.097,2854.259154179006
0.098,2846.682733665667
0.099,2826.3279967195167
0.1,2823.262565052793
0.101,2792.327204093553
0.10200000000000001,2778.054010570671
0.10300000000000001,2761.3323502459257
0.10400000000000001,2754.8803080955213
0.105,2728.933759441919
0.106,2728.387700888496
0.107,2718.770132777331
0.108,2708.917197553432
0.109,2695.019613319881
0.11,2681.330099441998
0.111,2668.404751272138
0.112,2668.404751272138
0.113,2643.813771267089
0.114,2633.67812823026
0.115,2618.401572962103
0.116,2604.0689597313835
0.117,2589.88776206189
0.11800000000000001,2576.858282324291
0.11900000000000001,2568.149598912384
0.12,2555.5045668088
0.121,2527.506592967073
0.122,2527.506592967073
0.123,2507.1244214978365
0.124,2497.1685761110707
0.125,2497.1685761110707
0.126,2480.50757086062
0.127,2461.0072535944582
0.128,2446.374385496531
0.129,2433.6042401374248
0.13,2422.26842365556
0.131,2404.4412084516325
0.132,2395.241018682083
0.133,2395.241018682083
0.134,2384.2649809398017
0.135,2374.7118578025784
0.136,2371.9633603604066
0.137,2354.851882895949
0.138,2343.056387465125
0.139,2337.1221688298706
0.14,2330.187991459778
0.14100000000000001,2319.0870301659093
0.14200000000000002,2309.68672813025
0.14300000000000002,2308.8439702223986
0.14400000000000002,2291.8016286833026
0.145,2291.197221754396
0.146,2271.798441162019
0.147,2267.684350996866
0.148,2256.674509148625
0.149,2256.674509148625
0.15,2256.674509148625
0.151,2230.26510472893
0.152,2227.236225003177
0.153,2204.3680832610435
0.154,2204.3680832610435
0.155,2197.3208422669204
0.156,2191.093871216848
0.157,2191.093871216848
0.158,2172.3390135037203
0.159,2164.6340498221675
0.16,2157.6945434428562
0.161,2157.6945434428562
0.162,2137.575041724421
0.163,2126.307526641401
0.164,2121.3070178246107
0.165,2117.503506773101
0.166,2108.363203866167
0.167,2086.498720301452
0.168,2082.9836360751683
0.169,2081.223827595803
0.17,2064.1190841936946
0.171,2064.1190841936946
0.17200000000000001,2034.7077257482479
0.17300000000000001,2026.3939820934474
0.17400000000000002,2020.9501020854418
0.17500000000000002,2017.2075295087527
0.176,2009.8237501720587
0.177,1990.023438967336
0.178,1988.0092452031988
0.179,1974.975542872049
0.18,1957.8933538121905
0.181,1938.464022212164
0.182,1938.464022212164
0.183,1930.3091237235767
0.184,1927.1228751266244
0.185,1909.3775505322865
0.186,1899.6870003355984
0.187,1887.6952886028118
0.188,1887.6952886028118
0.189,1866.862573677355
0.19,1857.442022737765
0.191,1845.623507963117
0.192,1839.9627510625887
0.193,1826.2262866003814
0.194,1816.677541020037
0.195,1808.0862178950917
0.196,1799.4760435761646
0.197,1799.4760435761646
0.198,1772.5293609459068
0.199,1761.0920282151749
0.2,1760.4618760012156
0.201,1758.4882640326045
0.202,1741.3005955911703
0.203,1741.3005955911701
0.20400000000000001,1719.8365062951914
0.20500000000000002,1711.7471589522675
0.20600000000000002,1703.9411272214982
0.20700000000000002,1703.941127221498
0.20800000000000002,1677.6514960348613
0.209,1671.466120790939
0.21,1671.466120790939
0.211,1651.3180375333395
0.212,1651.3180375333395
0.213,1644.389392240973
0.214,1632.8860169406375
0.215,1622.683506470263
0.216,1617.226635298898
0.217,1606.4467549955857
0.218,1606.4467549955857
0.219,1587.0354045052177
0.22,1587.0354045052177
0.221,1564.9921861951746
0.222,1556.9454195955036
0.223,1551.8412834032456
0.224,1551.8412834032456
0.225,1545.5806953436352
0.226,1532.0583968097992
0.227,1521.6038551178688
0.228,1518.2596457347147
0.229,1507.8876349425022
0.23,1504.2894427482092
0.231,1493.4006552525198
0.232,1483.0973018225004
0.233,1476.4338351262504
0.234,1472.6261398712504
0.23500000000000001,1460.4375824065687
0.23600000000000002,1457.592574129153
0.23700000000000002,1446.9318932943756
0.23800000000000002,1446.9318932943756
0.23900000000000002,1437.5171091718146
0.24,1423.7416408698914
0.241,1423.7416408698914
0.242,1411.0754089491602
0.243,1406.8688241404702
0.244,1398.3880341757922
0.245,1385.988805400015
0.246,1385.988805400015
0.247,1374.6428693267596
0.248,1374.6428693267596
0.249,1374.6428693267594
0.25,1363.257641785467
0.251,1358.8507782941085
0.252,1354.1586140044187
0.253,1341.352880961784
0.254,1337.6191220725375
0.255,1323.3134130401538
0.256,1323.3134130401538
0.257,1318.5637727120036
0.258,1317.217635991936
0.259,1301.436281584403
0.26,1299.5823837473883
0.261,1281.5512367499111
0.262,1281.5512367499111
0.263,1257.3982847068514
0.264,1257.3982847068514
0.265,1243.6692682499104
0.266,1243.6692682499104
0.267,1225.8858899951856
0.268,1219.563747838273
0.269,1215.959177081249
0.27,1211.2818696066577
