WaterMonth,MonthName,Month,EWRProportion_max,EWRProportion_mean,EWRProportion_median,EWRProportion_min,EWRTotal_max,EWRTotal_mean,EWRTotal_median,EWRTotal_min,FlowCanal_max,FlowCanal_mean,FlowCanal_median,FlowCanal_min,HeadTurbine1_max,HeadTurbine1_mean,HeadTurbine1_median,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_mean,LevelTailwater_median,LevelTailwater_min,LevelHeadpond_max,LevelHeadpond_mean,LevelHeadpond_median,LevelHeadpond_min,Turbines_mean,Power_max,Power_mean,Power_median,Power_min,Energy_max,Energy_mean,Energy_median,Energy_min,Energy_P95,Energy_P90,Energy_P75,Energy_P25,Energy_P10,Energy_P5,Energy_stdev,Energy_coefvar
1,Oct,10,0.4663567752930725,0.32129657457980676,0.32467042414430697,0.22222947923967926,97.0,75.85674644467568,80.0,41.0,340.0948595110256,162.6951990160889,146.82851249859817,52.67032481012011,25.386960304321786,24.987862624113504,25.020402971658637,24.165796125908358,965.4244851658414,964.7148053311194,964.725074215312,964.4074174174258,990.0,990.0,990.0,990.0,1.0308706208810268,72.20129116669456,35.551383756495255,32.13251778461511,10.783923512898152,53717.76062802075,26450.22951483246,23906.59323175363,8023.239093596224,18895.55210925958,20912.53111977207,21716.545238028284,30281.857477478796,35160.9600760986,40464.665673649884,7459.418165091572,0.28201714321263505
2,Nov,11,0.3253461101276032,0.26667242070932595,0.26879817345583235,0.17649884574771013,92.0,71.8853046594982,75.0,40.0,433.82899671077723,203.9807408072779,189.50961605370944,113.74026067187589,25.346851326486828,24.78417086456223,24.81181885164704,23.60071319695501,965.8140285840509,964.8430507021703,964.8002875825345,964.4556997146514,990.0,990.0,990.0,990.0,1.1394265232974912,91.59352329368603,44.563877804262404,41.734504370792216,24.443276849091962,65947.33677145395,32085.992019068937,30048.843146970386,17599.15933134621,21581.363312831672,23703.594352845765,25729.837944477007,35808.15775544219,44322.336152409116,48892.45297737759,9325.491626689216,0.29064058923741576
3,Dec,12,0.23586202895627612,0.19560962158861445,0.1961444857339464,0.12902512099140157,103.0,81.32258064516127,85.0,47.0,700.0604363370671,350.9515948083705,318.6043404574345,182.54565916889592,24.989276227690716,24.06350207782377,24.255822862776245,22.100263972630927,967.0211954206751,965.4294635413785,965.2832821471997,964.6489906084203,990.0,990.0,990.0,990.0,1.7950052029136314,139.19722913504697,74.45922768603893,68.326988430427,40.38229176416626,103562.73847647491,55397.66539841294,50835.2793922377,30044.42507253969,38901.114833560496,40580.78756880277,45483.169784677346,64270.38954452561,72065.30618187571,87906.2765761828,14768.52486082354,0.26659110550255494
4,Jan,1,0.18282059957380895,0.14730040615876325,0.15093823422615593,0.08073666525746788,124.0,97.90322580645166,101.0,60.0,1077.3433515673896,588.3622727712403,519.5813035849072,269.85881963713473,24.487025451717113,22.607172830116408,23.09100650829818,18.15094731207867,970.0725349469648,966.5987340749846,966.2321902166171,964.9954912320444,990.0,990.0,990.0,990.0,2.605619146722163,174.67651101615894,116.5269254294338,107.62223293647234,59.133329406995315,129959.32419602225,86696.03251949878,80070.94130473543,43995.19707880451,58890.01872071035,64737.63430000152,72291.95107971394,100983.08462308673,119503.56854809067,123701.49805338948,20455.212254474645,0.23594173412576946
5,Feb,2,0.15773044526740138,0.10889183927310687,0.11622996255519824,0.020433783397467403,168.0,117.35518300757457,116.0,71.0,1100.0,838.3219514529875,844.9008642147923,78.57142857142857,24.03013052191406,20.153915336899438,21.095476322016168,7.245642968916136,981.344035200488,968.6122453995497,967.7394482363898,965.4884405536783,990.5265801625183,990.0057574993957,990.0,990.0,3.4059139784946244,185.29434536024254,147.5828693378892,149.86076963167784,7.400166718802753,128483.69964560443,100048.38959901666,101202.51376543858,4972.91203503545,73215.84795999121,81299.22548607478,90727.907528684,113078.59376211144,121150.5635225673,123172.55685111955,18662.905838380953,0.18653879300986154
6,Mar,3,0.14878829233351748,0.08193982634858374,0.08035104529792507,0.03551829460437067,278.0,169.27471383975018,161.32258064516128,87.0,1100.0,955.453144156451,1085.9235577765185,0.0,23.212637556038523,16.489561584122825,16.121576030565116,7.42938060296018,981.0009556950522,971.8250677657443,971.9449035386541,966.0903387650142,990.3672382911273,990.0124623115448,990.0,990.0,3.6028442594519596,186.96576942707063,140.61336955198132,150.54395321733566,0.0,139102.53245374048,104616.34694667415,112004.70119369775,0.0,20050.327213526976,78385.74076754844,95755.85591126133,122230.29431414261,131714.30932396295,134732.40345840392,30710.308215228873,0.29355171645290545
7,Apr,4,0.13488087205906504,0.07280895852613499,0.07070243818658103,0.04298809979356488,313.0,199.65591397849462,191.0,102.0,1100.0,1037.509277503452,1100.0,0.0,22.377978457458713,15.041178350720202,14.573659361196032,7.82796322552932,980.4951745681606,973.1043286394329,973.4894386456891,966.8348637523261,990.2600397868046,990.0064818566448,990.0,990.0,3.8050179211469537,192.0486839956758,136.9894298474158,138.95016070859035,0.0,138275.0524768866,98632.3894901394,100044.11571018507,0.0,58607.459907906414,73218.22541291403,87273.47239477647,114982.54939476681,130638.52521554712,134907.83545721692,26547.673910368616,0.2691577690411999
8,May,5,0.18975375803758857,0.11698456098003383,0.11632283032047386,0.05936315450461225,304.0,238.55497745404094,253.0,125.0,1100.0,1050.7841941264962,1100.0,560.948733011472,22.78070196466935,16.75471925805858,16.333366404526515,10.521202121341899,977.5746956150565,971.4445573645838,971.7303426665459,966.5146178975339,990.0327997295133,990.0005408581318,990.0,990.0,3.8890045091918135,188.22841285354926,153.99336655450767,157.0940767823993,59.54175920147019,140041.9391630406,114571.0647165537,116877.99312610508,44299.06884589383,88481.68896954281,93379.52978929145,106016.36524789897,126568.2211679147,132189.5683623999,135020.22469892012,16388.456581346643,0.14304184587872448
9,Jun,6,0.30423254213369866,0.1734875133524646,0.17173144141178592,0.09648504884438097,260.0,186.15770609318997,185.0,98.0,1100.0,849.0739676575251,916.5893054190286,228.63950860669672,24.560926522085698,20.284680338263726,20.15709093727695,14.938758405051646,973.1243396018333,968.413525101496,968.4730095210732,964.9898023729163,990.0,990.0,990.0,990.0,3.3978494623655915,177.11096097632793,148.9143532608212,161.54365486359464,50.06312237135267,127519.8919029561,107218.33434779131,116311.43150178816,36045.44810737391,53849.445445373494,75186.77147173801,98660.70465044012,122833.15575172214,124868.90023450104,125705.57469397518,22522.209377990785,0.2100593104247822
10,Jul,7,0.36635949238051213,0.2899464864485069,0.28621869068977074,0.17756686956027892,224.0,162.29830038154702,163.0,89.0,972.1171964730544,424.65601659994076,380.29998096473884,154.87695190397,24.96919541493669,23.315092770184464,23.57236935659935,19.55304520220437,968.9621061779128,966.0844250886852,965.8915652786588,964.7499802186011,990.0,990.0,990.0,990.0,2.067984738120014,169.21284441967953,86.32054175609467,79.36406943432304,33.82443423781184,125894.35624824156,64222.483066534434,59046.86765913633,25165.37907293201,39085.88196253396,43994.44645878928,51163.06751903397,74184.65974837335,91192.20241894112,105067.92323477438,20751.891194528336,0.323125021077578
