WaterYear,WaterWeek,StartDate,Flow,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelHeadpond,LevelTailwater,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy
1924,1,1924-10-01,111,22,3,3,2,50,80,0.72,0,31,8,1,1,0,19,30,4,4,2,69,38,0,0,0,0,990.0,964.5,0.06,0.0,989.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1924,2,1924-10-08,111,18,3,2,1,32,57,0.52,40,13,3,0,0,0,8,21,3,2,1,41,68,70,0,0,0,990.0,964.5,0.07,0.0,989.9,25.4,0.0,0.0,0.0,0.84,0.0,0.0,0.0,14.1,0.0,0.0,0.0,8.1,1357
1924,3,1924-10-15,112,15,3,2,1,20,41,0.36,71,0,0,0,0,0,0,15,3,2,1,20,91,71,0,0,0,990.0,964.5,0.07,0.0,989.9,25.4,0.0,0.0,0.0,0.84,0.0,0.0,0.0,14.5,0.0,0.0,0.0,14.5,2437
1924,4,1924-10-22,125,15,3,2,1,20,41,0.33,84,0,0,0,0,0,0,15,3,2,1,20,104,84,0,0,0,990.0,964.5,0.08,0.0,989.9,25.4,0.0,0.0,0.0,0.87,0.0,0.0,0.0,17.6,0.0,0.0,0.0,17.6,2956
1924,5,1924-10-29,129,15,2,2,1,19,40,0.31,89,0,0,0,0,0,0,15,2,2,1,19,108,89,0,0,0,990.0,964.5,0.08,0.0,989.9,25.4,0.0,0.0,0.0,0.87,0.0,0.0,0.0,18.6,0.0,0.0,0.0,18.6,3124
1924,6,1924-11-05,140,15,2,2,2,19,40,0.29,100,0,0,0,0,0,0,15,2,2,2,19,119,100,0,0,0,990.0,964.5,0.08,0.0,989.9,25.3,0.0,0.0,0.0,0.88,0.0,0.0,0.0,21.2,0.0,0.0,0.0,21.2,3554
1924,7,1924-11-12,144,15,2,2,2,19,40,0.28,104,0,0,0,0,0,0,15,2,2,2,19,123,104,0,0,0,990.0,964.5,0.08,0.0,989.9,25.3,0.0,0.0,0.0,0.89,0.0,0.0,0.0,22.2,0.0,0.0,0.0,22.2,3724
1924,8,1924-11-19,165,15,2,2,2,19,40,0.24,125,0,0,0,0,0,0,15,2,2,2,19,144,125,0,0,0,990.0,964.5,0.09,0.0,989.9,25.3,0.0,0.0,0.0,0.91,0.0,0.0,0.0,27.4,0.0,0.0,0.0,27.4,4599
1924,9,1924-11-26,189,15,2,2,2,20,42,0.22,147,0,0,0,0,0,0,15,2,2,2,20,166,147,0,0,0,990.0,964.4,0.1,0.0,989.9,25.3,0.0,0.0,0.0,0.91,0.0,0.0,0.0,32.5,0.0,0.0,0.0,32.5,5454
1924,10,1924-12-03,230,16,3,2,2,24,47,0.21,183,0,0,0,0,0,0,16,3,2,2,24,204,183,0,0,0,990.0,964.7,0.11,0.01,989.9,24.9,0.0,0.0,0.0,0.93,0.0,0.0,0.0,40.6,0.0,0.0,0.0,40.6,6815
