WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1924,3452.248381930785,111.40747964374857,0.8706776269437217,0.05300893207969328,19.905610297824868,18.063098006885255,47.639399178298255,970,970,178.9440244518837,0.0,818900.4952618445,0.5193432872030977,0.40821917808219177,0.03561643835616438,0.1095890410958904,0.4191780821917808,0.0273972602739726,10,0.6000000000000001
1925,4501.386000873192,158.54189668353825,0.4840497151914727,0.040654145182061965,19.83292841644823,18.063098006885255,47.657256607773895,970,970,179.33053284441502,17.71077294503955,783816.6136685959,0.4970932354569989,0.3178082191780822,0.07671232876712329,0.18904109589041096,0.41643835616438357,0.0,0,0.7000000000000001
1926,3313.0406406455268,192.89523707448373,0.4979576697792255,0.06549874376358958,19.844191344082038,18.063098006885255,47.639399178298255,970,970,179.0340617313721,16.083329651470226,838962.4869230931,0.532066518850262,0.38082191780821917,0.057534246575342465,0.1780821917808219,0.3835616438356164,0.0,0,0.5
1927,2261.108087620956,179.82651022652541,0.4727069563001049,0.06545463297852312,19.82964301220649,18.063098006885255,47.238768086155126,970,970,179.14123536321338,17.755143393545914,780723.6707923451,0.4951317039525273,0.3041095890410959,0.10684931506849316,0.1780821917808219,0.4136986301369863,0.0,0,0.75
1928,1589.152359062425,195.20770377157245,0.4987972279534628,0.09313141006021457,19.81784391008364,18.063098006885255,47.657256607773895,970,970,180.73696226308337,18.56612506349732,648992.4170753432,0.41158829088999443,0.1726027397260274,0.14794520547945206,0.20821917808219179,0.4712328767123288,0.0,0,0.9500000000000001
1929,2187.823512835168,188.71982882241662,0.4559546776568619,0.08775844983546686,19.811630089938728,18.063098006885255,47.657256607773895,970,970,180.83472409895543,19.634111101086763,779221.6589551098,0.4941791342942096,0.2465753424657534,0.1643835616438356,0.26575342465753427,0.3232876712328767,0.0,0,0.75
1930,3355.9174512398436,201.17011281861926,0.565005067010826,0.05396537680135125,19.82494737492945,18.063098006885255,47.1188534367301,970,970,180.35647915046118,17.974200127884306,778902.3249057038,0.4939766139686097,0.27945205479452057,0.11232876712328767,0.2356164383561644,0.3726027397260274,0.0,0,0.75
1931,3803.114617748527,236.19433422910615,0.4789471017177073,0.06284322825418548,19.756363494004194,18.063098006885255,47.912677116494855,970,970,180.73696226308337,23.724735688242212,879052.182139082,0.5574912367700926,0.3643835616438356,0.09863013698630137,0.17534246575342466,0.3643835616438356,0.0,0,0.4
1932,1617.3520421001313,188.71982882241662,0.4969066185702751,0.08916916985335042,19.843474778151514,18.063098006885255,47.58488839819744,970,970,180.6067790876991,16.150508208789134,668878.6923193504,0.42420008391638153,0.20821917808219179,0.14794520547945206,0.1780821917808219,0.4657534246575342,0.0,0,0.9500000000000001
1933,5588.707650475971,158.54189668353825,0.5065026412286242,0.04276480627496148,19.83292841644823,18.063098006885255,47.639399178298255,970,970,179.30424592539347,17.71077294503955,818412.5757365506,0.51903385067006,0.32602739726027397,0.12054794520547946,0.1589041095890411,0.39452054794520547,0.0,0,0.6000000000000001
