WaterMonth,MonthName,Month,EWRProportion_max,EWRProportion_mean,EWRProportion_median,EWRProportion_min,EWRTotal_max,EWRTotal_mean,EWRTotal_median,EWRTotal_min,FlowCanal_max,FlowCanal_mean,FlowCanal_median,FlowCanal_min,HeadTurbine1_max,HeadTurbine1_mean,HeadTurbine1_median,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_mean,LevelTailwater_median,LevelTailwater_min,LevelHeadpond_max,LevelHeadpond_mean,LevelHeadpond_median,LevelHeadpond_min,Turbines_mean,Power_max,Power_mean,Power_median,Power_min,Energy_max,Energy_mean,Energy_median,Energy_min,Energy_P95,Energy_P90,Energy_P75,Energy_P25,Energy_P10,Energy_P5,Energy_stdev,Energy_coefvar
1,Oct,10,0.5785530571318874,0.39693295546547513,0.4006549758414756,0.27492306710063413,120.0,93.62330905306973,97.0,52.0,317.0948595110256,144.9876027621867,131.82851249859814,45.218711906894306,25.398456988984048,25.028891551189087,25.056175611460908,24.197511682237714,965.4244851658414,964.7148053311194,964.725074215312,964.4074174174258,990.0,990.0,990.0,990.0,1.0332986472424557,67.57378187134697,31.706948780515646,28.87014778099118,9.122065815601037,50274.89371228218,23589.969892703626,21479.389949057422,6786.8169668071705,16778.166939737977,18429.204758101125,19512.24878834178,26903.662782415442,31721.468042978668,36707.74819978767,7000.155633823828,0.296742881218724
2,Nov,11,0.4034291765582278,0.33151802389369356,0.33420208450834654,0.21870509146998868,114.0,89.3584229390681,93.0,50.0,411.82899671077723,186.50762252770804,170.50961605370944,103.74026067187589,25.363512507875203,24.829640974650673,24.862456987326564,23.66399321087075,965.8140285840509,964.8430507021703,964.8002875825345,964.4556997146514,990.0,990.0,990.0,990.0,1.1473118279569894,87.24375996574744,40.84813459198208,37.613696921459784,22.340633664430033,62815.507175338185,29410.656906227086,27081.861783451033,16085.25623838962,19783.764853200224,21684.325711209945,23359.72413686784,32631.338243182814,40937.019369196285,45671.28871274235,8922.726038634628,0.30338411233328927
3,Dec,12,0.28858412954650264,0.24170003571209245,0.2427565392278558,0.1578365557758893,126.0,100.28962885882761,104.0,59.0,677.0604363370671,331.96746650338616,298.63659852195065,170.54565916889592,25.02078102296153,24.116215652536965,24.29985251286097,22.161859243087655,967.0211954206751,965.4294635413785,965.2832821471997,964.6489906084203,990.0,990.0,990.0,990.0,1.8484217828650709,135.08285257221485,70.64241003632863,64.59715972436544,37.93053856901798,100501.64231372789,52557.953067028495,48060.28683492787,28220.320695349383,36821.707197846255,38443.76037620217,43022.39821633658,61004.3957127244,68838.19767749483,85062.77086429839,14493.771009752085,0.2757674179446793
4,Jan,1,0.22243172948146747,0.1773466361199494,0.18130817924515244,0.09766532087596923,150.0,117.76344086021503,120.0,73.0,989.7507890885613,563.6460203720658,500.5813035849072,256.8588196371347,24.62169484098465,22.689351240597823,23.146682557431387,18.447605697767866,970.0725349469648,966.5987340749846,966.2321902166171,964.9954912320444,990.0,990.0,990.0,990.0,2.7284079084287187,165.20242300948323,112.42300865827715,104.09254317270292,55.9284295126979,122910.60271905556,83642.71844175817,77444.85212049099,41610.75155744725,56970.75304758832,62601.689178877765,69941.8948524351,98469.38164944424,114188.38376578205,119434.14981499936,19410.849457207274,0.23206861061938552
5,Feb,2,0.18883222320745235,0.12946557688045351,0.1393399996276731,0.023961043626792116,197.0,138.95974363048887,137.0,85.0,990.0,791.8093088380505,816.5750230797838,106.07142857142857,24.051453285735562,20.31708017396008,21.220725615348837,7.662761060123733,981.344035200488,968.6122453995497,967.7394482363898,965.4884405536783,990.5265801625183,990.0057574993957,990.0,990.0,3.5032840722495893,177.08734615807802,141.53278814007902,145.09408662239463,9.871098522439182,119820.35228482589,95946.24378022978,98325.3497682318,6633.378207079129,69415.24162326343,79689.70405340068,85713.23332303742,108147.74222088107,113389.93494268929,116136.93625291472,17164.589820217217,0.17889798645514116
6,Mar,3,0.18299249746765944,0.09546158186643602,0.09152482950340032,0.04024554964164302,315.0,194.51092611862646,185.4516129032258,107.0,990.0,892.7626087292275,988.5144127967673,0.0,23.308631137941667,16.804706186597674,16.53534342556841,7.8464986941677735,981.0009556950522,971.8250677657443,971.9449035386541,966.0903387650142,990.3672382911273,990.0124623115448,990.0,990.0,3.715227193895248,175.62505166221587,133.82360412317811,142.59778996180322,0.0,130665.03843668863,99564.76146764451,106092.75573158165,0.0,34948.762921025074,75176.79272008727,90556.06085776993,116419.56042056432,123992.70135840973,127808.63475147514,27201.966992413778,0.2732087798076389
7,Apr,4,0.1652951863468935,0.08510947063790494,0.08204159868474176,0.04999255055865053,364.0,231.26523297491036,217.0,125.0,990.0,950.3836480624734,990.0,99.0,22.41043546305785,15.421939356866096,14.990777452403627,8.245081316736917,980.4951745681606,973.1043286394329,973.4894386456891,966.8348637523261,990.2600397868046,990.0064818566448,990.0,990.0,3.868458781362007,177.83926790003025,128.79386262859188,129.3562501011628,7.982912824397078,128044.27288802172,92731.58109258614,93136.50007283723,5747.6972335658975,63631.78882827689,69044.95575865674,81710.96074932016,106609.22512608019,122562.09732793945,126073.96709679463,22880.24444860602,0.24673627020078154
8,May,5,0.22315041945220424,0.1308009424199837,0.12830223424100137,0.0663930017485795,340.0,265.2712452306625,276.0,147.0,990.0,958.883992768181,990.0,538.948733011472,22.830713837939577,17.11237404058984,16.749873431547037,10.938320212549497,977.5746956150564,971.4445573645838,971.7303426665459,966.5146178975339,990.0327997295133,990.0005408581318,990.0,990.0,3.9268123482483523,175.0279208435784,143.92662468094983,145.55584828510342,87.33684488222941,130220.77310762234,107081.40876262657,108293.55112411696,64978.61259237869,84005.76470946347,88688.17607798279,98592.01947961796,118253.64553350245,123536.30038579655,126121.35499792178,13722.234170306892,0.128147680618638
9,Jun,6,0.3694252297337769,0.20003973185351145,0.19528752408331407,0.10873122812078319,293.0,212.9426523297491,210.0,119.0,990.0,790.459716725949,853.5319422382308,207.63950860669672,24.62989317734081,20.476083876931526,20.35652497469499,15.355876496259242,973.1243396018333,968.413525101496,968.4730095210732,964.9898023729163,990.0,990.0,990.0,990.0,3.462365591397851,164.2188824053133,140.67399961022656,152.1753643809653,45.51926995774332,118237.59533182562,101285.27971936317,109566.262354295,32773.874369575184,50790.15972090626,72112.941494213,95370.95928191005,115041.06502779966,116874.22265719678,117653.31349884682,20883.93653394265,0.20618925664032275
10,Jul,7,0.4445710694055651,0.3359397876117023,0.33683061751987686,0.20293356521174738,256.0,187.10579257717657,186.0,108.0,903.4329050583007,398.7702358633713,357.2999809647387,135.87695190397005,25.010640019717496,23.380981805471126,23.633573128055357,19.76378944899067,968.9621061779128,966.0844250886852,965.8915652786588,964.7499802186011,990.0,990.0,990.0,990.0,2.12799167533819,159.55900611735305,81.33374309841257,74.78537371357952,29.685536228062574,118711.90055131071,60512.30486521896,55640.31804290317,22086.03895367855,35947.710521738736,40911.96405619794,47638.871623734725,70190.57817357201,87291.47986661135,100465.92062741997,20229.24019185724,0.33429961454805746
