WaterYear,WaterWeek,StartDate,Flow,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelHeadpond,LevelTailwater,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy
1924,1,1924-10-01,111,37,5,3,2,50,97,0.87,14,0,0,0,0,0,0,37,5,3,2,50,59,0,0,0,0,990.0,964.5,0.06,0.0,989.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1924,2,1924-10-08,111,29,4,2,2,32,71,0.64,39,0,0,0,0,0,0,29,4,2,2,32,76,59,0,0,0,990.0,964.5,0.07,0.0,989.9,25.4,0.0,0.0,0.0,0.81,0.0,0.0,0.0,11.5,0.0,0.0,0.0,6.5,1100
1924,3,1924-10-15,112,24,4,2,2,20,52,0.46,60,0,0,0,0,0,0,24,4,2,2,20,90,60,0,0,0,990.0,964.5,0.07,0.0,989.9,25.4,0.0,0.0,0.0,0.82,0.0,0.0,0.0,11.8,0.0,0.0,0.0,11.8,1990
1924,4,1924-10-22,125,24,4,2,2,20,52,0.42,73,0,0,0,0,0,0,24,4,2,2,20,103,73,0,0,0,990.0,964.5,0.08,0.0,989.9,25.4,0.0,0.0,0.0,0.86,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,2528
1924,5,1924-10-29,129,23,4,2,2,19,50,0.39,78,0,0,0,0,0,0,23,4,2,2,19,107,78,0,0,0,990.0,964.5,0.08,0.0,989.9,25.4,0.0,0.0,0.0,0.87,0.0,0.0,0.0,16.2,0.0,0.0,0.0,16.2,2727
1924,6,1924-11-05,140,23,4,2,2,19,50,0.36,90,0,0,0,0,0,0,23,4,2,2,19,119,90,0,0,0,990.0,964.5,0.08,0.0,989.9,25.4,0.0,0.0,0.0,0.88,0.0,0.0,0.0,19.1,0.0,0.0,0.0,19.1,3203
1924,7,1924-11-12,144,23,4,2,2,19,50,0.35,94,0,0,0,0,0,0,23,4,2,2,19,123,94,0,0,0,990.0,964.5,0.08,0.0,989.9,25.4,0.0,0.0,0.0,0.88,0.0,0.0,0.0,19.9,0.0,0.0,0.0,19.9,3343
1924,8,1924-11-19,163,23,4,2,2,19,50,0.31,113,0,0,0,0,0,0,23,4,2,2,19,142,113,0,0,0,990.0,964.5,0.09,0.0,989.9,25.3,0.0,0.0,0.0,0.9,0.0,0.0,0.0,24.6,0.0,0.0,0.0,24.6,4129
1924,9,1924-11-26,188,23,4,2,2,20,52,0.28,136,0,0,0,0,0,0,23,4,2,2,20,166,136,0,0,0,990.0,964.4,0.1,0.0,989.9,25.3,0.0,0.0,0.0,0.91,0.0,0.0,0.0,30.1,0.0,0.0,0.0,30.1,5054
1924,10,1924-12-03,230,26,4,3,2,24,59,0.26,171,0,0,0,0,0,0,26,4,3,2,24,204,171,0,0,0,990.0,964.7,0.11,0.01,989.9,25.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,37.9,0.0,0.0,0.0,37.9,6368
1924,11,1924-12-10,265,26,4,3,2,24,59,0.22,206,0,0,0,0,0,0,26,4,3,2,24,239,206,0,0,0,990.0,964.8,0.12,0.01,989.9,24.8,0.0,0.0,0.0,0.94,0.0,0.0,0.0,45.8,0.0,0.0,0.0,45.8,7687
1924,12,1924-12-17,279,26,4,3,2,24,59,0.21,220,0,0,0,0,0,0,26,4,3,2,24,253,220,0,0,0,990.0,964.8,0.13,0.01,989.9,24.7,0.0,0.0,0.0,0.94,0.0,0.0,0.0,48.7,0.0,0.0,0.0,48.7,8189
1924,13,1924-12-24,325,26,4,3,2,24,59,0.18,266,0,0,0,0,0,0,26,4,3,2,24,299,183,144,0,0,990.0,965.0,0.14,0.02,989.8,24.6,24.6,0.0,0.0,0.93,0.92,0.0,0.0,40.2,31.2,0.0,0.0,58.0,9736
1924,14,1924-12-31,501,28,4,3,2,31,71,0.14,430,0,0,0,0,0,0,28,4,3,2,31,467,215,215,0,0,990.0,965.7,0.2,0.06,989.7,23.7,23.7,0.0,0.0,0.94,0.94,0.0,0.0,45.6,45.6,0.0,0.0,91.2,15328
1924,15,1925-01-07,540,34,5,4,2,47,93,0.17,447,0,0,0,0,0,0,34,5,4,2,47,491,223,223,0,0,990.0,965.9,0.21,0.06,989.7,23.5,23.5,0.0,0.0,0.94,0.94,0.0,0.0,47.2,47.2,0.0,0.0,94.5,15874
1924,16,1925-01-14,604,41,6,4,3,66,120,0.2,484,0,0,0,0,0,0,41,6,4,3,66,535,242,242,0,0,990.0,966.2,0.23,0.07,989.7,23.1,23.1,0.0,0.0,0.94,0.94,0.0,0.0,50.8,50.8,0.0,0.0,101.7,17078
1924,17,1925-01-21,837,41,6,4,3,66,120,0.15,717,0,0,0,0,0,0,41,6,4,3,66,768,218,218,213,230,990.0,967.1,0.39,0.18,989.4,21.9,21.9,21.8,20.8,0.94,0.94,0.94,0.94,42.8,42.8,41.3,43.1,139.5,23441
1924,18,1925-01-28,1133,44,6,5,3,77,138,0.12,992,3,0,0,0,0,1,45,7,5,3,79,1050,248,248,248,248,990.0,968.3,0.63,0.35,989.0,20.3,20.3,20.3,20.3,0.94,0.94,0.94,0.94,45.3,45.3,45.3,45.3,181.0,30412
1924,19,1925-02-04,1147,49,8,7,5,93,162,0.14,985,0,0,0,0,0,0,49,8,7,5,93,1049,246,246,246,246,990.0,968.4,0.62,0.34,989.0,20.2,20.2,20.2,20.2,0.94,0.94,0.94,0.94,45.0,45.0,45.0,45.0,180.1,30249
1924,20,1925-02-11,1148,49,8,7,5,93,162,0.14,986,0,0,0,0,0,0,49,8,7,5,93,1050,246,246,246,246,990.0,968.4,0.62,0.34,989.0,20.2,20.2,20.2,20.2,0.94,0.94,0.94,0.94,45.0,45.0,45.0,45.0,180.2,30266
1924,21,1925-02-18,1184,49,8,7,5,93,162,0.14,1019,2,0,0,0,0,1,49,8,7,5,94,1084,254,254,254,254,990.0,968.5,0.67,0.38,988.9,20.0,20.0,20.0,20.0,0.93,0.93,0.93,0.93,45.7,45.7,45.7,45.7,182.8,30718
1924,22,1925-02-25,1399,49,8,7,6,99,171,0.12,1045,183,47,8,8,6,112,96,17,16,13,211,1174,261,261,261,261,990.0,969.3,0.8,0.41,988.8,19.0,19.0,19.0,19.0,0.93,0.93,0.93,0.93,44.5,44.5,44.5,44.5,178.1,29924
1924,23,1925-03-04,1388,49,9,9,9,107,183,0.13,1045,160,42,7,7,7,94,91,16,16,16,201,1170,261,261,261,261,990.0,969.2,0.8,0.41,988.8,19.1,19.1,19.1,19.1,0.93,0.93,0.93,0.93,44.6,44.6,44.6,44.6,178.5,29992
1924,24,1925-03-11,1463,49,9,9,9,107,183,0.13,1045,235,51,9,11,11,152,100,18,20,20,259,1183,261,261,261,261,990.0,969.5,0.82,0.41,988.8,18.8,18.8,18.8,18.8,0.93,0.93,0.93,0.93,44.0,44.0,44.0,44.0,176.0,29566
