WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1924,3452.248381930785,111.40747964374857,0.8706776269437217,0.05300893207969328,25.4076721433662,14.688384952816774,59.32669979726961,974.5709053594342,964.3985022799416,59.32669979726961,0.0,345600.6282771412,0.21917848064252993,0,0,0,0.9726027397260274,0.0273972602739726,10,1.0
1925,4501.386000873192,158.54189668353825,0.4840497151914727,0.040654145182061965,25.354758160883538,12.751770559958985,60.4717223942609,976.5075197522921,964.3985022799416,60.4717223942609,22.64175796103717,376327.403026168,0.23866527335500254,0,0,0,1.0,0.0,0,0.8500000000000001
1926,3313.0406406455268,192.89523707448373,0.4979576697792255,0.06549874376358958,25.437889857510857,14.973230641626587,59.3599023655685,974.2860596706244,964.3985022799416,59.3599023655685,20.61520572867761,378811.0907351007,0.2402404177670603,0,0,0,1.0,0.0,0,0.75
1927,2261.108087620956,179.82651022652541,0.4727069563001049,0.06545463297852312,25.390318865074,17.417865806365587,59.81162899156704,971.8414245058854,964.3985022799416,59.81162899156704,22.732947951207837,389065.86907191627,0.24674395552506106,0,0,0,1.0027397260273974,0.0,0,0.55
1928,1589.152359062425,195.20770377157245,0.4987972279534628,0.09313141006021457,25.387451061640267,19.355542834161113,60.4717223942609,969.9037474780896,964.407469860292,60.4717223942609,23.51834528436699,406946.2816125081,0.2580836387699823,0,0,0,1.0,0.0,0,0.25
1929,2187.823512835168,188.71982882241662,0.4559546776568619,0.08775844983546686,25.390318865074,17.611872451064144,60.4717223942609,971.6474178611867,964.3985022799416,60.4717223942609,25.162193190245805,415539.47539070016,0.2635334065136353,0,0,0,1.0,0.0,0,0.2
1930,3355.9174512398436,201.17011281861926,0.565005067010826,0.05396537680135125,25.118612020619683,14.884688722027548,59.34368754899339,974.3746015902234,964.7062133951467,59.34368754899339,22.77367757173707,397098.764922651,0.25183838465414193,0,0,0,1.0,0.0,0,0.4
1931,3803.114617748527,236.19433422910615,0.4789471017177073,0.06284322825418548,25.02324350656683,14.002065675382216,60.50019700997456,975.2572246368687,964.7331199874376,60.50019700997456,30.003047354340943,403784.53234415536,0.2560784705378966,0,0,0,1.0027397260273974,0.0,0,0.30000000000000004
1932,1617.3520421001313,188.71982882241662,0.4969066185702751,0.08916916985335042,25.43600491785945,19.266155068480955,60.08103044172197,969.99313524377,964.407469860292,60.08103044172197,20.702241458083886,391930.56430013705,0.24856073332073633,0,0,0,1.0,0.0,0,0.5
1933,5588.707650475971,158.54189668353825,0.5065026412286242,0.04276480627496148,25.378084489831753,11.098773000350503,59.3599023655685,978.2149183648377,964.3985022799416,59.3599023655685,22.64175796103717,375843.35854098736,0.2383582943562832,0,0,0,1.0,0.0,0,0.8500000000000001
