ExceedanceRnd,Flow,Exceedance,Volume,Flow_difference,Flow_difference_pct,EWRRefExceedance,EWRBandNo,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowAvailableForGeneration,FlowCanal,LowFlowShutoff,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,LowHeadShutoff,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy,PerfMwPerCumec,PotentialPower1u,PotentialPower2u,PotentialPower3u,PotentialPower4u
0.0,8865.17595296699,0.001411764705882354,0.7659512023363481,137.61586691882897,0.015867057553086324,0.02632352941176471,1.1029411764705883,65.73529411764706,12.338235294117647,14.691176470588236,16.926470588235293,166.94117647058823,276.63235294117646,0.031598823084482516,8588.543600025814,0.0,,0.0,275.0,275.0,275.0,275.0,8588.543600025814,1134.264705882353,5.661764705882353,10.308823529411764,63.0735294117647,7375.234776496402,1200.0,18.0,25.0,80.0,7542.175952966991,1243.0,982.2781043930678,990.5276422287125,0.9219672131147546,0.4800000000000003,989.1256750155968,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,6.3126358425300335,6.3126358425300335,6.3126358425300335,6.3126358425300335,1.0,1.0999999999999999,1.0999999999999999,1.0999999999999999,1.0999999999999999,0.0,0.0,0.0,0.0,0.9799999999999988,0.9799999999999988,0.9799999999999988,0.9799999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,6478.790089096893,0.00498850574712644,0.5597674636979715,115.26993417670178,0.017455567404730345,0.041149425287356316,1.0919540229885059,72.4367816091954,13.850574712643677,17.701149425287355,22.597701149425287,197.93103448275863,324.51724137931035,0.05047629745767409,6154.272847717582,0.0,,0.0,275.0,275.0,275.0,275.0,6154.272847717582,1127.5632183908046,4.149425287356322,7.298850574712643,57.40229885057471,4957.859054614132,1200.0,18.0,25.0,80.0,5155.790089096891,1243.0,980.1120755707815,990.1282092954167,0.9219672131147546,0.47999999999999987,988.7262420823027,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,8.079231731521048,8.079231731521048,8.079231731521048,8.079231731521048,1.0,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.0,0.0,0.0,0.0,0.9799999999999984,0.9799999999999984,0.9799999999999984,0.9799999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.384894053131591,0.0,0.0,0.0
0.01,5544.712707091359,0.0100473372781065,0.47906317789269287,68.65904658876866,0.01234894334748245,0.07704142011834317,1.2899408284023668,72.68047337278107,13.65680473372781,17.674556213017752,23.076923076923077,194.07692307692307,321.1656804733728,0.05797319013991896,5223.5470266179855,0.0,,0.0,275.0,275.0,275.0,275.0,5223.5470266179855,1127.319526627219,4.34319526627219,7.325443786982248,56.92307692307692,4027.635784014434,1200.0,18.0,25.0,80.0,4221.7127070913575,1243.0,978.8488575689211,990.050823956075,0.9219672131147545,0.47999999999999976,988.6488567429609,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,9.265064394040095,9.265064394040095,9.265064394040095,9.265064394040095,1.0,1.0999999999999968,1.0999999999999968,1.0999999999999968,1.0999999999999968,0.0,0.0,0.0,0.0,0.9799999999999986,0.9799999999999986,0.9799999999999986,0.9799999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.912192114682053,41.77019669752259,31.94581876045409,0.0
0.015,5190.96401241678,0.01495348837209299,0.4484992906728097,88.79828347698557,0.01717810158646469,0.10534883720930223,1.4011627906976745,71.54069767441861,12.94186046511628,16.6453488372093,21.261627906976745,183.5581395348837,305.94767441860466,0.05895493766983628,4885.016337998177,127.90697674418605,,0.46511627906976744,275.0,275.0,275.0,275.0,4757.109361253992,1000.5523255813954,5.058139534883721,8.354651162790697,58.73837209302326,3684.405872881899,1072.093023255814,18.0,25.0,80.0,3867.9640124167827,1243.0,978.3040845791224,990.0220617109582,0.9219672131147546,0.47999999999999987,988.6200944978436,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,9.781075138721029,9.781075138721029,9.781075138721029,9.781075138721029,1.0,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.09485824622835985,0.09485824622835985,0.09485824622835985,0.09485824622835985,0.9799999999999985,0.9799999999999985,0.9799999999999985,0.9799999999999985,2.515266321548962,2.515266321548962,2.515266321548962,2.515266321548962,10.061065286195849,241.46556686870028,0.002003962882721545,24.404595418989626,47.69573451503409,68.70491811581392,13.479258172131786
0.02,4777.593170614507,0.020075581395348815,0.41278404994109336,113.35002959280115,0.02365560606125128,0.11046511627906977,1.4069767441860466,69.97674418604652,13.156976744186046,16.61627906976744,21.203488372093023,181.56976744186048,302.5232558139535,0.06335115742117081,4475.069914800553,1100.0,,4.0,275.0,275.0,275.0,275.0,3375.069914800552,30.023255813953487,4.843023255813954,8.383720930232558,58.79651162790697,3273.0234031726445,100.0,18.0,25.0,80.0,3454.593170614505,1243.0,977.6029955022252,990.0,0.9219672131147546,0.47999999999999987,988.5980327868871,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,10.460102504660744,10.460102504660744,10.460102504660744,10.460102504660744,,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.8267988104314039,0.8267988104314039,0.8267988104314039,0.8267988104314039,0.9799999999999985,0.9799999999999985,0.9799999999999985,0.9799999999999985,22.86798213114911,22.86798213114911,22.86798213114911,22.86798213114911,91.47192852459638,2195.3262845903128,0.019172797245034547,26.38528245787018,51.64903972976658,74.6100982871499,92.41091990269423
0.025,4488.692014422615,0.025111764705882327,0.3878229900461146,79.42077627575061,0.017716947507570743,0.11952941176470569,1.423529411764706,66.68235294117648,12.623529411764705,15.411764705882353,18.958823529411763,169.4294117647059,283.1058823529412,0.06307471058103273,4205.586132069675,1100.0,,4.0,275.0,275.0,275.0,275.0,3105.5861320696736,33.31764705882353,5.376470588235295,9.588235294117647,61.04117647058823,2996.262602657909,100.0,18.0,25.0,80.0,3165.6920144226146,1243.0,977.0743063863943,990.0,0.9219672131147545,0.4799999999999998,988.598032786887,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,10.988791620491899,10.988791620491899,10.988791620491899,10.988791620491899,,1.0999999999999968,1.0999999999999968,1.0999999999999968,1.0999999999999968,0.8397286973875487,0.8397286973875487,0.8397286973875487,0.8397286973875487,0.9799999999999986,0.9799999999999986,0.9799999999999986,0.9799999999999986,24.3962117127297,24.3962117127297,24.3962117127297,24.3962117127297,97.5848468509188,2342.0363244220525,0.021743447851240886,27.9313806031836,54.73756045367749,79.23026439947654,98.52544294752308
0.03,4308.483888063276,0.02995151515151512,0.37225300792866667,85.4394621115135,0.019837578161446955,0.1544848484848485,1.690909090909091,67.27272727272727,12.915151515151516,15.981818181818182,20.503030303030304,168.71515151515152,285.3878787878788,0.06625501415338864,4023.0960092753976,1100.0,,4.0,275.0,275.0,275.0,275.0,2923.096009275398,32.72727272727273,5.084848484848485,9.018181818181818,59.4969696969697,2816.768736548125,100.0,18.0,25.0,80.0,2985.483888063277,1243.0,976.7445255151553,990.0,0.9219672131147545,0.47999999999999965,988.598032786887,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,11.318572491729508,11.318572491729508,11.318572491729508,11.318572491729508,,1.0999999999999968,1.0999999999999968,1.0999999999999968,1.0999999999999968,0.8473153027700505,0.8473153027700505,0.8473153027700505,0.8473153027700505,0.9799999999999989,0.9799999999999989,0.9799999999999989,0.9799999999999989,25.35580149126511,25.35580149126511,25.35580149126511,25.35580149126511,101.42320596506045,2434.1569431614494,0.023549477068314922,28.898426434742447,56.67082176062862,82.12602819878252,102.36723583220805
0.035,4073.0230211988487,0.03502312138728321,0.35190918903158025,77.77766408737912,0.01905688170318421,0.15664739884393059,1.6242774566473988,67.6878612716763,13.052023121387283,16.23121387283237,20.971098265895954,172.635838150289,290.5780346820809,0.07134222420155921,3782.4449865167685,1100.0,,4.0,275.0,275.0,275.0,275.0,2682.4449865167667,32.3121387283237,4.947976878612717,8.76878612716763,59.028901734104046,2577.3871830485587,100.0,18.0,25.0,80.0,2750.0230211988464,1243.0,976.3134524536864,990.0,0.9219672131147546,0.47999999999999987,988.5980327868871,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,11.749645553199022,11.749645553199022,11.749645553199022,11.749645553199022,,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.8567579757263492,0.8567579757263492,0.8567579757263492,0.8567579757263492,0.9799999999999984,0.9799999999999984,0.9799999999999984,0.9799999999999984,26.61462521776681,26.61462521776681,26.61462521776681,26.61462521776681,106.45850087106724,2555.0040209056115,0.026146351194223566,30.16289588023272,59.200118400054826,85.91826948729917,107.40759110254004
0.04,3920.268064444269,0.04001775147928993,0.3387111607679849,48.394970746425145,0.012329328359550314,0.16994082840236682,1.7455621301775148,66.50887573964496,12.899408284023668,15.85207100591716,20.414201183431953,168.24852071005918,283.9230769230769,0.07241643807166673,3636.3449875211904,1100.0,,4.0,275.0,275.0,275.0,275.0,2536.3449875211872,33.49112426035503,5.10059171597633,9.14792899408284,59.585798816568044,2429.019543734205,100.0,18.0,25.0,80.0,2597.268064444265,1243.0,976.0110442317987,990.0,0.9219672131147545,0.47999999999999976,988.598032786887,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,12.052053775086737,12.052053775086737,12.052053775086737,12.052053775086737,,1.0999999999999968,1.0999999999999968,1.0999999999999968,1.0999999999999968,0.8630544359203934,0.8630544359203934,0.8630544359203934,0.8630544359203934,0.9799999999999986,0.9799999999999986,0.9799999999999986,0.9799999999999986,27.499949571084123,27.499949571084123,27.499949571084123,27.499949571084123,109.99979828433649,2639.995158824078,0.028063651081507487,31.048268833650027,60.97210925220907,88.5776060359564,110.94849978706914
0.045,3799.047289733395,0.04509039548022597,0.32823768583296525,64.56263000673569,0.017022482602582656,0.20485875706214676,1.8135593220338984,65.07909604519774,12.858757062146893,15.559322033898304,19.903954802259886,168.0677966101695,281.4689265536723,0.07409107566212428,3517.5783631797217,1100.0,,4.0,275.0,275.0,275.0,275.0,2417.578363179719,34.92090395480226,5.141242937853107,9.440677966101696,60.09604519774011,2307.9794931232213,100.0,18.0,25.0,80.0,2476.047289733391,1243.0,975.7541716377684,990.0,0.9219672131147546,0.48,988.5980327868871,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,12.308926369116929,12.308926369116929,12.308926369116929,12.308926369116929,,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.8681828070044083,0.8681828070044083,0.8681828070044083,0.8681828070044083,0.9799999999999983,0.9799999999999983,0.9799999999999983,0.9799999999999983,28.252888068749137,28.252888068749137,28.252888068749137,28.252888068749137,113.01155227499655,2712.2772545999173,0.029751308695924208,31.799519695290208,62.47634093496239,90.83682075097707,113.96091430761405
0.05,3633.771486493632,0.05028571428571424,0.31395785643304996,70.31902556786142,0.019336892968472377,0.22972527472527463,1.89010989010989,65.42857142857143,13.0,15.824175824175825,20.571428571428573,166.27472527472528,281.0989010989011,0.07737475627622355,3352.672585394732,1100.0,,4.0,275.0,275.0,275.0,275.0,2252.67258539473,34.57142857142857,5.0,9.175824175824175,59.41074723298673,2144.5145854144903,100.0,18.0,25.0,79.98217580441529,2310.7893106892157,1243.0,975.4039443404258,990.0,0.9219672131147546,0.4800000000000001,988.5980327868872,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,12.659153666458316,12.659153666458316,12.659153666458316,12.659153666458316,,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.8748469248018308,0.8748469248018308,0.8748469248018308,0.8748469248018308,0.9799999999999981,0.9799999999999981,0.9799999999999981,0.9799999999999981,29.28001602006929,29.28001602006929,29.28001602006929,29.28001602006929,117.12006408027717,2810.881537926653,0.03223995573088954,32.82119286967219,64.52304666248511,93.91334961087892,118.06948674727744
0.055,3516.204255555778,0.05531249999999999,0.3038000476800194,45.22794708387307,0.012871274463648946,0.24206250000000035,1.88125,64.625,12.9375,15.61875,20.2,162.3625,275.74375,0.07842307554945609,3240.460505555776,1100.0,,4.0,275.0,275.0,275.0,275.0,2140.460505555779,35.375,5.0625,9.38125,59.79924300740608,2030.8425125483723,100.0,18.0,25.0,79.99924300740608,2193.2050125483725,1243.0,975.1548137796306,990.0,0.9219672131147545,0.47999999999999954,988.5980327868868,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,12.9082842272552,12.9082842272552,12.9082842272552,12.9082842272552,,1.0999999999999968,1.0999999999999968,1.0999999999999968,1.0999999999999968,0.8793791257754776,0.8793791257754776,0.8793791257754776,0.8793791257754776,0.9799999999999992,0.9799999999999992,0.9799999999999992,0.9799999999999992,30.010547291451758,30.010547291451758,30.010547291451758,30.010547291451758,120.04218916580703,2881.012539979376,0.03414199203069303,33.54585246412567,65.97538739512346,96.09808042480337,120.9911244359843
0.06,3456.5596341585865,0.05988888888888889,0.29864675239130095,39.698563539895765,0.011496379065498335,0.270058479532164,2.0,64.05847953216374,13.099415204678362,15.771929824561404,20.730994152046783,164.8421052631579,278.5029239766082,0.08056983145423743,3178.0567101819793,1100.0,,4.0,275.0,275.0,275.0,275.0,2078.056710181977,35.941520467836256,4.900584795321637,9.228070175438596,59.21220324332041,1968.77433150006,100.0,18.0,25.0,79.94319739536718,2133.6164367632177,1243.0,975.0284239866696,990.0,0.9219672131147546,0.4799999999999998,988.5980327868871,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,13.034674020215919,13.034674020215919,13.034674020215919,13.034674020215919,,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.8816035010834408,0.8816035010834408,0.8816035010834408,0.8816035010834408,0.9799999999999985,0.9799999999999985,0.9799999999999985,0.9799999999999985,30.380989300360657,30.380989300360657,30.380989300360657,30.380989300360657,121.5239572014426,2916.574972834616,0.03515859859189305,33.91259532791649,66.7106346235432,97.20469172352233,122.4724539257232
0.065,3382.079146927032,0.06500602409638565,0.29221163829449553,56.06945375274966,0.016599181790564136,0.2943373493975902,2.0783132530120483,62.2289156626506,12.813253012048193,15.090361445783133,19.49397590361446,158.3734939759036,268.0,0.07923271122785643,3114.079146927033,1100.0,,4.0,275.0,275.0,275.0,275.0,2014.079146927033,37.7710843373494,5.186746987951807,9.909638554216867,60.409845298597645,1900.8018317489166,100.0,18.0,25.0,79.90382120221211,2059.175325724821,1243.0,974.8705962875373,990.0,0.9219672131147545,0.4799999999999997,988.598032786887,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,13.192501719349401,13.192501719349401,13.192501719349401,13.192501719349401,,1.0999999999999968,1.0999999999999968,1.0999999999999968,1.0999999999999968,0.8843070694349725,0.8843070694349725,0.8843070694349725,0.8843070694349725,0.9799999999999989,0.9799999999999989,0.9799999999999989,0.9799999999999989,30.843283339898246,30.843283339898246,30.843283339898246,30.843283339898246,123.37313335959298,2960.95520063023,0.03648336861328391,34.369553126299394,67.6269767707286,98.58445648352564,124.32088444562328
0.07,3262.0386418419935,0.0703621621621621,0.28184013865514773,77.67273174259721,0.023839977041008795,0.29302702702702715,2.091891891891892,61.14054054054054,12.545945945945945,14.545945945945945,18.416216216216217,152.94054054054055,259.5891891891892,0.07959015242905498,3002.4494526528047,1100.0,,4.0,275.0,275.0,275.0,275.0,1902.4494526528024,38.85945945945945,5.454054054054056,10.454054054054055,61.426080673163234,1786.255804412071,100.0,18.0,25.0,79.84229688937945,1939.196344952612,1243.0,974.6162247410472,990.0,0.9219672131147546,0.48000000000000015,988.5980327868872,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,13.446873265839182,13.446873265839182,13.446873265839182,13.446873265839182,,1.0999999999999965,1.0999999999999965,1.0999999999999965,1.0999999999999965,0.8885108486363072,0.8885108486363072,0.8885108486363072,0.8885108486363072,0.9799999999999979,0.9799999999999979,0.9799999999999979,0.9799999999999979,31.587532346665462,31.587532346665462,31.587532346665462,31.587532346665462,126.35012938666185,3032.4031052798864,0.03874224097063796,35.10372955845738,69.09970754367741,100.80321181460822,127.29628570330962
