WaterYear,WaterWeek,StartDate,Flow,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelHeadpond,LevelTailwater,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy
1924,1,1924-10-01,111,37,5,3,2,50,97,0.87,0,14,5,0,0,0,7,42,5,3,2,57,51,0,0,0,0,990.0,965.0,0.06,0.0,989.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1924,2,1924-10-08,111,29,4,2,2,32,71,0.64,33,6,2,0,0,0,3,31,4,2,2,36,73,59,0,0,0,990.0,965.0,0.07,0.0,989.9,24.9,0.0,0.0,0.0,0.8,0.0,0.0,0.0,11.1,0.0,0.0,0.0,6.4,1070
1924,3,1924-10-15,112,24,4,2,2,20,52,0.46,60,0,0,0,0,0,0,24,4,2,2,20,90,60,0,0,0,990.0,965.0,0.07,0.0,989.9,24.9,0.0,0.0,0.0,0.81,0.0,0.0,0.0,11.5,0.0,0.0,0.0,11.5,1937
1924,4,1924-10-22,125,24,4,2,2,20,52,0.41,73,0,0,0,0,0,0,24,4,2,2,20,103,73,0,0,0,990.0,965.0,0.08,0.0,989.9,24.9,0.0,0.0,0.0,0.85,0.0,0.0,0.0,14.7,0.0,0.0,0.0,14.7,2469
1924,5,1924-10-29,129,23,4,2,2,19,50,0.39,78,0,0,0,0,0,0,23,4,2,2,19,108,78,0,0,0,990.0,965.0,0.08,0.0,989.9,24.9,0.0,0.0,0.0,0.86,0.0,0.0,0.0,15.8,0.0,0.0,0.0,15.8,2662
1924,6,1924-11-05,140,23,4,2,2,19,50,0.36,90,0,0,0,0,0,0,23,4,2,2,19,119,90,0,0,0,990.0,965.0,0.08,0.0,989.9,24.9,0.0,0.0,0.0,0.87,0.0,0.0,0.0,18.5,0.0,0.0,0.0,18.5,3103
1924,7,1924-11-12,144,23,4,2,2,19,50,0.35,94,0,0,0,0,0,0,23,4,2,2,19,123,94,0,0,0,990.0,965.0,0.08,0.0,989.9,24.9,0.0,0.0,0.0,0.88,0.0,0.0,0.0,19.4,0.0,0.0,0.0,19.4,3265
1924,8,1924-11-19,165,23,4,2,2,19,50,0.3,115,0,0,0,0,0,0,23,4,2,2,19,144,115,0,0,0,990.0,965.0,0.09,0.0,989.9,24.8,0.0,0.0,0.0,0.9,0.0,0.0,0.0,24.4,0.0,0.0,0.0,24.4,4103
1924,9,1924-11-26,189,23,4,2,2,20,52,0.28,136,0,0,0,0,0,0,23,4,2,2,20,166,136,0,0,0,990.0,964.9,0.1,0.0,989.9,24.8,0.0,0.0,0.0,0.91,0.0,0.0,0.0,29.4,0.0,0.0,0.0,29.4,4943
1924,10,1924-12-03,230,26,4,3,2,24,59,0.26,171,0,0,0,0,0,0,26,4,3,2,24,204,171,0,0,0,990.0,965.1,0.11,0.01,989.9,24.6,0.0,0.0,0.0,0.92,0.0,0.0,0.0,37.1,0.0,0.0,0.0,37.1,6229
1924,11,1924-12-10,265,26,4,3,2,24,59,0.22,206,0,0,0,0,0,0,26,4,3,2,24,239,206,0,0,0,990.0,965.3,0.12,0.01,989.9,24.3,0.0,0.0,0.0,0.94,0.0,0.0,0.0,44.8,0.0,0.0,0.0,44.8,7520
1924,12,1924-12-17,280,26,4,3,2,24,59,0.21,221,0,0,0,0,0,0,26,4,3,2,24,254,221,0,0,0,990.0,965.3,0.13,0.01,989.9,24.2,0.0,0.0,0.0,0.94,0.0,0.0,0.0,48.5,0.0,0.0,0.0,48.5,8148
1924,13,1924-12-24,325,26,4,3,2,24,59,0.18,266,0,0,0,0,0,0,26,4,3,2,24,299,203,149,0,0,990.0,965.5,0.14,0.02,989.8,24.0,24.0,0.0,0.0,0.93,0.91,0.0,0.0,43.6,31.1,0.0,0.0,56.9,9560
1924,14,1924-12-31,501,28,4,3,2,31,71,0.14,430,0,0,0,0,0,0,28,4,3,2,31,468,215,215,0,0,990.0,966.4,0.2,0.06,989.7,23.1,23.1,0.0,0.0,0.93,0.93,0.0,0.0,44.4,44.4,0.0,0.0,88.8,14910
1924,15,1925-01-07,542,34,5,4,2,47,93,0.17,449,0,0,0,0,0,0,34,5,4,2,47,493,224,224,0,0,990.0,966.5,0.21,0.06,989.7,22.8,22.8,0.0,0.0,0.94,0.94,0.0,0.0,46.4,46.4,0.0,0.0,92.8,15582
1924,16,1925-01-14,606,41,6,4,3,66,120,0.2,486,0,0,0,0,0,0,41,6,4,3,66,537,243,243,0,0,990.0,966.8,0.23,0.07,989.7,22.5,22.5,0.0,0.0,0.94,0.94,0.0,0.0,49.4,49.4,0.0,0.0,98.7,16582
1924,17,1925-01-21,837,41,6,4,3,66,120,0.15,717,0,0,0,0,0,0,41,6,4,3,66,768,230,230,220,230,990.0,967.7,0.39,0.18,989.4,21.3,21.3,20.9,20.3,0.94,0.94,0.94,0.94,44.3,44.3,41.4,42.2,136.3,22897
1924,18,1925-01-28,1134,44,6,5,3,77,138,0.12,996,0,0,0,0,0,0,44,6,5,3,77,1053,249,249,249,249,990.0,968.8,0.63,0.36,989.0,19.7,19.7,19.7,19.7,0.94,0.94,0.94,0.94,44.4,44.4,44.4,44.4,177.8,29870
1924,19,1925-02-04,1147,49,8,7,5,93,162,0.14,985,0,0,0,0,0,0,49,8,7,5,93,1049,246,246,246,246,990.0,968.9,0.62,0.34,989.0,19.7,19.7,19.7,19.7,0.94,0.94,0.94,0.94,43.9,43.9,43.9,43.9,175.8,29526
1924,20,1925-02-11,1146,49,8,7,5,93,162,0.14,984,0,0,0,0,0,0,49,8,7,5,93,1048,246,246,246,246,990.0,968.9,0.62,0.34,989.0,19.8,19.8,19.8,19.8,0.94,0.94,0.94,0.94,43.9,43.9,43.9,43.9,175.7,29510
1924,21,1925-02-18,1185,49,8,7,5,93,162,0.14,1023,0,0,0,0,0,0,49,8,7,5,93,1087,255,255,255,255,990.0,969.0,0.68,0.38,988.9,19.5,19.5,19.5,19.5,0.94,0.94,0.94,0.94,45.0,45.0,45.0,45.0,180.2,30269
1924,22,1925-02-25,1402,49,8,7,6,99,171,0.12,1100,131,37,6,5,4,76,86,14,13,11,175,1215,275,275,275,275,990.0,969.7,0.86,0.48,988.7,18.5,18.5,18.5,18.5,0.93,0.93,0.93,0.93,45.5,45.5,45.5,45.5,181.8,30546
1924,23,1925-03-04,1395,49,9,9,9,107,183,0.13,1100,112,30,5,5,5,65,79,14,14,14,172,1208,275,275,275,275,990.0,969.6,0.85,0.48,988.7,18.5,18.5,18.5,18.5,0.93,0.93,0.93,0.93,45.5,45.5,45.5,45.5,182.2,30606
1924,24,1925-03-11,1463,49,9,9,9,107,183,0.13,1100,180,45,8,8,8,109,94,17,17,17,216,1229,275,275,275,275,990.0,969.9,0.89,0.48,988.6,18.2,18.2,18.2,18.2,0.93,0.93,0.93,0.93,44.9,44.9,44.9,44.9,179.6,30167
1924,25,1925-03-18,1888,49,9,9,9,107,183,0.1,1100,605,51,9,15,29,500,100,18,24,38,607,1242,275,275,275,275,990.0,971.2,0.92,0.48,988.6,16.9,16.9,16.9,16.9,0.93,0.93,0.93,0.93,41.3,41.3,41.3,41.3,165.3,27764
1924,26,1925-03-25,3184,49,9,9,9,107,183,0.06,1100,1901,51,9,16,70,1754,100,18,25,79,1861,1243,275,275,275,275,990.0,974.4,0.92,0.48,988.6,13.6,13.6,13.6,13.6,0.89,0.89,0.89,0.89,32.2,32.2,32.2,32.2,128.6,21606
1924,27,1925-04-01,3343,54,13,14,19,117,217,0.06,1100,2026,45,5,10,61,1903,100,18,25,80,2020,1243,275,275,275,275,990.0,974.8,0.92,0.48,988.6,13.3,13.3,13.3,13.3,0.89,0.89,0.89,0.89,31.1,31.1,31.1,31.1,124.3,20888
1924,28,1925-04-08,3070,54,13,14,19,117,217,0.07,1100,1753,46,5,11,61,1630,100,18,25,80,1747,1243,275,275,275,275,990.0,974.2,0.92,0.48,988.6,13.9,13.9,13.9,13.9,0.9,0.9,0.9,0.9,32.9,32.9,32.9,32.9,131.4,22075
1924,29,1925-04-15,3108,54,13,14,19,117,217,0.07,1100,1791,45,5,11,61,1668,100,18,25,80,1785,1243,275,275,275,275,990.0,974.3,0.92,0.48,988.6,13.8,13.8,13.8,13.8,0.89,0.89,0.89,0.89,32.6,32.6,32.6,32.6,130.4,21905
1924,30,1925-04-22,3277,54,13,14,19,117,217,0.07,1100,1960,46,5,11,61,1837,100,18,25,80,1954,1243,275,275,275,275,990.0,974.6,0.92,0.48,988.6,13.4,13.4,13.4,13.4,0.89,0.89,0.89,0.89,31.5,31.5,31.5,31.5,126.0,21162
1924,31,1925-04-29,2946,61,13,16,21,177,291,0.1,1100,1555,38,4,8,58,1446,100,18,25,80,1623,1243,275,275,275,275,990.0,973.9,0.92,0.48,988.6,14.2,14.2,14.2,14.2,0.9,0.9,0.9,0.9,33.7,33.7,33.7,33.7,134.9,22660
1924,32,1925-05-06,2531,62,13,15,21,195,308,0.12,1100,1123,37,4,9,58,1013,100,18,25,79,1209,1243,275,275,275,275,990.0,972.9,0.92,0.48,988.6,15.2,15.2,15.2,15.2,0.91,0.91,0.91,0.91,36.6,36.6,36.6,36.6,146.4,24594
1924,33,1925-05-13,2175,55,13,13,17,178,276,0.13,1100,799,45,5,12,49,687,100,18,25,66,865,1243,275,275,275,275,990.0,972.0,0.92,0.48,988.6,16.0,16.0,16.0,16.0,0.92,0.92,0.92,0.92,39.0,39.0,39.0,39.0,156.1,26226
1924,34,1925-05-20,1881,55,13,13,17,178,276,0.15,1100,505,45,5,12,31,411,100,18,25,48,589,1243,275,275,275,275,990.0,971.2,0.92,0.48,988.6,16.8,16.8,16.8,16.8,0.93,0.93,0.93,0.93,41.2,41.2,41.2,41.2,165.0,27718
1924,35,1925-05-27,1618,54,12,12,15,161,257,0.16,1100,261,45,5,11,16,182,99,18,24,31,344,1242,275,275,275,275,990.0,970.4,0.92,0.48,988.6,17.7,17.7,17.7,17.7,0.93,0.93,0.93,0.93,43.5,43.5,43.5,43.5,174.1,29244
1924,36,1925-06-03,1414,53,12,12,13,120,210,0.15,1100,104,25,4,5,6,61,78,16,17,19,181,1213,275,275,275,275,990.0,969.7,0.86,0.48,988.7,18.4,18.4,18.4,18.4,0.93,0.93,0.93,0.93,45.4,45.4,45.4,45.4,181.4,30477
1924,37,1925-06-10,1190,53,12,12,13,120,210,0.18,980,0,0,0,0,0,0,53,12,12,13,120,1057,245,245,245,245,990.0,969.0,0.64,0.34,989.0,19.6,19.6,19.6,19.6,0.94,0.94,0.94,0.94,43.4,43.4,43.4,43.4,173.5,29150
1924,38,1925-06-17,1076,53,12,12,13,120,210,0.2,866,0,0,0,0,0,0,53,12,12,13,120,943,226,226,226,218,990.0,968.6,0.52,0.24,989.2,20.2,20.2,20.2,20.2,0.94,0.94,0.94,0.94,41.2,41.2,41.2,39.7,157.7,26490
1924,39,1925-06-24,928,53,12,12,13,120,210,0.23,718,0,0,0,0,0,0,53,12,12,13,120,795,239,239,239,0,990.0,968.1,0.39,0.15,989.5,20.9,20.9,20.9,0.0,0.94,0.94,0.94,0.0,45.1,45.1,45.1,0.0,135.4,22748
1924,40,1925-07-01,727,50,10,9,9,108,186,0.26,541,0,0,0,0,0,0,50,10,9,9,108,610,228,228,199,0,990.0,967.3,0.27,0.09,989.6,22.0,22.0,21.8,0.0,0.94,0.94,0.93,0.0,44.9,44.9,38.4,0.0,106.3,17863
