WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1933,12,1934-03-22,1934-04-02,1934.03,177.20194308103692
1939,8,1940-03-31,1940-04-07,1940.03,182.61437966598785
1947,48,1948-03-03,1948-04-19,1948.03,99.43105730135143
1949,6,1950-02-27,1950-03-04,1950.02,178.47815728976775
1951,26,1952-03-01,1952-03-26,1952.03,98.14487608217846
1952,18,1953-03-20,1953-04-06,1953.03,183.6668798709048
1955,23,1956-04-30,1956-05-22,1956.04,120.53512589361205
1956,29,1957-03-02,1957-03-30,1957.03,99.14332046918264
1957,63,1958-02-03,1958-04-06,1958.02,103.5951919507952
1960,29,1961-03-30,1961-04-27,1961.03,186.5287449987497
1961,24,1962-03-31,1962-04-23,1962.03,129.93177231879773
1962,52,1963-02-28,1963-04-20,1963.02,136.30541363390742
1965,11,1966-03-28,1966-04-07,1966.03,186.01238764797912
1967,24,1968-02-07,1968-04-13,1968.02,114.62196037214953
1968,64,1969-03-02,1969-05-04,1969.03,86.72421881293552
1974,22,1975-03-26,1975-04-16,1975.03,128.6527634172133
1975,14,1976-03-27,1976-04-09,1976.03,184.02062670855088
1977,46,1978-03-27,1978-05-11,1978.03,158.07937592829566
1978,11,1979-04-12,1979-04-22,1979.04,115.74835643757656
2008,27,2009-03-14,2009-04-09,2009.03,145.55769162886313
2009,6,2010-04-23,2010-04-28,2010.04,104.36651402437984
