Date,LaggedDate,VicFalls,Conversion,Flow,Exceedance,Year,Month,Day,MonthId,WaterYear,WaterMonth,WaterDay,WaterWeek,Volume,Flow_difference,Flow_difference_pct,EWRRefExceedance,EWRBandNo,EWRBandLabel,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowAvailableForGeneration,FlowCanal,LowFlowShutoff,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,LevelHeadpond,LevelTailwater,HeadGross,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,LowHeadShutoff,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerGenerator1,PowerGenerator2,PowerGenerator3,PowerGenerator4,Power,Energy,PerfMwPerCumec,PerfMWhPerm3,ExceedanceRnd
1969-10-01,1969-10-12,468.6029,0.9015518661337044,422.4698189706656,0.626,1969,10,1,1969.1,1969,1,1,1,0.0365013923590655,4.163062020279028,0.00985410515341,0.02,1,Wet,44,7,6,3,60,120.0,0.2840439591457118,302.4698189706656,302.4698189706656,,2,151.2349094853328,151.2349094853328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,359.4698189706656,990.0,965.501114185368,24.49888581463199,0.1623998151544294,0.0304939637941331,989.8071062210514,0.1618674044883188,0.1618674044883188,0.0,0.0,24.144124631195083,24.144124631195083,24.305992035683403,24.305992035683403,,0.9169680784407964,0.9169680784407964,0.0,0.0,32.8364676158852,32.8364676158852,0.0,0.0,0.6687671612196577,0.6687671612196577,0.0,0.0,0.97,0.97,0.96,0.96,31.85137358740864,31.85137358740864,0.0,0.0,63.70274717481728,1528.8659321956147,0.150786504299945,5.850239077994255e-05,0.625
1969-10-02,1969-10-13,463.5928,0.9065907191323836,420.28892993659525,0.63,1969,10,2,1969.1,1969,1,2,1,0.0363129635465218,2.180889034070333,0.0051890232616865,0.02,1,Wet,44,7,6,3,60,120.0,0.2855178698570604,300.28892993659525,300.28892993659525,,2,150.14446496829763,150.14446496829763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,357.28892993659525,990.0,965.4913001847146,24.508699815285357,0.1616301117482397,0.030057785987319,989.8083121022644,0.1595120443315228,0.1595120443315228,0.0,0.0,24.157499873218324,24.157499873218324,24.31701191754985,24.31701191754985,,0.916538194173164,0.916538194173164,0.0,0.0,32.60247569352075,32.60247569352075,0.0,0.0,0.6640015416195673,0.6640015416195673,0.0,0.0,0.97,0.97,0.96,0.96,31.624401422715128,31.624401422715128,0.0,0.0,63.248802845430255,1517.9712682903262,0.1504888621619702,5.850735791431956e-05,0.63
1969-10-03,1969-10-14,458.6166,0.911126574868046,417.8577719356288,0.633,1969,10,3,1969.1,1969,1,3,1,0.0361029114952383,2.4311580009666045,0.0058181471406044,0.02,1,Wet,44,7,6,3,60,120.0,0.2871790548351606,297.8577719356288,297.8577719356288,,2,148.9288859678144,148.9288859678144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,354.8577719356288,990.0,965.4803599737104,24.51964002628972,0.1607720806585805,0.0295715543871257,989.8096563649544,0.1569720828130539,0.1569720828130539,0.0,0.0,24.172324308430987,24.172324308430987,24.329296391244043,24.329296391244043,,0.9160592173375108,0.9160592173375108,0.0,0.0,32.34145851918918,32.34145851918918,0.0,0.0,0.6586855095557878,0.6586855095557878,0.0,0.0,0.97,0.97,0.96,0.96,31.371214763613505,31.371214763613505,0.0,0.0,62.74242952722701,1505.8183086534482,0.1501525967474227,5.851266707997292e-05,0.635
1969-10-04,1969-10-15,458.6166,0.911126574868046,417.8577719356288,0.633,1969,10,4,1969.1,1969,1,4,1,0.0361029114952383,0.0,0.0,0.02,1,Wet,44,7,6,3,60,120.0,0.2871790548351606,297.8577719356288,297.8577719356288,,2,148.9288859678144,148.9288859678144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,354.8577719356288,990.0,965.4803599737104,24.51964002628972,0.1607720806585805,0.0295715543871257,989.8096563649544,0.1569720828130539,0.1569720828130539,0.0,0.0,24.172324308430987,24.172324308430987,24.329296391244043,24.329296391244043,,0.9160592173375108,0.9160592173375108,0.0,0.0,32.34145851918918,32.34145851918918,0.0,0.0,0.6586855095557878,0.6586855095557878,0.0,0.0,0.97,0.97,0.96,0.96,31.371214763613505,31.371214763613505,0.0,0.0,62.74242952722701,1505.8183086534482,0.1501525967474227,5.851266707997292e-05,0.635
1969-10-05,1969-10-16,458.6166,0.911126574868046,417.8577719356288,0.633,1969,10,5,1969.1,1969,1,5,1,0.0361029114952383,0.0,0.0,0.02,1,Wet,44,7,6,3,60,120.0,0.2871790548351606,297.8577719356288,297.8577719356288,,2,148.9288859678144,148.9288859678144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,354.8577719356288,990.0,965.4803599737104,24.51964002628972,0.1607720806585805,0.0295715543871257,989.8096563649544,0.1569720828130539,0.1569720828130539,0.0,0.0,24.172324308430987,24.172324308430987,24.329296391244043,24.329296391244043,,0.9160592173375108,0.9160592173375108,0.0,0.0,32.34145851918918,32.34145851918918,0.0,0.0,0.6586855095557878,0.6586855095557878,0.0,0.0,0.97,0.97,0.96,0.96,31.371214763613505,31.371214763613505,0.0,0.0,62.74242952722701,1505.8183086534482,0.1501525967474227,5.851266707997292e-05,0.635
1969-10-06,1969-10-17,458.6166,0.911126574868046,417.8577719356288,0.633,1969,10,6,1969.1,1969,1,6,1,0.0361029114952383,0.0,0.0,0.02,1,Wet,44,7,6,3,60,120.0,0.2871790548351606,297.8577719356288,297.8577719356288,,2,148.9288859678144,148.9288859678144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,354.8577719356288,990.0,965.4803599737104,24.51964002628972,0.1607720806585805,0.0295715543871257,989.8096563649544,0.1569720828130539,0.1569720828130539,0.0,0.0,24.172324308430987,24.172324308430987,24.329296391244043,24.329296391244043,,0.9160592173375108,0.9160592173375108,0.0,0.0,32.34145851918918,32.34145851918918,0.0,0.0,0.6586855095557878,0.6586855095557878,0.0,0.0,0.97,0.97,0.96,0.96,31.371214763613505,31.371214763613505,0.0,0.0,62.74242952722701,1505.8183086534482,0.1501525967474227,5.851266707997292e-05,0.635
1969-10-07,1969-10-18,458.6166,0.911126574868046,417.8577719356288,0.633,1969,10,7,1969.1,1969,1,7,1,0.0361029114952383,0.0,0.0,0.02,1,Wet,44,7,6,3,60,120.0,0.2871790548351606,297.8577719356288,297.8577719356288,,2,148.9288859678144,148.9288859678144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,354.8577719356288,990.0,965.4803599737104,24.51964002628972,0.1607720806585805,0.0295715543871257,989.8096563649544,0.1569720828130539,0.1569720828130539,0.0,0.0,24.172324308430987,24.172324308430987,24.329296391244043,24.329296391244043,,0.9160592173375108,0.9160592173375108,0.0,0.0,32.34145851918918,32.34145851918918,0.0,0.0,0.6586855095557878,0.6586855095557878,0.0,0.0,0.97,0.97,0.96,0.96,31.371214763613505,31.371214763613505,0.0,0.0,62.74242952722701,1505.8183086534482,0.1501525967474227,5.851266707997292e-05,0.635
1969-10-08,1969-10-19,463.5928,0.9065907191323836,420.28892993659525,0.63,1969,10,8,1969.1,1969,1,8,2,0.0363129635465218,2.4311580009666045,0.0057844921143494,0.02,1,Wet,44,7,6,3,60,120.0,0.2855178698570604,300.28892993659525,300.28892993659525,,2,150.14446496829763,150.14446496829763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,357.28892993659525,990.0,965.4913001847146,24.508699815285357,0.1616301117482397,0.030057785987319,989.8083121022644,0.1595120443315228,0.1595120443315228,0.0,0.0,24.157499873218324,24.157499873218324,24.31701191754985,24.31701191754985,,0.916538194173164,0.916538194173164,0.0,0.0,32.60247569352075,32.60247569352075,0.0,0.0,0.6640015416195673,0.6640015416195673,0.0,0.0,0.97,0.97,0.96,0.96,31.624401422715128,31.624401422715128,0.0,0.0,63.248802845430255,1517.9712682903262,0.1504888621619702,5.850735791431956e-05,0.63
1969-10-09,1969-10-20,463.5928,0.9065907191323836,420.28892993659525,0.63,1969,10,9,1969.1,1969,1,9,2,0.0363129635465218,0.0,0.0,0.02,1,Wet,44,7,6,3,60,120.0,0.2855178698570604,300.28892993659525,300.28892993659525,,2,150.14446496829763,150.14446496829763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,357.28892993659525,990.0,965.4913001847146,24.508699815285357,0.1616301117482397,0.030057785987319,989.8083121022644,0.1595120443315228,0.1595120443315228,0.0,0.0,24.157499873218324,24.157499873218324,24.31701191754985,24.31701191754985,,0.916538194173164,0.916538194173164,0.0,0.0,32.60247569352075,32.60247569352075,0.0,0.0,0.6640015416195673,0.6640015416195673,0.0,0.0,0.97,0.97,0.96,0.96,31.624401422715128,31.624401422715128,0.0,0.0,63.248802845430255,1517.9712682903262,0.1504888621619702,5.850735791431956e-05,0.63
1969-10-10,1969-10-21,463.5928,0.9065907191323836,420.28892993659525,0.63,1969,10,10,1969.1,1969,1,10,2,0.0363129635465218,0.0,0.0,0.02,1,Wet,44,7,6,3,60,120.0,0.2855178698570604,300.28892993659525,300.28892993659525,,2,150.14446496829763,150.14446496829763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,357.28892993659525,990.0,965.4913001847146,24.508699815285357,0.1616301117482397,0.030057785987319,989.8083121022644,0.1595120443315228,0.1595120443315228,0.0,0.0,24.157499873218324,24.157499873218324,24.31701191754985,24.31701191754985,,0.916538194173164,0.916538194173164,0.0,0.0,32.60247569352075,32.60247569352075,0.0,0.0,0.6640015416195673,0.6640015416195673,0.0,0.0,0.97,0.97,0.96,0.96,31.624401422715128,31.624401422715128,0.0,0.0,63.248802845430255,1517.9712682903262,0.1504888621619702,5.850735791431956e-05,0.63
1969-10-11,1969-10-22,463.5928,0.9065907191323836,420.28892993659525,0.63,1969,10,11,1969.1,1969,1,11,2,0.0363129635465218,0.0,0.0,0.02,1,Wet,44,7,6,3,60,120.0,0.2855178698570604,300.28892993659525,300.28892993659525,,2,150.14446496829763,150.14446496829763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,357.28892993659525,990.0,965.4913001847146,24.508699815285357,0.1616301117482397,0.030057785987319,989.8083121022644,0.1595120443315228,0.1595120443315228,0.0,0.0,24.157499873218324,24.157499873218324,24.31701191754985,24.31701191754985,,0.916538194173164,0.916538194173164,0.0,0.0,32.60247569352075,32.60247569352075,0.0,0.0,0.6640015416195673,0.6640015416195673,0.0,0.0,0.97,0.97,0.96,0.96,31.624401422715128,31.624401422715128,0.0,0.0,63.248802845430255,1517.9712682903262,0.1504888621619702,5.850735791431956e-05,0.63
