MonthId,Year,Month,Days,DateStart,WaterYear,WaterMonth,Flow_min,Flow_mean,Flow_median,Flow_max,Flow_range
1924.1,1924,10,31,1924-10-01,1924,1,111,116.09677419354838,111.0,127,16
1924.11,1924,11,30,1924-11-01,1924,2,128,154.06666666666666,145.0,191,63
1924.12,1924,12,31,1924-12-01,1924,3,193,275.6774193548387,271.0,440,247
1925.01,1925,1,31,1925-01-01,1924,4,418,692.7741935483871,596.0,1183,765
1925.02,1925,2,28,1925-02-01,1924,5,1108,1193.75,1151.0,1437,329
1925.03,1925,3,31,1925-03-01,1924,6,1384,1926.4193548387098,1493.0,3452,2068
1925.04,1925,4,30,1925-04-01,1924,7,3004,3198.5666666666666,3169.0,3441,437
1925.05,1925,5,31,1925-05-01,1924,8,1589,2213.935483870968,2162.0,3021,1432
1925.06,1925,6,30,1925-06-01,1924,9,835,1178.3666666666666,1135.0,1551,716
1925.07,1925,7,31,1925-07-01,1924,10,350,520.6451612903226,486.0,819,469
1925.08,1925,8,31,1925-08-01,1924,11,229,276.64516129032256,274.0,341,112
1925.09,1925,9,30,1925-09-01,1924,12,189,202.36666666666667,200.0,229,40
1925.1,1925,10,31,1925-10-01,1925,1,159,171.32258064516128,169.0,189,30
1925.11,1925,11,30,1925-11-01,1925,2,163,199.73333333333332,190.0,287,124
1925.12,1925,12,31,1925-12-01,1925,3,267,332.96774193548384,329.0,422,155
1926.01,1926,1,31,1926-01-01,1925,4,427,495.1290322580645,489.0,583,156
1926.02,1926,2,28,1926-02-01,1925,5,572,733.0714285714286,704.5,971,399
1926.03,1926,3,31,1926-03-01,1925,6,1025,2626.3548387096776,2077.0,4501,3476
1926.04,1926,4,30,1926-04-01,1925,7,3496,3961.366666666667,3938.0,4415,919
1926.05,1926,5,31,1926-05-01,1925,8,1678,2508.1935483870966,2450.0,3467,1789
1926.06,1926,6,30,1926-06-01,1925,9,819,1195.5333333333333,1149.5,1646,827
1926.07,1926,7,31,1926-07-01,1925,10,414,549.7096774193549,517.0,779,365
1926.08,1926,8,31,1926-08-01,1925,11,271,334.5806451612903,332.0,403,132
1926.09,1926,9,30,1926-09-01,1925,12,201,234.76666666666668,230.0,271,70
1926.1,1926,10,31,1926-10-01,1926,1,195,198.70967741935485,200.0,201,6
1926.11,1926,11,30,1926-11-01,1926,2,199,217.66666666666666,202.0,284,85
1926.12,1926,12,31,1926-12-01,1926,3,299,426.64516129032256,420.0,609,310
1927.01,1927,1,31,1927-01-01,1926,4,563,644.6129032258065,578.0,892,329
1927.02,1927,2,28,1927-02-01,1926,5,947,1220.9642857142858,1189.0,1466,519
1927.03,1927,3,31,1927-03-01,1926,6,1493,1787.4516129032259,1660.0,2646,1153
1927.04,1927,4,30,1927-04-01,1926,7,2396,2844.3333333333335,2870.5,3313,917
1927.05,1927,5,31,1927-05-01,1926,8,1881,2287.3870967741937,2364.0,2396,515
1927.06,1927,6,30,1927-06-01,1926,9,752,1257.7,1183.5,1836,1084
1927.07,1927,7,31,1927-07-01,1926,10,389,511.03225806451616,480.0,734,345
1927.08,1927,8,31,1927-08-01,1926,11,261,311.64516129032256,306.0,381,120
1927.09,1927,9,30,1927-09-01,1926,12,193,217.86666666666667,213.5,259,66
1927.1,1927,10,31,1927-10-01,1927,1,180,187.67741935483872,186.0,195,15
1927.11,1927,11,30,1927-11-01,1927,2,199,245.66666666666666,250.0,276,77
1927.12,1927,12,31,1927-12-01,1927,3,270,361.5806451612903,387.0,467,197
1928.01,1928,1,31,1928-01-01,1927,4,472,605.9354838709677,602.0,712,240
1928.02,1928,2,29,1928-02-01,1927,5,720,829.1034482758621,804.0,1066,346
1928.03,1928,3,31,1928-03-01,1927,6,1086,1844.1612903225807,2020.0,2217,1131
1928.04,1928,4,30,1928-04-01,1927,7,2155,2199.0,2188.0,2261,106
1928.05,1928,5,31,1928-05-01,1927,8,1466,1970.5806451612902,2042.0,2261,795
1928.06,1928,6,30,1928-06-01,1927,9,583,988.7333333333333,1025.5,1437,854
1928.07,1928,7,31,1928-07-01,1927,10,335,425.741935483871,418.0,563,228
1928.08,1928,8,31,1928-08-01,1927,11,243,284.2258064516129,284.0,332,89
1928.09,1928,9,30,1928-09-01,1927,12,222,242.3,238.0,264,42
1928.1,1928,10,31,1928-10-01,1928,1,221,246.90322580645162,257.0,264,43
1928.11,1928,11,30,1928-11-01,1928,2,226,256.5,253.5,317,91
