Year,Month,Rainfall
1954,10,23.7
1954,11,170.5
1954,12,243.5
1955,1,115.6
1955,2,207.2
1955,3,113.5
1955,4,5.3
1955,5,23.1
1955,6,0
1955,7,0
1955,8,0
1955,9,0
1955,10,66.3
1955,11,151
1955,12,139.6
1956,1,366
1956,2,195.6
1956,3,238.4
1956,4,80.9
1956,5,0
1956,6,0
1956,7,0
1956,8,0
1956,9,0
1956,10,1.8
1956,11,136.1
1956,12,183.8
1957,1,140.1
1957,2,341.1
1957,3,147.4
1957,4,0.3
1957,5,0.5
1957,6,0
1957,7,0
1957,8,0
1957,9,19
1957,10,59.2
1957,11,127.5
1957,12,407.9
1958,1,361.7
1958,2,271.5
1958,3,84.1
1958,4,18.3
1958,5,0
1958,6,0
1958,7,0
1958,8,0
1958,9,8.9
1958,10,90
1958,11,83.5
1958,12,169.9
1959,1,183.8
1959,2,361
1959,3,141.2
1959,4,0
1959,5,0.5
1959,6,0
1959,7,0
1959,8,0
1959,9,0
1959,10,0
1959,11,163.5
1959,12,299.7
1960,1,312.2
1960,2,352.2
1960,3,161.7
1960,4,27.4
1960,5,29.2
1960,6,0
1960,7,0
1960,8,0
1960,9,0
1960,10,4.7
1960,11,145.9
1960,12,220.4
1961,1,163.3
1961,2,255
1961,3,192.9
1961,4,123.7
1961,5,0
1961,6,0
1961,7,0
1961,8,0
1961,9,5.6
1961,10,79.6
1961,11,162.5
1961,12,210.1
1962,1,280.7
1962,2,342.5
1962,3,229.8
1962,4,26.3
1962,5,0
1962,6,0
1962,7,0
1962,8,0
1962,9,0.5
1962,10,20.7
1962,11,182.7
1962,12,349.4
1963,1,84.6
1963,2,285.1
1963,3,152.4
1963,4,7.9
1963,5,0
1963,6,0
1963,7,0
1963,8,0
1963,9,11.7
1963,10,23.7
1963,11,164.1
1963,12,215.8
1964,1,257.9
1964,2,159
1964,3,163.8
1964,4,0
1964,5,0
1964,6,0
1964,7,0
1964,8,0
1964,9,17.8
1964,10,55.2
1964,11,42.2
1964,12,154.2
1965,1,228
1965,2,272.7
1965,3,66.8
1965,4,17
1965,5,0
1965,6,0
1965,7,0
1965,8,0
1965,9,7.6
1965,10,21.6
1965,11,143.8
1965,12,281
1966,1,238.2
1966,2,129.1
1966,3,255.6
1966,4,56.1
1966,5,10.4
1966,6,22.6
1966,7,0
1966,8,6.1
1966,9,3
1966,10,6.4
1966,11,112.6
1966,12,122.6
1967,1,259.4
1967,2,206.5
1967,3,150.2
1967,4,76
1967,5,1.5
1967,6,0
1967,7,0
1967,8,0
1967,9,0
1967,10,73.4
1967,11,155.4
1967,12,349
1968,1,220.6
1968,2,197.8
1968,3,208.7
1968,4,52.9
1968,5,0
1968,6,0
1968,7,0
1968,8,0
1968,9,0
1968,10,15.8
1968,11,160
1968,12,122.3
1969,1,252.7
1969,2,153.3
1969,3,251.5
1969,4,0
1969,5,0
1969,6,0
1969,7,0
1969,8,1.3
1969,9,1.8
1969,10,140.9
1969,11,153.1
1969,12,0
1970,1,0
1970,2,0
1970,3,0
1970,4,69.9
1970,5,0
1970,6,0
1970,7,0
1970,8,0
1970,9,10.4
1970,10,14.5
1970,11,124
1970,12,173.6
1971,1,189.7
1971,2,138.7
1971,3,83.9
1971,4,26.6
1971,5,0
1971,6,0
1971,7,0
1971,8,0
1971,9,24.1
1971,10,42.5
1971,11,144.3
1971,12,135.7
1972,1,263.9
1972,2,75.3
1972,3,230.3
1972,4,48.4
1972,5,0
1972,6,0
1972,7,0
1972,8,0
1972,9,0
1972,10,82.6
1972,11,79.8
1972,12,127.4
1973,1,202.4
1973,2,146.5
1973,3,56.2
1973,4,1
1973,5,7.9
1973,6,0
1973,7,0
1973,8,0
1973,9,16.2
1973,10,15.7
1973,11,188.2
1973,12,129.1
1974,1,167.1
1974,2,126.2
1974,3,235.6
1974,4,31.3
1974,5,22
1974,6,0
1974,7,0
1974,8,3.6
1974,9,0
1974,10,36.1
1974,11,219.2
1974,12,266.2
1975,1,329.3
1975,2,174.6
1975,3,255.9
1975,4,11
1975,5,4.1
1975,6,0
1975,7,0
1975,8,0
1975,9,0
1975,10,75.2
1975,11,104.5
1975,12,221.7
1976,1,353.6
1976,2,145.4
1976,3,168
1976,4,157
1976,5,6.7
1976,6,0
1976,7,0
1976,8,0
1976,9,24.4
1976,10,79.7
1976,11,92.5
1976,12,194.7
1977,1,139.5
1977,2,182.8
1977,3,84.9
1977,4,91.8
1977,5,0
1977,6,0
1977,7,0
1977,8,0
1977,9,8.9
1977,10,42
1977,11,142.6
1977,12,264.4
1978,1,131.4
1978,2,224.3
1978,3,239.8
1978,4,115.5
1978,5,6.6
1978,6,0
1978,7,0
1978,8,0
1978,9,0
1978,10,28.3
1978,11,199.7
1978,12,201
1979,1,173.9
1979,2,260
1979,3,241
1979,4,1.4
1979,5,0
1979,6,0
1979,7,0
1979,8,0
1979,9,0
1979,10,70.1
1979,11,359.3
1979,12,222.7
1980,1,152.2
1980,2,151.6
1980,3,235.7
1980,4,24.3
1980,5,0
1980,6,0
1980,7,0
1980,8,0
1980,9,6.6
1980,10,37.2
1980,11,235.6
1980,12,150.9
1981,1,199.6
1981,2,300.5
1981,3,166.3
1981,4,1.8
1981,5,0
1981,6,0
1981,7,0
1981,8,0
1981,9,0
1981,10,59.8
1981,11,84.9
1981,12,110.8
1982,1,227.6
1982,2,219.3
1982,3,58
1982,4,86.3
1982,5,0
1982,6,0
1982,7,0
1982,8,0
1982,9,8.3
1982,10,38.7
1982,11,173.5
1982,12,157.1
1983,1,207.9
1983,2,106.8
1983,3,102.6
1983,4,60
1983,5,0
1983,6,0
1983,7,0
1983,8,0
1983,9,0
1983,10,55.3
1983,11,72.5
1983,12,125.3
1984,1,321.2
1984,2,163.5
1984,3,153.9
1984,4,16.6
1984,5,0
1984,6,0
1984,7,0
1984,8,0
1984,9,0
1984,10,81.7
1984,11,114.8
1984,12,177.6
1985,1,185.4
1985,2,126.7
1985,3,143.1
1985,4,27.6
1985,5,1
1985,6,0
1985,7,0
1985,8,0
1985,9,8.9
1985,10,20.9
1985,11,102.3
1985,12,165.6
1986,1,167
1986,2,97.5
1986,3,233.5
1986,4,58.9
1986,5,0
1986,6,0
1986,7,0
1986,8,2.5
1986,9,65.2
1986,10,84.6
1986,11,124.3
1986,12,123.4
1987,1,127.4
1987,2,273.2
1987,3,112.8
