,month,value_mean,price_weight_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,price_morning_max,price_evening_max,price_standard,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_mean,standard_hour_mean,morning_hour_mean,evening_hour_mean,off_value,standard_value,morning_value,evening_value,volume,off_volume,standard_volume,morning_volume,evening_volume
0,1,176247.3868709678,45.69791973075455,97.63467741935484,33.003064516129015,57.221999327956986,302.9322580645161,46.21693548387096,165.45887096774194,78.99322580645166,97.40637096774194,62.39929435483872,35.884483646953406,72.512106918239,72.6803370786517,97.31702247191015,11.693548387096774,9.358490566037736,4.0,2.0,101518.9900967742,60477.625990566026,21237.466022471905,10848.97043820225,123101.40000000001,86955.25,25477.674999999996,7763.85,2904.625
1,2,181523.41125663722,49.20070858117215,103.17858407079648,32.01938053097346,59.486600294985244,290.4327433628318,39.27079646017699,153.98528761061945,82.10769911504426,101.76831858407081,65.56179203539824,36.03793141592921,75.61525773195876,77.63070987654322,105.72895061728397,11.68141592920354,9.34020618556701,4.0,2.0,92266.07119469023,69749.68612371133,27543.481456790127,13448.61574074074,104402.025,69748.55,23594.425,8198.675,2860.375
2,3,125160.02070161293,45.98125301507043,98.81016129032255,29.02677419354836,53.78451612903227,206.84193548387097,41.33145161290322,110.27268145161295,72.5722580645161,98.3440322580645,58.78641129032259,32.33846326164875,67.36742367601245,73.18272471910115,99.91129213483147,11.64516129032258,9.327102803738319,4.0,2.0,57763.652064516136,48849.21823364487,24011.900101123592,11159.823044943822,82042.87500000001,49608.200000000004,20875.15,8622.875,2936.6499999999996
3,4,148937.36963333335,47.65634443113992,97.06499999999993,27.730166666666666,54.04964583333335,211.32166666666666,53.80833333333332,127.4258680555556,73.58883333333334,96.80233333333327,59.08335416666668,31.744871527777768,69.05223202614377,74.9085119047619,105.06249999999997,11.9,9.294117647058824,4.0,2.0,57604.54279999997,62662.38209803922,35413.39895238097,18972.032547619052,91746.625,50308.524999999994,26480.999999999993,10784.775,4172.325000000001
4,5,126091.17700806452,46.41080083001397,111.5617741935484,29.606209677419354,57.75989919354841,206.53145161290325,36.55161290322581,106.42510080645162,80.11266129032254,111.41467741935486,62.10342741935486,33.10572916666665,72.59945171339562,80.6132142857143,112.63752747252745,11.483870967741936,9.401869158878505,4.0,2.0,60335.347758064534,45692.570018691586,24510.911769230774,11364.009494505493,79180.27500000001,50863.700000000004,18564.25,7320.225,2432.1000000000004
5,6,218875.648,59.50204852688898,135.85575000000003,36.948833333333326,73.24541319444444,293.11583333333334,43.57,148.16923611111105,112.67991666666664,135.70850000000004,72.1689166666667,40.52304044117647,84.10296193558332,121.63664705882348,139.40109803921567,11.616666666666667,8.650485436893204,4.0,3.0,100834.43485833335,64352.383640776716,53448.16776470588,35218.303552941165,106681.85,71337.54999999999,20770.975000000002,9145.15,5428.175
6,7,295672.94062096765,64.84014339065796,145.04895161290315,40.18475806451615,78.3272681451613,344.5395161290323,56.51290322580643,184.24264112903225,131.2729032258064,142.44080645161284,75.5011693548387,43.7640498497786,88.80624489795915,135.42477011494245,146.5670881226054,11.758064516129032,8.657142857142857,4.0,3.0,128522.26923387099,92141.7022,79057.43063218391,47974.80524137931,137076.52500000002,88752.54999999999,29175.400000000005,12179.474999999999,6969.099999999999
7,8,324785.9168548387,62.35440543670615,146.38516129032251,37.21209677419355,77.31841733870972,404.6346774193547,67.42338709677418,216.0323924731182,130.16879032258063,146.3734677419354,74.31425403225802,40.826997153700184,86.54584362139921,134.93862637362642,149.4789743589743,11.298387096774194,8.685185185185185,4.0,3.0,139411.91097580642,105719.77812962967,77918.11326373626,49209.806417582455,160728.1,102590.85,36304.00000000001,13445.775000000001,8387.475
8,9,331004.4320083334,52.668849572101834,119.13100000000001,33.499,63.92095486111112,462.67083333333335,107.92333333333337,262.6428819444444,89.95399999999994,119.13100000000001,66.42899999999999,37.400056712962964,77.85933006535946,93.8815773809524,136.13583333333335,11.9,9.294117647058824,4.0,2.0,153009.2128166666,128938.21289215687,66471.6959166667,31239.358702380963,189102.875,121018.65000000001,45945.25,16157.575,5981.400000000001
9,10,356834.8946532259,49.281088429532375,105.15330645161286,31.828629032258053,56.41494623655913,494.0741935483872,116.85967741935485,306.947379032258,75.88169354838706,105.15330645161286,58.75554435483872,33.73539538530466,68.89762578616354,79.71839887640448,118.62994382022472,11.693548387096774,9.358490566037736,4.0,2.0,154887.71785483864,159237.31046226417,67581.10453932584,24130.075393258427,228368.84999999998,141279.075,62875.525,19440.975,4773.275
10,11,312455.3110583333,51.50397165779025,124.85266666666668,31.857083333333318,61.04870138888891,434.17416666666645,94.28833333333334,258.9883333333333,84.17625000000004,124.25691666666668,62.997020833333345,34.334054398148155,74.054375,86.88738505747126,140.31431034482753,11.55,9.346153846153847,4.0,2.0,135071.3513833333,136752.84374038462,54815.52059770114,26377.346206896553,186471.6,116853.80000000002,50517.125,14591.874999999998,4508.8
11,12,236853.15692741945,50.93974728055311,120.32483870967738,31.9875,59.29577956989247,342.29435483870975,64.48870967741935,198.05090725806465,72.23362903225808,120.2312903225806,62.89342741935481,36.77119959677419,72.76023492063491,73.66886627906977,127.89558139534887,11.983870967741936,9.276190476190477,4.0,2.0,112547.86288709678,96687.64904761908,44294.18194186047,16887.833302325576,147349.875,95966.15,35955.975,12405.9,3021.8500000000004
