,month_no,node,cat,year,month,hour,flow_sum,value
0,2016.01,BOT,off,2016,1,0,-71,-3460.9700000000003
1,2016.01,MOZ,off,2016,1,0,1319,65858.37
2,2016.01,NAM,off,2016,1,0,50,2409.8
3,2016.01,RSA,off,2016,1,0,-104,-5100.52
4,2016.01,ZAMC,off,2016,1,0,1391,65631.17
5,2016.01,ZAMZ,off,2016,1,0,765,37991.45
6,2016.01,ZIM,off,2016,1,0,-3350,-163329.30000000002
7,2016.01,BOT,off,2016,1,0,-20,-896.2
8,2016.01,MOZ,off,2016,1,0,510,24916.22
9,2016.01,RSA,off,2016,1,0,-299,-14245.61
10,2016.01,ZAMC,off,2016,1,0,574,26531.14
11,2016.01,ZAMZ,off,2016,1,0,411,19820.71
12,2016.01,ZIM,off,2016,1,0,-1176,-56126.26000000001
13,2016.01,BOT,off,2016,1,1,-80,-3847.3999999999996
14,2016.01,MOZ,off,2016,1,1,1234,61510.24000000001
15,2016.01,NAM,off,2016,1,1,80,3847.3999999999996
16,2016.01,RSA,off,2016,1,1,-73,-3575.27
17,2016.01,ZAMC,off,2016,1,1,1345,63346.56000000001
18,2016.01,ZAMZ,off,2016,1,1,658,32691.989999999998
19,2016.01,ZIM,off,2016,1,1,-3164,-153973.52
20,2016.01,BOT,off,2016,1,1,-20,-888.8
21,2016.01,MOZ,off,2016,1,1,531,25839.97
22,2016.01,RSA,off,2016,1,1,-342,-16280.34
23,2016.01,ZAMC,off,2016,1,1,568,26124.230000000007
24,2016.01,ZAMZ,off,2016,1,1,417,20055.52
25,2016.01,ZIM,off,2016,1,1,-1154,-54850.58
26,2016.01,BOT,off,2016,1,2,-80,-3847.3999999999996
27,2016.01,MOZ,off,2016,1,2,1218,60615.77
28,2016.01,NAM,off,2016,1,2,80,3847.3999999999996
29,2016.01,RSA,off,2016,1,2,-85,-4157.0
30,2016.01,ZAMC,off,2016,1,2,1350,63487.23000000001
31,2016.01,ZAMZ,off,2016,1,2,635,31566.319999999996
32,2016.01,ZIM,off,2016,1,2,-3118,-151512.32
33,2016.01,BOT,off,2016,1,2,-20,-881.2
34,2016.01,MOZ,off,2016,1,2,533,25850.23
35,2016.01,RSA,off,2016,1,2,-366,-17411.46
36,2016.01,ZAMC,off,2016,1,2,558,25530.969999999998
37,2016.01,ZAMZ,off,2016,1,2,417,20017.079999999998
38,2016.01,ZIM,off,2016,1,2,-1122,-53105.62
39,2016.01,BOT,off,2016,1,3,-80,-3848.0
40,2016.01,MOZ,off,2016,1,3,1218,60721.35
41,2016.01,NAM,off,2016,1,3,80,3848.0
42,2016.01,RSA,off,2016,1,3,-137,-6678.31
43,2016.01,ZAMC,off,2016,1,3,1440,67997.84999999998
44,2016.01,ZAMZ,off,2016,1,3,543,27095.050000000003
45,2016.01,ZIM,off,2016,1,3,-3064,-149135.94
46,2016.01,BOT,off,2016,1,3,-20,-888.8
47,2016.01,MOZ,off,2016,1,3,532,25825.839999999997
48,2016.01,RSA,off,2016,1,3,-367,-17478.84
49,2016.01,ZAMC,off,2016,1,3,601,27636.449999999997
50,2016.01,ZAMZ,off,2016,1,3,374,18018.750000000004
51,2016.01,ZIM,off,2016,1,3,-1120,-53113.399999999994
52,2016.01,BOT,off,2016,1,4,-63,-3045.29
53,2016.01,MOZ,off,2016,1,4,1305,65552.23
54,2016.01,NAM,off,2016,1,4,59,2842.77
55,2016.01,RSA,off,2016,1,4,-60,-2932.2
56,2016.01,ZAMC,off,2016,1,4,1486,70542.44000000002
57,2016.01,ZAMZ,off,2016,1,4,583,29342.510000000002
58,2016.01,ZIM,off,2016,1,4,-3310,-162302.46000000002
59,2016.01,BOT,off,2016,1,4,-20,-888.8
60,2016.01,MOZ,off,2016,1,4,536,25966.86
61,2016.01,RSA,off,2016,1,4,-384,-18310.799999999996
62,2016.01,ZAMC,off,2016,1,4,608,27914.479999999996
63,2016.01,ZAMZ,off,2016,1,4,372,17876.420000000002
64,2016.01,ZIM,off,2016,1,4,-1112,-52558.16
65,2016.01,BOT,off,2016,1,5,-197,-8152.33
66,2016.01,MOZ,off,2016,1,5,2767,139540.85
67,2016.01,RSA,off,2016,1,5,-648,-32974.770000000004
68,2016.01,ZAMC,off,2016,1,5,1348,65807.72000000002
69,2016.01,ZAMZ,off,2016,1,5,2906,141927.19
70,2016.01,ZIM,off,2016,1,5,-6176,-306148.66
71,2016.01,MOZ,off,2016,1,5,488,24090.24
