year,month,node,cat,side,flow_sum,value,price_weight_mean,price_mean
2016,1,BOT,off,supply,2335,108586.09,46.50367880085653,47.300172413793106
2016,1,BOT,standard,supply,410,24771.250000000004,60.41768292682928,72.77636363636363
2016,1,MOZ,evening,supply,153,17232.93,112.63352941176471,341.91
2016,1,MOZ,off,supply,23197,1186113.71,51.13220287106091,161.98731225296441
2016,1,MOZ,standard,supply,4575,429298.27999999997,93.83568961748634,291.65289473684214
2016,1,NAM,off,consume,349,16795.37,48.12426934097421,48.128
2016,1,RSA,evening,supply,1734,269701.45999999996,155.53717416378313,157.92041666666668
2016,1,RSA,morning,supply,273,40967.740000000005,150.06498168498172,150.51999999999998
2016,1,RSA,off,supply,2603,130601.62000000002,50.173499807913956,68.36757575757574
2016,1,RSA,standard,supply,5225,552215.5099999999,105.6871789473684,106.29711111111116
2016,1,ZAMC,evening,consume,1458,223729.41000000003,153.4495267489712,156.12744680851065
2016,1,ZAMC,morning,consume,270,40255.5,149.09444444444443,150.51999999999998
2016,1,ZAMC,off,consume,20744,1011584.0099999995,48.76513738912455,50.38937888198753
2016,1,ZAMC,standard,consume,8521,807415.33,94.75593592301372,98.37606498194961
2016,1,ZAMZ,off,consume,23034,1135980.2099999988,49.31753972388638,95.66267206477731
2016,1,ZAMZ,standard,consume,4559,410461.47,90.03322439131388,162.63507692307695
2016,1,ZIM,evening,consume,429,63204.98,147.33095571095572,550.864705882353
2016,1,ZIM,morning,consume,28,4202.240000000001,150.08,600.32
2016,1,ZIM,morning,supply,25,3490.0,139.6,558.4
2016,1,ZIM,off,consume,100,5282.0,52.82,264.1
2016,1,ZIM,off,supply,16092,744340.1699999998,46.255292692020866,121.54551020408162
2016,1,ZIM,standard,consume,494,51255.030000000006,103.75512145748989,428.7257142857143
2016,1,ZIM,standard,supply,3364,262846.79000000015,78.13519322235439,158.07306818181817
2016,2,BOT,evening,consume,846,167162.23,197.59128841607566,299.74692307692305
2016,2,BOT,off,consume,1903,98738.18999999999,51.885543878087226,61.322790697674435
2016,2,BOT,standard,consume,2903,330932.45000000007,113.99671029969,185.90760000000003
2016,2,MOZ,evening,supply,200,46468.9,232.3445,232.90333333333334
2016,2,MOZ,off,supply,20326,1052508.1700000002,51.78137213421235,147.0682683982685
2016,2,MOZ,standard,supply,13123,1296258.5599999998,98.77760877848051,240.22764705882332
